actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-24T01:11:09.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-24T01:11:09Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-01-24T01:11:13.2Z,1,REGULAR,jumpball,recovered,[],203937,,,1610612750,0,0,2023-01-24T01:11:13Z,40000,False,,,0,,Jump Ball R. Gobert vs. A. Sengun: Tip to K. Anderson,"[203937, 203497, 1630578]",1610612750.0,MIN,startperiod,K. Anderson,203937.0,Anderson,K. Anderson,Gobert,203497.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-01-24T01:11:27.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630162,15.719448094612352,40.931372549019606,1610612750,0,0,2023-01-24T01:11:39Z,70000,False,45.0,95.0,1,left,MISS A. Edwards 10' turnaround fadeaway Shot,[1630162],1610612750.0,MIN,turnaround fadeaway,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Center,10.55,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2023-01-24T01:11:27.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,0,0,2023-01-24T01:11:39Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M16.00S,2023-01-24T01:11:59.3Z,1,REGULAR,3pt,Jump Shot,[],1630224,66.3107752956636,60.29411764705882,1610612745,0,0,2023-01-24T01:12:50Z,100000,False,51.0,264.0,1,right,MISS J. Green 26' pullup 3PT,[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Center,26.92,Missed,,,,,,,,,,,,,,,,,,
11,PT11M13.00S,2023-01-24T01:12:02.3Z,1,REGULAR,rebound,offensive,[],1631106,,,1610612745,0,0,2023-01-24T01:12:04Z,110000,False,,,0,,T. Eason REBOUND (Off:1 Def:0),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,Above the Break 3,24+ Center,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,,
12,PT11M05.00S,2023-01-24T01:12:11.0Z,1,REGULAR,foul,personal,['2freethrow'],203937,,,1610612745,0,0,2023-01-24T01:12:23Z,120000,False,,,0,,K. Anderson shooting personal FOUL (1 PF) (Sengun 2 FT),"[203937, 1630578]",1610612750.0,MIN,shooting,,,Anderson,K. Anderson,,,,,Restricted Area,0-8 Center,,,,,,,1830.0,1.0,0.0,Sengun,1630578.0,,,,,,,,,
14,PT11M05.00S,2023-01-24T01:12:44.4Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630578,,,1610612745,1,0,2023-01-24T01:13:10Z,140000,False,,,0,,A. Sengun Free Throw 1 of 2 (1 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
15,PT11M05.00S,2023-01-24T01:12:44.4Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630578,,,1610612745,1,0,2023-01-24T01:13:10Z,150000,False,,,0,,MISS A. Sengun Free Throw 2 of 2,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
16,PT11M05.00S,2023-01-24T01:12:44.4Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,1,0,2023-01-24T01:13:10Z,160000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
