actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-03-21T00:11:10.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-21T00:11:10Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-03-21T00:11:14.7Z,1,REGULAR,jumpball,recovered,[],201939,,,1610612744,0,0,2023-03-21T00:11:14Z,40000,False,,,0,,Jump Ball K. Looney vs. J. Smith Jr.: Tip to S. Curry,"[201939, 1626172, 1631095]",1610612744.0,GSW,startperiod,S. Curry,201939.0,Curry,S. Curry,Looney,1626172.0,Smith Jr.,1631095.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2023-03-21T00:11:28.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626172,90.48948751642575,48.77450980392157,1610612744,0,0,2023-03-21T00:11:33Z,70000,False,-6.0,37.0,1,right,MISS K. Looney cutting Layup,[1626172],1610612744.0,GSW,cutting,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,3.74,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2023-03-21T00:11:30.0Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,0,0,2023-03-21T00:11:33Z,80000,False,,,0,,K. Porter Jr. REBOUND (Off:0 Def:1),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M36.00S,2023-03-21T00:11:33.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630231,5.601182654402102,48.77450980392157,1610612745,2,0,2023-03-21T00:11:41Z,90000,False,6.0,0.0,1,left,K. Martin Jr. alley-oop DUNK (2 PTS) (K. Porter Jr. 1 AST),"[1630231, 1629645]",1610612745.0,HOU,alley-oop,,,Martin Jr.,K. Martin Jr.,,,,,Restricted Area,0-8 Center,0.61,Made,,,,,2.0,K. Porter Jr.,1629645.0,1.0,,,,,,,,,,
11,PT11M20.00S,2023-03-21T00:11:49.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626172,92.59198423127464,49.754901960784316,1610612744,2,2,2023-03-21T00:12:14Z,110000,False,-1.0,17.0,1,right,K. Looney cutting Layup (2 PTS) (D. Green 1 AST),"[1626172, 203110]",1610612744.0,GSW,cutting,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,1.71,Made,,,,,2.0,D. Green,203110.0,1.0,,,,,,,,,,
13,PT11M02.00S,2023-03-21T00:12:08.4Z,1,REGULAR,3pt,Jump Shot,[],1631095,31.882391590013142,47.549019607843135,1610612745,5,2,2023-03-21T00:12:15Z,130000,False,12.0,247.0,1,left,J. Smith Jr. 24' 3PT  (3 PTS) (K. Porter Jr. 2 AST),"[1631095, 1629645]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Center,24.75,Made,,,,,3.0,K. Porter Jr.,1629645.0,2.0,,,,,,,,,,
15,PT10M41.00S,2023-03-21T00:12:28.2Z,1,REGULAR,2pt,Jump Shot,[],202691,87.86136662286465,69.11764705882352,1610612744,5,2,2023-03-21T00:12:34Z,150000,False,96.0,62.0,1,right,MISS K. Thompson 11' turnaround fadeaway Shot,[202691],1610612744.0,GSW,turnaround fadeaway,,,Thompson,K. Thompson,,,,,Mid-Range,8-16 Right,11.37,Missed,,,,,,,,,,,,,,,,,,
16,PT10M39.00S,2023-03-21T00:12:30.2Z,1,REGULAR,rebound,defensive,[],1631106,,,1610612745,5,2,2023-03-21T00:12:30Z,160000,False,,,0,,T. Eason REBOUND (Off:0 Def:1),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,Mid-Range,8-16 Right,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M30.00S,2023-03-21T00:12:38.7Z,1,REGULAR,3pt,Jump Shot,[],1629645,32.276609724047304,43.872549019607845,1610612745,5,2,2023-03-21T00:13:01Z,170000,False,31.0,251.0,1,left,MISS K. Porter Jr. 25' step back 3PT,[1629645],1610612745.0,HOU,step back,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Center,25.28,Missed,,,,,,,,,,,,,,,,,,
