actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-12-24T01:10:59.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-24T01:10:59Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-12-24T01:11:02.5Z,1,REGULAR,jumpball,recovered,[],203493,,,1610612742,0,0,2022-12-24T01:11:02Z,40000,False,,,0,,Jump Ball C. Wood vs. J. Smith Jr.: Tip to R. Bullock,"[203493, 1626174, 1631095]",1610612742.0,DAL,startperiod,R. Bullock,203493.0,Bullock,R. Bullock,Wood,1626174.0,Smith Jr.,1631095.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-12-24T01:11:13.5Z,1,REGULAR,3pt,Jump Shot,[],1629029,33.196452036793694,44.11764705882353,1610612742,0,0,2022-12-24T01:12:33Z,70000,False,29.0,260.0,1,left,MISS L. Doncic 26' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Center,26.12,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-12-24T01:11:14.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,0,0,2022-12-24T01:11:20Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Above the Break 3,24+ Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2022-12-24T01:11:44.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,91.14651773981603,49.26470588235294,1610612745,2,0,2022-12-24T01:11:53Z,100000,False,-4.0,31.0,1,right,A. Sengun cutting Layup (2 PTS) (J. Green 1 AST),"[1630578, 1630224]",1610612745.0,HOU,cutting,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,3.09,Made,,2.0,J. Green,1630224.0,1.0,,,,,,,,,,,,,
12,PT10M59.00S,2022-12-24T01:12:05.6Z,1,REGULAR,3pt,Jump Shot,[],203915,5.732588699080158,2.450980392156863,1610612742,2,0,2022-12-24T01:12:15Z,120000,False,238.0,1.0,1,left,MISS S. Dinwiddie 3PT,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Right Corner 3,24+ Right,23.77,Missed,,,,,,,,,,,,,,,,,,
13,PT10M58.00S,2022-12-24T01:12:06.6Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,2,0,2022-12-24T01:12:15Z,130000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Right Corner 3,24+ Right,,,12.0,,,,,1.0,1.0,0.0,,,,,,,,,,
14,PT10M41.00S,2022-12-24T01:12:28.7Z,1,REGULAR,foul,offensive,[],1631095,,,1610612745,2,0,2022-12-24T01:12:42Z,140000,False,,,0,,J. Smith Jr. offensive FOUL (1 PF),"[1631095, 203915]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,16-24 Left,,,,,,,,,,,1627524.0,1.0,0.0,Dinwiddie,203915.0,,,,,
16,PT10M41.00S,2022-12-24T01:12:28.7Z,1,REGULAR,turnover,offensive foul,[],1631095,,,1610612745,2,0,2022-12-24T01:12:28Z,160000,False,,,0,,J. Smith Jr. offensive foul TURNOVER (1 TO),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,16-24 Left,,,,,,,,,,,1627524.0,,,,,1.0,,,,
17,PT10M25.00S,2022-12-24T01:12:55.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203493,8.229303547963205,3.1862745098039214,1610612742,2,3,2022-12-24T01:13:01Z,170000,False,234.0,25.0,1,left,R. Bullock 3PT  (3 PTS) (L. Doncic 1 AST),"[203493, 1629029]",1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Right Corner 3,24+ Right,23.54,Made,,3.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,,,
