actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-21T00:11:16.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-21T00:11:16Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-21T00:11:18.8Z,1,REGULAR,jumpball,recovered,[],1631095,,,1610612745,0,0,2022-11-21T00:11:18Z,40000,False,,,0,,Jump Ball A. Sengun vs. K. Looney: Tip to J. Smith Jr.,"[1631095, 1630578, 1626172]",1610612745.0,HOU,startperiod,J. Smith Jr.,1631095.0,Smith Jr.,J. Smith Jr.,Sengun,1630578.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-11-21T00:11:35.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,90.09526938239159,56.61764705882353,1610612745,0,0,2022-11-21T00:12:20Z,70000,False,33.0,41.0,1,right,MISS A. Sengun cutting Layup - blocked,"[1630578, 1626172]",1610612745.0,HOU,cutting,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,5.24,Missed,Looney,1626172.0,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-11-21T00:11:35.3Z,1,REGULAR,block,,[],1626172,,,1610612745,0,0,2022-11-21T00:11:53Z,80000,False,,,0,,K. Looney BLOCK (1 BLK),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2022-11-21T00:11:37.3Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,0,0,2022-11-21T00:11:53Z,90000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M32.00S,2022-11-21T00:11:44.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",202691,6.258212877792378,40.44117647058824,1610612744,0,2,2022-11-21T00:15:36Z,100000,False,48.0,6.0,1,left,K. Thompson running finger roll Layup (2 PTS) (S. Curry 1 AST),"[202691, 201939]",1610612744.0,GSW,running finger roll,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),0-8 Center,4.82,Made,,,,,,,2.0,S. Curry,201939.0,1.0,,,,,,,,
11,PT11M20.00S,2022-11-21T00:12:00.8Z,1,REGULAR,turnover,out-of-bounds,[],201569,,,1610612745,0,2,2022-11-21T00:12:11Z,110000,False,,,0,,E. Gordon bad pass out-of-bounds TURNOVER (1 TO),[201569],1610612745.0,HOU,bad pass,,,Gordon,E. Gordon,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,1627534.0,1.0,,,,,,
12,PT11M07.00S,2022-11-21T00:12:17.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203952,6.389618922470433,44.85294117647059,1610612744,0,4,2022-11-21T00:12:25Z,120000,False,26.0,8.0,1,left,A. Wiggins DUNK (2 PTS) (K. Thompson 1 AST),"[203952, 202691]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,2.68,Made,,,,,,,2.0,K. Thompson,202691.0,1.0,,,,,,,,
14,PT10M48.00S,2022-11-21T00:12:36.6Z,1,REGULAR,2pt,Jump Shot,[],1630224,90.75229960578186,69.11764705882352,1610612745,0,4,2022-11-21T00:17:02Z,140000,False,96.0,34.0,1,right,MISS J. Green 10' step back Shot,[1630224],1610612745.0,HOU,step back,,,Green,J. Green,,,,,Mid-Range,8-16 Right,10.16,Missed,,,,,,,,,,,,,,,,,,
15,PT10M48.00S,2022-11-21T00:12:36.6Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,0,4,2022-11-21T00:12:48Z,150000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Mid-Range,8-16 Right,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,
16,PT10M28.00S,2022-11-21T00:12:57.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626172,10.068988173455978,41.17647058823529,1610612744,0,4,2022-11-21T00:13:14Z,160000,False,44.0,42.0,1,left,MISS K. Looney 6' cutting Layup,[1626172],1610612744.0,GSW,cutting,,,Looney,K. Looney,,,,,In The Paint (Non-RA),0-8 Center,6.1,Missed,,,,,,,,,,,,,,,,,,
17,PT10M28.00S,2022-11-21T00:12:57.3Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,0,4,2022-11-21T00:13:14Z,170000,False,,,0,,K. Looney REBOUND (Off:1 Def:0),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,In The Paint (Non-RA),0-8 Center,,,,,16.0,1.0,0.0,1.0,,,,,,,,,,,,
