actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-27T01:10:51.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-27T01:10:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-27T01:10:53.5Z,1,REGULAR,jumpball,recovered,[],1630596,,,1610612739,0,0,2023-01-27T01:10:53Z,40000,False,,,0,,Jump Ball J. Allen vs. J. Smith Jr.: Tip to E. Mobley,"[1630596, 1628386, 1631095]",1610612739.0,CLE,startperiod,E. Mobley,1630596.0,Mobley,E. Mobley,Allen,1628386.0,Smith Jr.,1631095.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-01-27T01:11:07.1Z,1,REGULAR,turnover,bad pass,[],1630596,,,1610612739,0,0,2023-01-27T01:11:19Z,70000,False,,,0,,E. Mobley bad pass TURNOVER (1 TO),"[1630596, 1630224]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Mid-Range,8-16 Left,1.0,Green,1630224.0,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2023-01-27T01:11:07.1Z,1,REGULAR,steal,,[],1630224,,,1610612745,0,0,2023-01-27T01:11:09Z,80000,False,,,0,,J. Green STEAL (1 STL),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2023-01-27T01:11:12.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630528,92.06636005256242,38.48039215686275,1610612745,2,0,2023-01-27T01:11:28Z,90000,False,-58.0,22.0,1,right,J. Christopher 6' running Layup (2 PTS) (J. Green 1 AST),"[1630528, 1630224]",1610612745.0,HOU,running,,,Christopher,J. Christopher,,,,,In The Paint (Non-RA),0-8 Center,,,,6.17,Made,2.0,J. Green,1630224.0,1.0,,,,,,,,,,,
11,PT11M25.00S,2023-01-27T01:11:24.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630596,9.017739816031538,41.66666666666667,1610612739,2,2,2023-01-27T01:11:31Z,110000,False,42.0,32.0,1,left,E. Mobley cutting Layup (2 PTS) (C. LeVert 1 AST),"[1630596, 1627747]",1610612739.0,CLE,cutting,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,,,,5.27,Made,2.0,C. LeVert,1627747.0,1.0,,,,,,,,,,,
13,PT11M11.00S,2023-01-27T01:11:41.6Z,1,REGULAR,foul,offensive,[],1630578,,,1610612745,2,2,2023-01-27T01:11:50Z,130000,False,,,0,,A. Sengun offensive FOUL (1 PF),"[1630578, 1628386]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1201.0,1.0,0.0,Allen,1628386.0,,,,,,
15,PT11M11.00S,2023-01-27T01:11:41.6Z,1,REGULAR,turnover,offensive foul,[],1630578,,,1610612745,2,2,2023-01-27T01:11:41Z,150000,False,,,0,,A. Sengun offensive foul TURNOVER (1 TO),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,1.0,,,,,,,,,1201.0,,,,,,,,,,
17,PT11M01.00S,2023-01-27T01:12:05.0Z,1,REGULAR,foul,personal,['2freethrow'],1631095,,,1610612739,2,2,2023-01-27T01:12:23Z,170000,False,,,0,,J. Smith Jr. shooting personal FOUL (1 PF) (Garland 2 FT),"[1631095, 1629636]",1610612745.0,HOU,shooting,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,202056.0,1.0,0.0,Garland,1629636.0,,,,,,
19,PT11M01.00S,2023-01-27T01:12:25.6Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629636,,,1610612739,2,3,2023-01-27T01:12:25Z,190000,False,,,0,,D. Garland Free Throw 1 of 2 (1 PTS),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
