actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-10-22T00:14:04.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-22T00:14:04Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-22T00:14:07.0Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2022-10-22T00:14:07Z,40000,,,0,,Jump Ball S. Adams vs. B. Fernando: Tip to J. Morant,"[1629630, 203500, 1628981]",1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Adams,203500.0,Fernando,1628981.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-10-22T00:14:22.4Z,1,REGULAR,turnover,out-of-bounds,[],1630217,,,1610612763,0,0,2022-10-22T00:14:31Z,70000,,,0,,D. Bane lost ball out-of-bounds TURNOVER (1 TO),[1630217],1610612763.0,MEM,lost ball,,,Bane,D. Bane,,,,,Mid-Range,8-16 Right,2005.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M28.00S,2022-10-22T00:14:44.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201569,14.011169513797633,49.50980392156863,1610612745,0,0,2022-10-22T00:14:52Z,80000,2.0,79.0,1,left,MISS E. Gordon 7' driving Layup,[201569],1610612745.0,HOU,driving,,,Gordon,E. Gordon,,,,,In The Paint (Non-RA),0-8 Center,,,7.92,Missed,,,,,,,,,,,,,,,,
9,PT11M27.00S,2022-10-22T00:14:45.0Z,1,REGULAR,rebound,offensive,[],201569,,,1610612745,0,0,2022-10-22T00:15:09Z,90000,,,0,,E. Gordon REBOUND (Off:1 Def:0),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,In The Paint (Non-RA),0-8 Center,,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,
10,PT11M26.00S,2022-10-22T00:14:50.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",201569,5.590000152587891,50.0,1610612745,2,0,2022-10-22T00:15:17Z,100000,0.0,0.0,1,left,E. Gordon tip Layup (2 PTS),[201569],1610612745.0,HOU,tip,,,Gordon,E. Gordon,,,,,Restricted Area,0-8 Center,,,0.0,Made,,,,,2.0,,,,,,,,,,,
11,PT11M15.00S,2022-10-22T00:15:00.5Z,1,REGULAR,foul,personal,['2freethrow'],1628981,,,1610612763,2,0,2022-10-22T00:15:08Z,110000,,,0,,B. Fernando shooting personal FOUL (1 PF) (Adams 2 FT),"[1628981, 203500]",1610612745.0,HOU,shooting,,,Fernando,B. Fernando,,,,,In The Paint (Non-RA),8-16 Right,2005.0,,,,,,,,,1.0,0.0,Adams,203500.0,,,,,,,
13,PT11M15.00S,2022-10-22T00:15:22.4Z,1,REGULAR,freethrow,1 of 2,[],203500,,,1610612763,2,0,2022-10-22T00:15:22Z,130000,,,0,,MISS S. Adams Free Throw 1 of 2,[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
14,PT11M15.00S,2022-10-22T00:15:22.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612763,2,0,2022-10-22T00:15:22Z,140000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,
15,PT11M15.00S,2022-10-22T00:15:22.4Z,1,REGULAR,freethrow,2 of 2,[],203500,,,1610612763,2,0,2022-10-22T00:15:47Z,150000,,,0,,MISS S. Adams Free Throw 2 of 2,[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
16,PT11M15.00S,2022-10-22T00:15:22.4Z,1,REGULAR,rebound,offensive,[],1629723,,,1610612763,2,0,2022-10-22T00:20:33Z,160000,,,0,,J. Konchar REBOUND (Off:1 Def:0),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,
17,PT11M13.00S,2022-10-22T00:15:49.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629630,79.97700394218134,49.50980392156863,1610612763,2,0,2022-10-22T00:43:23Z,170000,-2.0,136.0,1,right,MISS J. Morant 13' floating Shot,[1629630],1610612763.0,MEM,floating,,,Morant,J. Morant,,,,,In The Paint (Non-RA),8-16 Center,,,13.57,Missed,,,,,,,,,,,,,,,,
18,PT11M09.00S,2022-10-22T00:15:53.3Z,1,REGULAR,rebound,defensive,[],1628981,,,1610612745,2,0,2022-10-22T00:15:56Z,180000,,,0,,B. Fernando REBOUND (Off:0 Def:1),[1628981],1610612745.0,HOU,,,,Fernando,B. Fernando,,,,,In The Paint (Non-RA),8-16 Center,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,
19,PT11M02.00S,2022-10-22T00:15:59.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,5.995400788436268,47.794117647058826,1610612745,2,0,2022-10-22T00:44:08Z,190000,11.0,4.0,1,left,MISS J. Green driving Layup - blocked,"[1630224, 1630583]",1610612745.0,HOU,driving,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,1.17,Missed,,,,,,,,,,Aldama,1630583.0,,,,,
20,PT11M02.00S,2022-10-22T00:15:59.2Z,1,REGULAR,block,,[],1630583,,,1610612745,2,0,2022-10-22T00:16:01Z,200000,,,0,,S. Aldama BLOCK (1 BLK),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
21,PT10M59.00S,2022-10-22T00:16:02.2Z,1,REGULAR,rebound,offensive,[],1628981,,,1610612745,2,0,2022-10-22T00:16:06Z,210000,,,0,,B. Fernando REBOUND (Off:1 Def:1),[1628981],1610612745.0,HOU,,,,Fernando,B. Fernando,,,,,Restricted Area,0-8 Center,,,,,19.0,2.0,1.0,1.0,,,,,,,,,,,,
22,PT10M58.00S,2022-10-22T00:16:02.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628981,6.783837056504599,47.05882352941176,1610612745,4,0,2022-10-22T00:16:12Z,220000,15.0,11.0,1,left,B. Fernando putback Layup (2 PTS),[1628981],1610612745.0,HOU,putback,,,Fernando,B. Fernando,,,,,Restricted Area,0-8 Center,,,1.85,Made,,,,,2.0,,,,,,,,,,,
23,PT10M53.00S,2022-10-22T00:16:07.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629723,73.80091984231275,83.33333333333334,1610612763,4,0,2022-10-22T00:16:23Z,230000,167.0,194.0,1,right,MISS J. Konchar 25' 3PT,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Above the Break 3,24+ Right Center,,,25.56,Missed,,,,,,,,,,,,,,,,
24,PT10M53.00S,2022-10-22T00:16:07.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,4,0,2022-10-22T00:16:23Z,240000,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,23.0,,,,,,,,,,,,,,,
26,PT10M39.00S,2022-10-22T00:16:29.8Z,1,REGULAR,turnover,out-of-bounds,[],1629645,,,1610612745,4,0,2022-10-22T00:16:38Z,260000,,,0,,K. Porter Jr. bad pass out-of-bounds TURNOVER (1 TO),[1629645],1610612745.0,HOU,bad pass,,,Porter Jr.,K. Porter Jr.,,,,,Mid-Range,8-16 Left,1662.0,1.0,,,,,,,,,,,,,,,,,,
27,PT10M34.00S,2022-10-22T00:16:38.3Z,1,REGULAR,foul,personal,['2freethrow'],1631095,,,1610612763,4,0,2022-10-22T00:16:46Z,270000,,,0,,J. Smith Jr. shooting personal FOUL (1 PF) (Aldama 2 FT),"[1631095, 1630583]",1610612745.0,HOU,shooting,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,1627541.0,,,,,,,,,1.0,0.0,Aldama,1630583.0,,,,,,,
29,PT10M34.00S,2022-10-22T00:17:02.6Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630583,,,1610612763,4,1,2022-10-22T00:17:02Z,290000,,,0,,S. Aldama Free Throw 1 of 2 (1 PTS),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,Made,,,,,1.0,,,,,,,,,,,
30,PT10M34.00S,2022-10-22T00:17:14.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630583,,,1610612763,4,2,2022-10-22T00:17:14Z,300000,,,0,,S. Aldama Free Throw 2 of 2 (2 PTS),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,Made,,,,,2.0,,,,,,,,,,,
31,PT10M24.00S,2022-10-22T00:17:26.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628981,7.178055190538765,51.71568627450981,1610612745,6,2,2022-10-22T00:44:26Z,310000,-9.0,15.0,1,left,B. Fernando DUNK (4 PTS) (J. Green 1 AST),"[1628981, 1630224]",1610612745.0,HOU,,,,Fernando,B. Fernando,,,,,Restricted Area,0-8 Center,,,1.73,Made,,,,,4.0,,,,,,,J. Green,1630224.0,1.0,,
