actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-03-16T00:11:09.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-16T00:11:09Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-03-16T00:11:11.7Z,1,REGULAR,jumpball,recovered,[],1626156,,,1610612747,0,0,2023-03-16T00:11:11Z,40000,False,,,0,,Jump Ball R. Hachimura vs. J. Smith Jr.: Tip to D. Russell,"[1626156, 1629060, 1631095]",1610612747.0,LAL,startperiod,D. Russell,1626156.0,Russell,D. Russell,Hachimura,1629060.0,Smith Jr.,1631095.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2023-03-16T00:11:25.3Z,1,REGULAR,foul,personal,['2freethrow'],1630578,,,1610612747,0,0,2023-03-16T00:11:41Z,80000,False,,,0,,A. Sengun shooting personal FOUL (1 PF) (Russell 2 FT),"[1630578, 1626156]",1610612745.0,HOU,shooting,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,1626301.0,1.0,0.0,Russell,1626156.0,,,,,,,,,,,,,,,
10,PT11M44.00S,2023-03-16T00:11:49.2Z,1,REGULAR,freethrow,1 of 2,[],1626156,,,1610612747,0,0,2023-03-16T00:11:49Z,100000,False,,,0,,MISS D. Russell Free Throw 1 of 2,[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
11,PT11M44.00S,2023-03-16T00:11:49.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612747,0,0,2023-03-16T00:11:49Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,
12,PT11M44.00S,2023-03-16T00:12:02.8Z,1,REGULAR,freethrow,2 of 2,[],1626156,,,1610612747,0,1,2023-03-16T00:12:02Z,120000,False,,,0,,D. Russell Free Throw 2 of 2 (1 PTS),[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
13,PT11M29.00S,2023-03-16T00:12:21.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,86.81011826544021,49.50980392156863,1610612745,2,1,2023-03-16T00:12:26Z,130000,False,-2.0,71.0,1,right,A. Sengun 7' driving Hook (2 PTS),[1630578],1610612745.0,HOU,driving,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,,2.0,7.15,,,,,,,,,,,
14,PT11M18.00S,2023-03-16T00:12:34.0Z,1,REGULAR,foul,offensive,[],1628972,,,1610612747,2,1,2023-03-16T00:12:41Z,140000,False,,,0,,T. Brown Jr. offensive FOUL (1 PF),"[1628972, 1630224]",1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,Above the Break 3,24+ Left Center,203592.0,1.0,0.0,Green,1630224.0,,,,,,,,,,,,,,,
16,PT11M18.00S,2023-03-16T00:12:34.0Z,1,REGULAR,turnover,offensive foul,[],1628972,,,1610612747,2,1,2023-03-16T00:12:34Z,160000,False,,,0,,T. Brown Jr. offensive foul TURNOVER (1 TO),[1628972],1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,Above the Break 3,24+ Left Center,203592.0,,,,,,,,,1.0,,,,,,,,,,
17,PT11M01.00S,2023-03-16T00:13:02.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630231,87.86136662286465,47.549019607843135,1610612745,4,1,2023-03-16T00:13:35Z,170000,False,-12.0,62.0,1,right,K. Martin Jr. 6' cutting DUNK (2 PTS) (A. Sengun 1 AST),"[1630231, 1630578]",1610612745.0,HOU,cutting,,,Martin Jr.,K. Martin Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,,2.0,6.28,,A. Sengun,1630578.0,1.0,,,,,,,
19,PT10M42.00S,2023-03-16T00:13:20.9Z,1,REGULAR,2pt,Jump Shot,[],1627736,23.47240473061761,44.6078431372549,1610612747,4,1,2023-03-16T00:13:29Z,190000,False,27.0,168.0,1,left,MISS M. Beasley 17' pullup Shot,[1627736],1610612747.0,LAL,pullup,,,Beasley,M. Beasley,,,,,Mid-Range,16-24 Center,,,,,,Missed,,,17.03,,,,,,,,,,,
20,PT10M41.00S,2023-03-16T00:13:21.9Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,4,1,2023-03-16T00:13:29Z,200000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,16-24 Center,,,,,,,19.0,,,,,,,1.0,1.0,0.0,,,,
22,PT10M23.00S,2023-03-16T00:13:54.9Z,1,REGULAR,3pt,Jump Shot,[],1629645,82.47371879106439,5.392156862745098,1610612745,7,1,2023-03-16T00:14:14Z,220000,False,-223.0,112.0,1,right,K. Porter Jr. 24' 3PT pullup (3 PTS),[1629645],1610612745.0,HOU,pullup,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,Made,,3.0,24.96,,,,,,,,,,,
23,PT10M16.00S,2023-03-16T00:14:01.9Z,1,REGULAR,3pt,Jump Shot,[],1626156,24.129434954007884,85.7843137254902,1610612747,7,4,2023-03-16T00:14:09Z,230000,False,-179.0,174.0,1,left,D. Russell 24' 3PT pullup (4 PTS),[1626156],1610612747.0,LAL,pullup,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,,,,,,Made,,4.0,24.98,,,,,,,,,,,
24,PT10M01.00S,2023-03-16T00:14:17.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,90.3580814717477,52.94117647058824,1610612745,9,4,2023-03-16T00:15:00Z,240000,False,15.0,38.0,1,right,A. Sengun driving Layup (4 PTS),[1630578],1610612745.0,HOU,driving,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,,,Made,,4.0,4.08,,,,,,,,,,,
25,PT09M47.00S,2023-03-16T00:14:31.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629060,17.559132720105126,38.48039215686275,1610612747,9,6,2023-03-16T00:14:37Z,250000,False,58.0,113.0,1,left,R. Hachimura 12' turnaround fadeaway Jump Shot (2 PTS),[1629060],1610612747.0,LAL,turnaround fadeaway,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,,2.0,12.65,,,,,,,,,,,
26,PT09M27.00S,2023-03-16T00:14:51.1Z,1,REGULAR,3pt,Jump Shot,[],1630224,80.6340341655716,92.8921568627451,1610612745,12,6,2023-03-16T00:14:56Z,260000,False,214.0,130.0,1,right,J. Green 25' 3PT  (3 PTS) (K. Martin Jr. 1 AST),"[1630224, 1630231]",1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,,,,Made,,3.0,25.06,,K. Martin Jr.,1630231.0,1.0,,,,,,,
28,PT09M19.00S,2023-03-16T00:14:58.8Z,1,REGULAR,3pt,Jump Shot,[],1626156,25.312089356110377,84.31372549019608,1610612747,12,6,2023-03-16T00:15:05Z,280000,False,-172.0,185.0,1,left,MISS D. Russell 25' pullup 3PT,[1626156],1610612747.0,LAL,pullup,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,25.26,,,,,,,,,,,
29,PT09M18.00S,2023-03-16T00:14:59.8Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,12,6,2023-03-16T00:15:05Z,290000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,28.0,,,,,,,1.0,1.0,0.0,,,,
30,PT09M00.00S,2023-03-16T00:15:18.2Z,1,REGULAR,3pt,Jump Shot,[],1631095,77.08607095926413,5.637254901960785,1610612745,12,6,2023-03-16T00:15:28Z,300000,False,-222.0,163.0,1,right,MISS J. Smith Jr. 27' 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,27.52,,,,,,,,,,,
31,PT08M57.00S,2023-03-16T00:15:21.2Z,1,REGULAR,rebound,offensive,[],1630224,,,1610612745,12,6,2023-03-16T00:18:07Z,310000,False,,,0,,J. Green REBOUND (Off:1 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,30.0,,,,,,,2.0,1.0,1.0,,,,
32,PT08M50.00S,2023-03-16T00:15:28.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630224,92.06636005256242,53.92156862745098,1610612745,14,6,2023-03-16T00:15:34Z,320000,False,20.0,22.0,1,right,J. Green driving finger roll Layup (5 PTS),[1630224],1610612745.0,HOU,driving finger roll,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,Made,,5.0,2.95,,,,,,,,,,,
33,PT08M39.00S,2023-03-16T00:15:39.0Z,1,REGULAR,3pt,Jump Shot,[],1627736,28.597240473061763,23.284313725490197,1610612747,14,9,2023-03-16T00:15:43Z,330000,False,134.0,216.0,1,left,M. Beasley 25' 3PT  (3 PTS) (J. Vanderbilt 1 AST),"[1627736, 1629020]",1610612747.0,LAL,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Right Center,,,,,,Made,,3.0,25.42,,J. Vanderbilt,1629020.0,1.0,,,,,,,
35,PT08M18.00S,2023-03-16T00:16:01.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,89.56964520367937,45.09803921568628,1610612745,14,9,2023-03-16T00:16:08Z,350000,False,-25.0,46.0,1,right,MISS A. Sengun driving Layup - blocked,"[1630578, 1629060]",1610612745.0,HOU,driving,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,5.17,,,,,,,,Hachimura,1629060.0,,
36,PT08M18.00S,2023-03-16T00:16:01.5Z,1,REGULAR,block,,[],1629060,,,1610612745,14,9,2023-03-16T00:20:14Z,360000,False,,,0,,R. Hachimura BLOCK (1 BLK),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
37,PT08M18.00S,2023-03-16T00:16:01.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,14,9,2023-03-16T00:16:08Z,370000,False,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,35.0,,,,,,,,,,,,,
