actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-02-07T01:12:39.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-07T01:12:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2023-02-07T01:12:43.4Z,1,REGULAR,jumpball,recovered,[],203084,,,1610612758,0,0,2023-02-07T01:12:43Z,40000,False,,,0,,Jump Ball D. Sabonis vs. A. Sengun: Tip to H. Barnes,"[203084, 1627734, 1630578]",1610612758.0,SAC,startperiod,H. Barnes,203084.0,Barnes,H. Barnes,Sabonis,1627734.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2023-02-07T01:13:00.6Z,1,REGULAR,3pt,Jump Shot,[],1628989,7.835085413929041,96.32352941176471,1610612758,0,0,2023-02-07T01:13:23Z,70000,False,-232.0,21.0,1,left,MISS K. Huerter 3PT - blocked,"[1628989, 201569]",1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Left Corner 3,24+ Left,23.26,Missed,Gordon,201569.0,,,,,,,,,,,,,,,,
8,PT11M37.00S,2023-02-07T01:13:00.6Z,1,REGULAR,block,,[],201569,,,1610612758,0,0,2023-02-07T01:13:13Z,80000,False,,,0,,E. Gordon BLOCK (1 BLK),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2023-02-07T01:13:00.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612758,0,0,2023-02-07T01:13:23Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,Left Corner 3,24+ Left,,,,,7.0,,,,,,,,,,,,,,,
11,PT11M34.00S,2023-02-07T01:13:20.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1631099,8.492115637319317,36.76470588235294,1610612758,0,0,2023-02-07T01:13:28Z,110000,False,66.0,27.0,1,left,MISS K. Murray 7' Hook,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,In The Paint (Non-RA),0-8 Center,7.16,Missed,,,,,,,,,,,,,,,,,,
12,PT11M34.00S,2023-02-07T01:13:20.7Z,1,REGULAR,rebound,offensive,[],203084,,,1610612758,0,0,2023-02-07T01:13:28Z,120000,False,,,0,,H. Barnes REBOUND (Off:1 Def:0),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,
13,PT11M30.00S,2023-02-07T01:13:24.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203084,5.590000152587891,50.0,1610612758,0,2,2023-02-07T01:13:24Z,130000,False,0.0,0.0,1,left,H. Barnes tip Layup (2 PTS),[203084],1610612758.0,SAC,tip,,,Barnes,H. Barnes,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,2.0,,,,,,,,,,,
14,PT11M16.00S,2023-02-07T01:13:38.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,94.1688567674113,53.67647058823529,1610612745,0,2,2023-02-07T01:19:21Z,140000,False,18.0,2.0,1,right,MISS J. Green driving reverse Layup,[1630224],1610612745.0,HOU,driving reverse,,,Green,J. Green,,,,,Restricted Area,0-8 Center,1.85,Missed,,,,,,,,,,,,,,,,,,
15,PT11M15.00S,2023-02-07T01:13:39.7Z,1,REGULAR,rebound,offensive,[],1630231,,,1610612745,0,2,2023-02-07T01:14:02Z,150000,False,,,0,,K. Martin Jr. REBOUND (Off:1 Def:0),[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,Restricted Area,0-8 Center,,,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,
