shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
12:00,2,PT12M00.00S,2022-12-06T01:11:35.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-06T01:11:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:55,4,PT11M55.00S,2022-12-06T01:11:39.3Z,1,REGULAR,jumpball,recovered,[],201935,,,1610612755,0,0,2022-12-06T01:11:39Z,40000,False,,,0,,Jump Ball J. Embiid vs. A. Sengun: Tip to J. Harden,"[201935, 203954, 1630578]",1,1610612755.0,PHI,startperiod,J. Harden,201935.0,Harden,J. Harden,Embiid,203954.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
11:34,7,PT11M34.00S,2022-12-06T01:12:00.3Z,1,REGULAR,3pt,Jump Shot,[],203954,67.85479632063075,39.21568627450981,1610612755,0,3,2022-12-06T01:12:06Z,70000,False,-54.0,250.0,1,right,J. Embiid 25' 3PT  (3 PTS) (D. Melton 1 AST),"[203954, 1629001]",21,1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Center,25.55,Made,3.0,D. Melton,1629001.0,1.0,,,,,,,,,,,,,,
11:10,9,PT11M10.00S,2022-12-06T01:12:27.3Z,1,REGULAR,turnover,out-of-bounds,[],1630224,,,1610612745,0,3,2022-12-06T01:12:39Z,90000,False,,,0,,J. Green lost ball out-of-bounds TURNOVER (1 TO),[1630224],4,1610612745.0,HOU,lost ball,,,Green,J. Green,,,,,Mid-Range,8-16 Left,,,,,,,1146.0,1.0,,,,,,,,,,,,
10:58,10,PT10M58.00S,2022-12-06T01:12:45.9Z,1,REGULAR,foul,personal,['2freethrow'],1630578,,,1610612755,0,3,2022-12-06T01:12:52Z,100000,False,,,0,,A. Sengun shooting personal FOUL (1 PF) (Embiid 2 FT),"[1630578, 203954]",28,1610612745.0,HOU,shooting,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,,,,1146.0,,1.0,0.0,Embiid,203954.0,,,,,,,,
10:58,12,PT10M58.00S,2022-12-06T01:13:09.3Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203954,,,1610612755,0,4,2022-12-06T01:13:09Z,120000,False,,,0,,J. Embiid Free Throw 1 of 2 (4 PTS),[203954],21,1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
10:58,13,PT10M58.00S,2022-12-06T01:13:26.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203954,,,1610612755,0,5,2022-12-06T01:13:26Z,130000,False,,,0,,J. Embiid Free Throw 2 of 2 (5 PTS),[203954],21,1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
10:45,14,PT10M45.00S,2022-12-06T01:13:43.1Z,1,REGULAR,3pt,Jump Shot,[],1631095,33.03219448094612,65.44117647058823,1610612745,0,5,2022-12-06T01:13:49Z,140000,False,-77.0,258.0,1,left,MISS J. Smith Jr. 26' 3PT,[1631095],1,1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Center,26.93,Missed,,,,,,,,,,,,,,,,,,
10:43,15,PT10M43.00S,2022-12-06T01:13:45.1Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612755,0,5,2022-12-06T01:13:49Z,150000,False,,,0,,D. Melton REBOUND (Off:0 Def:1),[1629001],8,1610612755.0,PHI,,,,Melton,D. Melton,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,
10:36,16,PT10M36.00S,2022-12-06T01:13:51.5Z,1,REGULAR,3pt,Jump Shot,[],1629001,88.87976346911958,95.83333333333333,1610612755,0,8,2022-12-06T01:14:03Z,160000,False,229.0,52.0,1,right,D. Melton 3PT  (3 PTS) (J. Harden 1 AST),"[1629001, 201935]",8,1610612755.0,PHI,,,,Melton,D. Melton,,,,,Right Corner 3,24+ Right,23.5,Made,3.0,J. Harden,201935.0,1.0,,,,,,,,,,,,,,
