actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-22T01:10:59.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-22T01:10:59Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-12-22T01:11:01.9Z,1,REGULAR,jumpball,recovered,[],1630578,,,1610612745,0,0,2022-12-22T01:11:01Z,40000,False,,,0,,Jump Ball J. Smith Jr. vs. B. Bol: Tip to A. Sengun,"[1630578, 1631095, 1629626]",1610612745.0,HOU,startperiod,A. Sengun,1630578.0,Sengun,A. Sengun,Smith Jr.,1631095.0,Bol,1629626.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M56.00S,2022-12-22T01:11:03.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630578,92.72339027595268,48.529411764705884,1610612745,2,0,2022-12-22T01:11:09Z,70000,False,-7.0,16.0,1,right,A. Sengun DUNK (2 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,1.75,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2022-12-22T01:11:25.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629021,7.5722733245729295,50.245098039215684,1610612753,2,0,2022-12-22T01:11:34Z,80000,False,-1.0,19.0,1,left,MISS M. Wagner driving Layup,[1629021],1610612753.0,ORL,driving,,,Wagner,M. Wagner,,,,,Restricted Area,0-8 Center,1.87,Missed,,,,,,,,,,,,,,,,,,
9,PT11M32.00S,2022-12-22T01:11:26.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,2,0,2022-12-22T01:12:36Z,90000,False,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Restricted Area,0-8 Center,,,,8.0,,,,,,,,,,,,,,,,
11,PT11M17.00S,2022-12-22T01:11:46.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631095,86.02168199737189,58.82352941176471,1610612745,2,0,2022-12-22T01:15:00Z,110000,False,44.0,79.0,1,right,MISS J. Smith Jr. 9' pullup Shot,[1631095],1610612745.0,HOU,pullup,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),8-16 Center,9.04,Missed,,,,,,,,,,,,,,,,,,
12,PT11M16.00S,2022-12-22T01:11:47.6Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,2,0,2022-12-22T01:14:48Z,120000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT11M16.00S,2022-12-22T01:11:50.0Z,1,REGULAR,foul,personal,[],1630578,,,1610612753,2,0,2022-12-22T01:15:17Z,130000,False,,,0,,A. Sengun loose ball personal FOUL (1 PF),"[1630578, 1631094]",1610612745.0,HOU,loose ball,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Center,,,,,,,,202037.0,1.0,0.0,Banchero,1631094.0,,,,,,,,
15,PT11M01.00S,2022-12-22T01:12:18.2Z,1,REGULAR,2pt,Jump Shot,[],1628365,13.091327201051248,71.32352941176471,1610612753,2,0,2022-12-22T01:15:54Z,150000,False,-107.0,71.0,1,left,MISS M. Fultz 12' pullup Shot,[1628365],1610612753.0,ORL,pullup,,,Fultz,M. Fultz,,,,,Mid-Range,8-16 Left,12.79,Missed,,,,,,,,,,,,,,,,,,
16,PT10M59.00S,2022-12-22T01:12:20.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,2,0,2022-12-22T01:12:30Z,160000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Mid-Range,8-16 Left,,,,15.0,,,,,,,,,,,,,,,,
