actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,blockPlayerName,blockPersonId,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-03-19T23:11:24.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-19T23:11:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-03-19T23:11:28.8Z,1,REGULAR,jumpball,recovered,[],0,,,1610612740,0,0,2023-03-19T23:11:28Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. J. Smith Jr.: Tip to Team (NOP),"[202685, 1631095]",1610612740.0,NOP,startperiod,Team (NOP),Valanciunas,202685.0,Smith Jr.,1631095.0,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2023-03-19T23:11:49.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,94.69448094612353,35.294117647058826,1610612740,0,0,2023-03-19T23:11:56Z,80000,False,-74.0,-3.0,1,right,MISS J. Valanciunas 7' turnaround fadeaway Shot,[202685],1610612740.0,NOP,turnaround fadeaway,,,,,,In The Paint (Non-RA),0-8 Center,7.35,Missed,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2023-03-19T23:11:52.6Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,0,0,2023-03-19T23:11:56Z,90000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,,,,In The Paint (Non-RA),0-8 Center,,,Smith Jr.,J. Smith Jr.,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M27.00S,2023-03-19T23:12:01.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629645,17.559132720105126,37.745098039215684,1610612745,2,0,2023-03-19T23:12:05Z,100000,False,61.0,113.0,1,left,K. Porter Jr. 12' pullup Jump Shot (2 PTS),[1629645],1610612745.0,HOU,pullup,,,,,,In The Paint (Non-RA),8-16 Center,12.82,Made,Porter Jr.,K. Porter Jr.,,,,,2.0,,,,,,,,,,,,,
11,PT11M17.00S,2023-03-19T23:12:11.3Z,1,REGULAR,3pt,Jump Shot,[],202685,69.33311432325887,75.0,1610612740,2,3,2023-03-19T23:12:16Z,110000,False,125.0,236.0,1,right,J. Valanciunas 26' 3PT  (3 PTS) (C. McCollum 1 AST),"[202685, 203468]",1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,26.69,Made,Valanciunas,J. Valanciunas,,,,,3.0,C. McCollum,203468.0,1.0,,,,,,,,,,
13,PT10M58.00S,2023-03-19T23:12:30.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,4.944152431011826,38.72549019607843,1610612745,2,3,2023-03-19T23:12:35Z,130000,False,56.0,-6.0,1,left,MISS J. Green driving Layup,[1630224],1610612745.0,HOU,driving,,,,,,In The Paint (Non-RA),0-8 Center,5.67,Missed,Green,J. Green,,,,,,,,,,,,,,,,,,
15,PT10M55.00S,2023-03-19T23:12:33.9Z,1,REGULAR,rebound,offensive,[],1630224,,,1610612745,2,3,2023-03-19T23:12:35Z,150000,False,,,0,,J. Green REBOUND (Off:1 Def:0),[1630224],1610612745.0,HOU,,,,,,,In The Paint (Non-RA),0-8 Center,,,Green,J. Green,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,
16,PT10M54.00S,2023-03-19T23:12:35.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631095,27.283180026281208,81.61764705882352,1610612745,2,3,2023-03-19T23:12:39Z,160000,False,-158.0,204.0,1,left,MISS J. Smith Jr. 25' 3PT,[1631095],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,25.81,Missed,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,
17,PT10M52.00S,2023-03-19T23:12:37.1Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,2,3,2023-03-19T23:12:47Z,170000,False,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Left Center,,,McCollum,C. McCollum,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M43.00S,2023-03-19T23:12:45.9Z,1,REGULAR,3pt,Jump Shot,[],1630529,92.9862023653088,3.6764705882352944,1610612740,2,3,2023-03-19T23:12:52Z,180000,False,-232.0,13.0,1,right,MISS H. Jones 3PT,[1630529],1610612740.0,NOP,,,,,,,Left Corner 3,24+ Left,23.2,Missed,Jones,H. Jones,,,,,,,,,,,,,,,,,,
19,PT10M41.00S,2023-03-19T23:12:47.9Z,1,REGULAR,rebound,defensive,[],1630231,,,1610612745,2,3,2023-03-19T23:12:52Z,190000,False,,,0,,K. Martin Jr. REBOUND (Off:0 Def:1),[1630231],1610612745.0,HOU,,,,,,,Left Corner 3,24+ Left,,,Martin Jr.,K. Martin Jr.,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M26.00S,2023-03-19T23:13:02.3Z,1,REGULAR,2pt,Jump Shot,[],1630224,29.38567674113009,61.51960784313726,1610612745,4,3,2023-03-19T23:13:10Z,200000,False,-58.0,224.0,1,left,J. Green 23' step back Jump Shot (2 PTS) (A. Sengun 1 AST),"[1630224, 1630578]",1610612745.0,HOU,step back,,,,,,Mid-Range,16-24 Center,23.1,Made,Green,J. Green,,,,,2.0,A. Sengun,1630578.0,1.0,,,,,,,,,,
21,PT10M09.00S,2023-03-19T23:13:20.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,93.51182654402102,40.19607843137255,1610612740,4,3,2023-03-19T23:13:32Z,210000,False,-49.0,8.0,1,right,MISS J. Valanciunas reverse Layup,[202685],1610612740.0,NOP,reverse,,,,,,In The Paint (Non-RA),0-8 Center,4.97,Missed,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,
23,PT10M06.00S,2023-03-19T23:13:23.0Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,4,3,2023-03-19T23:13:32Z,230000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:0),[202685],1610612740.0,NOP,,,,,,,In The Paint (Non-RA),0-8 Center,,,Valanciunas,J. Valanciunas,21.0,1.0,0.0,1.0,,,,,,,,,,,,,,
24,PT10M04.00S,2023-03-19T23:13:24.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202685,94.1688567674113,47.549019607843135,1610612740,4,5,2023-03-19T23:13:36Z,240000,False,-12.0,2.0,1,right,J. Valanciunas putback Layup (5 PTS),[202685],1610612740.0,NOP,putback,,,,,,Restricted Area,0-8 Center,1.25,Made,Valanciunas,J. Valanciunas,,,,,5.0,,,,,,,,,,,,,
25,PT09M55.00S,2023-03-19T23:13:33.9Z,1,REGULAR,3pt,Jump Shot,[],1630231,32.276609724047304,53.18627450980392,1610612745,7,5,2023-03-19T23:13:40Z,250000,False,-16.0,251.0,1,left,K. Martin Jr. 25' 3PT  (3 PTS) (A. Sengun 2 AST),"[1630231, 1630578]",1610612745.0,HOU,,,,,,,Above the Break 3,24+ Center,25.14,Made,Martin Jr.,K. Martin Jr.,,,,,3.0,A. Sengun,1630578.0,2.0,,,,,,,,,,
27,PT09M40.00S,2023-03-19T23:13:48.5Z,1,REGULAR,3pt,Jump Shot,[],1630530,75.64060446780552,88.23529411764706,1610612740,7,5,2023-03-19T23:13:54Z,270000,False,191.0,176.0,1,right,MISS T. Murphy III 26' 3PT,[1630530],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,26.02,Missed,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,
28,PT09M37.00S,2023-03-19T23:13:51.5Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,7,5,2023-03-19T23:13:54Z,280000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,,,Sengun,A. Sengun,27.0,1.0,1.0,0.0,,,,,,,,,,,,,,
43,PT09M29.00S,2023-03-19T23:14:16.0Z,1,REGULAR,foul,technical,['1freethrow'],202685,,,1610612745,7,5,2023-03-19T23:16:41Z,290000,False,,,0,,J. Valanciunas defensive-3-second technical FOUL (1 Tech),[202685],1610612740.0,NOP,defensive-3-second,,,,,,,,,,Valanciunas,J. Valanciunas,,,,,,,,,1204.0,0.0,1.0,,,,,,,
48,PT09M29.00S,2023-03-19T23:14:29.8Z,1,REGULAR,freethrow,1 of 1,[],1630224,,,1610612745,8,5,2023-03-19T23:17:05Z,295000,False,,,0,,J. Green technical Free Throw 1 of 1 (3 PTS),[1630224],1610612745.0,HOU,technical,,,,,,,,,Made,Green,J. Green,,,,,3.0,,,,,,,,,,,,,
