actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-19T01:11:15.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-19T01:11:15Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-01-19T01:11:18.0Z,1,REGULAR,jumpball,recovered,[],201569,,,1610612745,0,0,2023-01-19T01:11:18Z,40000,False,,,0,,Jump Ball J. Smith Jr. vs. M. Plumlee: Tip to E. Gordon,"[201569, 1631095, 203486]",1610612745.0,HOU,startperiod,E. Gordon,201569.0,Gordon,E. Gordon,Smith Jr.,1631095.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-01-19T01:11:29.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201569,93.24901445466492,55.63725490196079,1610612745,0,0,2023-01-19T01:12:12Z,70000,False,28.0,11.0,1,right,MISS E. Gordon driving Layup,[201569],1610612745.0,HOU,driving,,,Gordon,E. Gordon,,,,,Restricted Area,0-8 Center,3.03,Missed,,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2023-01-19T01:11:30.5Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,0,0,2023-01-19T01:12:12Z,80000,False,,,0,,A. Sengun REBOUND (Off:1 Def:0),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M46.00S,2023-01-19T01:11:35.3Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1630578,94.40999984741211,50.0,1610612745,2,0,2023-01-19T01:12:20Z,90000,False,0.0,0.0,1,right,A. Sengun tip DUNK (2 PTS),[1630578],1610612745.0,HOU,tip,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M30.00S,2023-01-19T01:12:44.3Z,1,REGULAR,turnover,out-of-bounds,[],1630163,,,1610612766,2,0,2023-01-19T01:16:13Z,120000,False,,,0,,L. Ball bad pass out-of-bounds TURNOVER (1 TO),[1630163],1610612766.0,CHA,bad pass,,,Ball,L. Ball,,,,,Mid-Range,16-24 Left,,,,,,,,2882.0,1.0,,,,,,,,,,,
12,PT11M20.00S,2023-01-19T01:12:55.9Z,1,REGULAR,jumpball,recovered,[],1630231,,,1610612745,2,0,2023-01-19T01:12:55Z,130000,False,,,0,,Jump Ball J. Green vs. T. Rozier: Tip to K. Martin Jr.,"[1630231, 1630224, 1626179]",1610612745.0,HOU,heldball,K. Martin Jr.,1630231.0,Martin Jr.,K. Martin Jr.,Green,1630224.0,Rozier,1626179.0,,,,,,,,,,,,,,,,,,,,,,
15,PT11M15.00S,2023-01-19T01:13:01.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630231,92.59198423127464,50.245098039215684,1610612745,4,0,2023-01-19T01:13:07Z,160000,False,1.0,17.0,1,right,K. Martin Jr. cutting Layup (2 PTS),[1630231],1610612745.0,HOU,cutting,,,Martin Jr.,K. Martin Jr.,,,,,Restricted Area,0-8 Center,1.71,Made,,,,,2.0,,,,,,,,,,,,,
17,PT11M00.00S,2023-01-19T01:13:15.1Z,1,REGULAR,3pt,Jump Shot,[],1626179,7.178055190538765,97.30392156862744,1610612766,4,3,2023-01-19T01:13:20Z,180000,False,-237.0,15.0,1,left,T. Rozier 3PT  (3 PTS) (J. McDaniels 1 AST),"[1626179, 1629667]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Left Corner 3,24+ Left,23.7,Made,,,,,3.0,,,J. McDaniels,1629667.0,1.0,,,,,,,,
19,PT10M48.00S,2023-01-19T01:13:27.7Z,1,REGULAR,2pt,Jump Shot,[],1630224,78.26872536136662,49.754901960784316,1610612745,6,3,2023-01-19T01:16:30Z,200000,False,-1.0,152.0,1,right,J. Green 15' driving floating Jump Shot (2 PTS),[1630224],1610612745.0,HOU,driving floating,,,Green,J. Green,,,,,Mid-Range,8-16 Center,15.18,Made,,,,,2.0,,,,,,,,,,,,,
20,PT10M38.00S,2023-01-19T01:13:37.4Z,1,REGULAR,3pt,Jump Shot,[],1629023,28.07161629434954,20.833333333333336,1610612766,6,3,2023-01-19T01:13:45Z,210000,False,146.0,211.0,1,left,MISS P. Washington 25' 3PT,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Right Center,25.68,Missed,,,,,,,,,,,,,,,,,,
21,PT10M36.00S,2023-01-19T01:13:41.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,6,3,2023-01-19T01:13:41Z,220000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Above the Break 3,24+ Right Center,,,20.0,,,,,,,,,,,,,,,,,
23,PT10M31.00S,2023-01-19T01:14:01.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630163,25.18068331143233,57.59803921568627,1610612766,6,3,2023-01-19T01:14:11Z,240000,False,-38.0,184.0,1,left,MISS L. Ball 18' turnaround Shot,[1630163],1610612766.0,CHA,turnaround,,,Ball,L. Ball,,,,,Mid-Range,16-24 Center,18.81,Missed,,,,,,,,,,,,,,,,,,
24,PT10M30.00S,2023-01-19T01:14:02.6Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,6,3,2023-01-19T01:14:11Z,250000,False,,,0,,A. Sengun REBOUND (Off:1 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Center,,,23.0,2.0,1.0,1.0,,,,,,,,,,,,,,
25,PT10M12.00S,2023-01-19T01:14:20.7Z,1,REGULAR,turnover,bad pass,[],201569,,,1610612745,6,3,2023-01-19T01:14:24Z,260000,False,,,0,,E. Gordon bad pass TURNOVER (1 TO),"[201569, 203486]",1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,1.0,,,,Plumlee,203486.0,,,,,,
26,PT10M12.00S,2023-01-19T01:14:20.7Z,1,REGULAR,steal,,[],203486,,,1610612766,6,3,2023-01-19T01:28:35Z,270000,False,,,0,,M. Plumlee STEAL (1 STL),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
27,PT10M05.00S,2023-01-19T01:14:27.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629023,33.065045992115635,52.94117647058824,1610612766,6,3,2023-01-19T01:14:36Z,280000,False,-15.0,258.0,1,left,MISS P. Washington 25' 3PT,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Center,25.87,Missed,,,,,,,,,,,,,,,,,,
28,PT10M04.00S,2023-01-19T01:14:28.8Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,6,3,2023-01-19T01:14:36Z,290000,False,,,0,,A. Sengun REBOUND (Off:1 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Center,,,27.0,3.0,2.0,1.0,,,,,,,,,,,,,,
29,PT09M55.00S,2023-01-19T01:14:38.4Z,1,REGULAR,turnover,lost ball,[],1631095,,,1610612745,6,3,2023-01-19T01:21:45Z,300000,False,,,0,,J. Smith Jr. lost ball TURNOVER (1 TO),"[1631095, 1629023]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,1.0,,,,Washington,1629023.0,,,,,,
30,PT09M55.00S,2023-01-19T01:14:38.4Z,1,REGULAR,steal,,[],1629023,,,1610612766,6,3,2023-01-19T01:18:27Z,310000,False,,,0,,P. Washington STEAL (1 STL),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
31,PT09M50.00S,2023-01-19T01:14:43.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1626179,7.835085413929041,2.696078431372549,1610612766,6,3,2023-01-19T01:21:39Z,320000,False,237.0,21.0,1,left,MISS T. Rozier running pullup 3PT,[1626179],1610612766.0,CHA,running pullup,,,Rozier,T. Rozier,,,,,Right Corner 3,24+ Right,23.74,Missed,,,,,,,,,,,,,,,,,,
32,PT09M48.00S,2023-01-19T01:14:45.1Z,1,REGULAR,rebound,offensive,[],1630163,,,1610612766,6,3,2023-01-19T01:14:53Z,330000,False,,,0,,L. Ball REBOUND (Off:1 Def:0),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Right Corner 3,24+ Right,,,31.0,1.0,0.0,1.0,,,,,,,,,,,,,,
33,PT09M48.00S,2023-01-19T01:14:46.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630163,6.258212877792378,50.245098039215684,1610612766,6,5,2023-01-19T01:22:48Z,340000,False,-1.0,6.0,1,left,L. Ball putback Layup (2 PTS),[1630163],1610612766.0,CHA,putback,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,0.64,Made,,,,,2.0,,,,,,,,,,,,,
34,PT09M29.00S,2023-01-19T01:15:02.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630578,80.50262812089356,56.372549019607845,1610612745,8,5,2023-01-19T01:15:14Z,350000,False,32.0,131.0,1,right,A. Sengun 13' floating Jump Shot (4 PTS) (J. Green 1 AST),"[1630578, 1630224]",1610612745.0,HOU,floating,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,13.46,Made,,,,,4.0,,,J. Green,1630224.0,1.0,,,,,,,,
36,PT09M08.00S,2023-01-19T01:15:24.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203486,11.645860709592641,60.78431372549019,1610612766,8,7,2023-01-19T01:15:29Z,370000,False,-54.0,57.0,1,left,M. Plumlee 7' turnaround Hook (2 PTS) (J. McDaniels 2 AST),"[203486, 1629667]",1610612766.0,CHA,turnaround,,,Plumlee,M. Plumlee,,,,,In The Paint (Non-RA),0-8 Center,7.84,Made,,,,,2.0,,,J. McDaniels,1629667.0,2.0,,,,,,,,
