actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2022-11-03T00:11:47.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-03T00:11:47Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-03T00:11:50.3Z,1,REGULAR,jumpball,recovered,[],202694,,,1610612746,0,0,2022-11-03T00:11:50Z,40000,,,0,,Jump Ball I. Zubac vs. A. Sengun: Tip to M. Morris Sr.,"[202694, 1627826, 1630578]",1610612746.0,LAC,startperiod,M. Morris Sr.,202694.0,Morris Sr.,M. Morris Sr.,Zubac,1627826.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-11-03T00:12:08.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202704,89.17542706964521,40.68627450980392,1610612746,0,2,2022-11-03T00:12:13Z,70000,-47.0,49.0,1,right,R. Jackson 6' driving finger roll Layup (2 PTS),[202704],1610612746.0,LAC,driving finger roll,,,Jackson,R. Jackson,,,,,In The Paint (Non-RA),0-8 Center,6.78,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M21.00S,2022-11-03T00:12:25.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630578,12.697109067017081,50.98039215686274,1610612745,0,2,2022-11-03T00:12:55Z,80000,-5.0,67.0,1,left,MISS A. Sengun 6' floating Shot,[1630578],1610612745.0,HOU,floating,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,6.71,Missed,,,,,,,,,,,,,,,,,,
9,PT11M21.00S,2022-11-03T00:12:25.7Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,2,2022-11-03T00:12:35Z,90000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M11.00S,2022-11-03T00:12:37.8Z,1,REGULAR,foul,personal,[],1630224,,,1610612746,0,2,2022-11-03T00:12:55Z,100000,,,0,,J. Green personal FOUL (1 PF),"[1630224, 1627826]",1610612745.0,HOU,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,,1628953.0,1.0,0.0,Zubac,1627826.0,,,,,,,,
12,PT11M01.00S,2022-11-03T00:13:07.3Z,1,REGULAR,turnover,bad pass,[],1628379,,,1610612746,0,2,2022-11-03T00:13:12Z,120000,,,0,,L. Kennard bad pass TURNOVER (1 TO),"[1628379, 1630224]",1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,Green,1630224.0,,,,,
13,PT11M01.00S,2022-11-03T00:13:07.3Z,1,REGULAR,steal,,[],1630224,,,1610612745,0,2,2022-11-03T00:13:09Z,130000,,,0,,J. Green STEAL (1 STL),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT10M54.00S,2022-11-03T00:13:14.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629645,17.16491458607096,49.50980392156863,1610612745,0,2,2022-11-03T00:13:18Z,140000,2.0,109.0,1,left,MISS K. Porter Jr. 10' pullup Shot - blocked,"[1629645, 202704]",1610612745.0,HOU,pullup,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,10.89,Missed,,,,,,,,,,,,,,Jackson,202704.0,,,
15,PT10M54.00S,2022-11-03T00:13:14.4Z,1,REGULAR,block,,[],202704,,,1610612745,0,2,2022-11-03T00:13:16Z,150000,,,0,,R. Jackson BLOCK (1 BLK),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
