shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
12:00,2,PT12M00.00S,2022-12-14T01:11:27.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-14T01:11:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:56,4,PT11M56.00S,2022-12-14T01:11:29.6Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612756,0,0,2022-12-14T01:11:29Z,40000,False,,,0,,Jump Ball D. Ayton vs. A. Sengun: Tip to C. Paul,"[101108, 1629028, 1630578]",3,1610612756.0,PHX,startperiod,C. Paul,101108.0,Paul,C. Paul,Ayton,1629028.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
11:39,7,PT11M39.00S,2022-12-14T01:11:46.5Z,1,REGULAR,3pt,Jump Shot,[],1629013,66.44218134034165,53.18627450980392,1610612756,0,0,2022-12-14T01:11:56Z,70000,False,16.0,263.0,1,right,MISS L. Shamet 26' 3PT,[1629013],14,1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,Above the Break 3,24+ Center,26.34,Missed,,,,,,,,,,,,,,,,,,
11:38,8,PT11M38.00S,2022-12-14T01:11:47.5Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,0,0,2022-12-14T01:11:56Z,80000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1,1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11:23,9,PT11M23.00S,2022-12-14T01:12:03.7Z,1,REGULAR,3pt,Jump Shot,[],201569,24.129434954007884,9.313725490196079,1610612745,0,0,2022-12-14T01:12:12Z,90000,False,203.0,174.0,1,left,MISS E. Gordon 26' 3PT,[201569],10,1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Right Center,26.79,Missed,,,,,,,,,,,,,,,,,,
11:21,10,PT11M21.00S,2022-12-14T01:12:05.7Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,0,0,2022-12-14T01:12:12Z,100000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],25,1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11:03,11,PT11M03.00S,2022-12-14T01:12:22.8Z,1,REGULAR,2pt,Jump Shot,[],1629028,93.38042049934296,70.34313725490196,1610612756,0,0,2022-12-14T01:12:30Z,110000,False,102.0,10.0,1,right,MISS D. Ayton 10' Jump Shot,[1629028],22,1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Right,10.22,Missed,,,,,,,,,,,,,,,,,,
11:03,12,PT11M03.00S,2022-12-14T01:12:22.8Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,0,0,2022-12-14T01:12:30Z,120000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],4,1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,8-16 Right,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10:51,13,PT10M51.00S,2022-12-14T01:12:34.7Z,1,REGULAR,3pt,Jump Shot,[],1630224,8.754927726675426,4.901960784313726,1610612745,3,0,2022-12-14T01:12:40Z,130000,False,225.0,30.0,1,left,J. Green 3PT  (3 PTS) (K. Porter Jr. 1 AST),"[1630224, 1629645]",4,1610612745.0,HOU,,,,Green,J. Green,,,,,Right Corner 3,24+ Right,22.75,Made,,,,,3.0,K. Porter Jr.,1629645.0,1.0,,,,,,,,,,
10:39,15,PT10M39.00S,2022-12-14T01:12:47.1Z,1,REGULAR,3pt,Jump Shot,[],1629013,67.7562417871222,70.34313725490196,1610612756,3,0,2022-12-14T01:12:55Z,150000,False,102.0,251.0,1,right,MISS L. Shamet 27' 3PT,[1629013],14,1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,Above the Break 3,24+ Right Center,27.05,Missed,,,,,,,,,,,,,,,,,,
10:38,16,PT10M38.00S,2022-12-14T01:12:48.1Z,1,REGULAR,rebound,defensive,[],201569,,,1610612745,3,0,2022-12-14T01:12:55Z,160000,False,,,0,,E. Gordon REBOUND (Off:0 Def:1),[201569],10,1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Right Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10:20,17,PT10M20.00S,2022-12-14T01:13:06.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,13.485545335085414,39.21568627450981,1610612745,3,0,2022-12-14T01:13:22Z,170000,False,54.0,74.0,1,left,MISS A. Sengun 9' turnaround Hook,[1630578],28,1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Right,9.18,Missed,,,,,,,,,,,,,,,,,,
