actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-17T23:10:09.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-17T23:10:09Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-01-17T23:10:13.8Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2022-01-17T23:10:13Z,40000,,,0,,Jump Ball B. Portis vs. O. Okongwu: Tip to G. Antetokounmpo,"[203507, 1626171, 1630168]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Portis,1626171.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-01-17T23:10:24.4Z,1,REGULAR,3pt,Jump Shot,[],203114,71.04139290407359,23.52941176470588,1610612749,0,0,2022-01-17T23:10:30Z,70000,-132.0,220.0,1,right,MISS K. Middleton 25' step back 3PT,[203114],1610612749.0,MIL,step back,,,Middleton,K. Middleton,,,,,25.65,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-01-17T23:10:27.4Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,0,0,2022-01-17T23:10:30Z,80000,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M23.00S,2022-01-17T23:10:48.6Z,1,REGULAR,3pt,Jump Shot,[],1628381,5.338370565045992,3.431372549019608,1610612737,0,0,2022-01-17T23:11:14Z,90000,233.0,-2.0,1,left,MISS J. Collins 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,23.28,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2022-01-17T23:10:51.6Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,0,2022-01-17T23:11:14Z,100000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M14.00S,2022-01-17T23:10:56.8Z,1,REGULAR,foul,personal,[],1630168,,,1610612749,0,0,2022-01-17T23:11:06Z,110000,,,0,,O. Okongwu personal FOUL (1 PF),"[1630168, 203507]",1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,200832.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,,,
13,PT11M07.00S,2022-01-17T23:11:19.6Z,1,REGULAR,3pt,Jump Shot,[],1626171,88.51839684625493,96.56862745098039,1610612749,0,0,2022-01-17T23:11:26Z,130000,233.0,55.0,1,right,MISS B. Portis 3PT,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,23.93,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M03.00S,2022-01-17T23:11:23.6Z,1,REGULAR,rebound,offensive,[],1626171,,,1610612749,0,0,2022-01-17T23:11:26Z,140000,,,0,,B. Portis REBOUND (Off:1 Def:0),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
15,PT11M01.00S,2022-01-17T23:11:25.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1626171,92.06636005256242,53.67647058823529,1610612749,0,2,2022-01-17T23:11:31Z,150000,18.0,22.0,1,right,B. Portis floating Jump Shot (2 PTS),[1626171],1610612749.0,MIL,floating,,,Portis,B. Portis,,,,,2.88,Made,,,,,,,,,,2.0,,,,,,,,,
16,PT10M50.00S,2022-01-17T23:11:37.1Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,0,2,2022-01-17T23:11:42Z,160000,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 203114]",1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,1.0,Middleton,203114.0,,,,,,
17,PT10M50.00S,2022-01-17T23:11:37.1Z,1,REGULAR,steal,,[],203114,,,1610612749,0,2,2022-01-17T23:11:39Z,170000,,,0,,K. Middleton STEAL (1 STL),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M46.00S,2022-01-17T23:11:41.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628960,94.03745072273325,51.9607843137255,1610612749,0,4,2022-01-17T23:11:47Z,180000,10.0,4.0,1,right,G. Allen running Layup (2 PTS) (K. Middleton 1 AST),"[1628960, 203114]",1610612749.0,MIL,running,,,Allen,G. Allen,,,,,1.04,Made,,,,,,,,,,2.0,,,,K. Middleton,203114.0,1.0,,,
20,PT10M24.00S,2022-01-17T23:12:02.7Z,1,REGULAR,3pt,Jump Shot,[],1628989,14.273981603153747,3.9215686274509802,1610612737,0,4,2022-01-17T23:12:07Z,200000,230.0,82.0,1,left,MISS K. Huerter 24' 3PT,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,24.45,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M21.00S,2022-01-17T23:12:05.7Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,0,4,2022-01-17T23:12:07Z,210000,,,0,,B. Portis REBOUND (Off:1 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,20.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
22,PT10M10.00S,2022-01-17T23:12:17.5Z,1,REGULAR,turnover,out-of-bounds,[],203507,,,1610612749,0,4,2022-01-17T23:12:26Z,220000,,,0,,G. Antetokounmpo lost ball out-of-bounds TURNOVER (1 TO),[203507],1610612749.0,MIL,lost ball,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,200832.0,,,,,,1.0,,,,,,,,
23,PT10M03.00S,2022-01-17T23:12:38.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629027,12.959921156373195,55.63725490196079,1610612737,2,4,2022-01-17T23:12:45Z,230000,-28.0,69.0,1,left,T. Young 7' driving floating Jump Shot (2 PTS),[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,7.48,Made,,,,,,,,,,2.0,,,,,,,,,
24,PT09M52.00S,2022-01-17T23:12:52.0Z,1,REGULAR,foul,personal,['2freethrow'],1628989,,,1610612749,2,4,2022-01-17T23:13:17Z,240000,,,0,,K. Huerter shooting personal FOUL (1 PF) (Allen 2 FT),"[1628989, 1628960]",1610612737.0,ATL,shooting,,,Huerter,K. Huerter,,,,,,,,,,,204058.0,1.0,0.0,Allen,1628960.0,,,,,,,,,,
26,PT09M52.00S,2022-01-17T23:13:18.1Z,1,REGULAR,freethrow,1 of 2,[],1628960,,,1610612749,2,5,2022-01-17T23:13:18Z,260000,,,0,,G. Allen Free Throw 1 of 2 (3 PTS),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,Made,,,,,,,,,,3.0,,,,,,,,,
27,PT09M52.00S,2022-01-17T23:13:30.4Z,1,REGULAR,freethrow,2 of 2,[],1628960,,,1610612749,2,6,2022-01-17T23:13:30Z,270000,,,0,,G. Allen Free Throw 2 of 2 (4 PTS),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,Made,,,,,,,,,,4.0,,,,,,,,,
