actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-10-25T23:40:34.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-25T23:40:34Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-10-25T23:40:37.5Z,1,REGULAR,jumpball,recovered,[],1629027,,,1610612737,0,0,2021-10-25T23:40:37Z,40000,,,0,,Jump Ball C. Capela vs. I. Stewart: Tip to T. Young,"[1629027, 203991, 1630191]",1610612737.0,ATL,startperiod,T. Young,1629027.0,Young,T. Young,Capela,203991.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2021-10-25T23:40:46.2Z,1,REGULAR,3pt,Jump Shot,[],1629027,72.88107752956637,80.3921568627451,1610612737,0,0,2021-10-25T23:40:53Z,70000,152.0,202.0,1,right,MISS T. Young 25' step back 3PT,[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,25.31,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2021-10-25T23:40:50.2Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,0,0,2021-10-25T23:40:53Z,80000,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M33.00S,2021-10-25T23:41:00.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203482,16.770696452036795,59.31372549019608,1610612765,0,2,2021-10-25T23:41:07Z,90000,-47.0,105.0,1,left,K. Olynyk 11' turnaround fadeaway Jump Shot (2 PTS),[203482],1610612765.0,DET,turnaround fadeaway,,,Olynyk,K. Olynyk,,,,,11.5,Made,,,,,2.0,,,,,,,,,,,,,,
10,PT11M20.00S,2021-10-25T23:41:15.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628381,92.72339027595268,50.245098039215684,1610612737,2,2,2021-10-25T23:41:21Z,100000,1.0,16.0,1,right,J. Collins cutting DUNK (2 PTS) (T. Young 1 AST),"[1628381, 1629027]",1610612737.0,ATL,cutting,,,Collins,J. Collins,,,,,1.59,Made,,,,,2.0,T. Young,1629027.0,1.0,,,,,,,,,,,
12,PT11M20.00S,2021-10-25T23:41:25.9Z,1,REGULAR,foul,personal,['1freethrow'],1630191,,,1610612737,2,2,2021-10-25T23:41:41Z,120000,,,0,,I. Stewart shooting personal FOUL (1 PF) (Collins 1 FT),"[1630191, 1628381]",1610612765.0,DET,shooting,,,Stewart,I. Stewart,,,,,,,,,,,,,,,1627964.0,1.0,0.0,Collins,1628381.0,,,,,,
14,PT11M20.00S,2021-10-25T23:41:42.3Z,1,REGULAR,freethrow,1 of 1,[],1628381,,,1610612737,3,2,2021-10-25T23:41:42Z,140000,,,0,,J. Collins Free Throw 1 of 1 (3 PTS),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
15,PT11M04.00S,2021-10-25T23:41:59.5Z,1,REGULAR,3pt,Jump Shot,[],203482,15.062417871222076,4.901960784313726,1610612765,3,5,2021-10-25T23:42:04Z,150000,225.0,89.0,1,left,K. Olynyk 24' 3PT pullup (5 PTS) (S. Bey 1 AST),"[203482, 1630180]",1610612765.0,DET,pullup,,,Olynyk,K. Olynyk,,,,,24.25,Made,,,,,5.0,S. Bey,1630180.0,1.0,,,,,,,,,,,
17,PT10M48.00S,2021-10-25T23:42:14.4Z,1,REGULAR,3pt,Jump Shot,[],203992,76.2976346911958,12.5,1610612737,3,5,2021-10-25T23:42:20Z,170000,-188.0,170.0,1,right,MISS B. Bogdanovic 25' pullup 3PT,[203992],1610612737.0,ATL,pullup,,,Bogdanovic,B. Bogdanovic,,,,,25.33,Missed,,,,,,,,,,,,,,,,,,,
