actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-12-04T00:45:47.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-04T00:45:47Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-04T00:45:50.1Z,1,REGULAR,jumpball,recovered,[],201980,,,1610612755,0,0,2021-12-04T00:45:50Z,40000,,,0,,Jump Ball J. Embiid vs. C. Capela: Tip to D. Green,"[201980, 203954, 203991]",1610612755.0,PHI,startperiod,D. Green,201980.0,Green,D. Green,Embiid,203954.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-12-04T00:46:04.9Z,1,REGULAR,foul,personal,[],1627789,,,1610612755,0,0,2021-12-04T00:46:12Z,70000,,,0,,T. Luwawu-Cabarrot personal FOUL (1 PF),"[1627789, 203954]",1610612737.0,ATL,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,204059.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,,,,,,
9,PT11M36.00S,2021-12-04T00:46:30.1Z,1,REGULAR,2pt,Jump Shot,[],203954,22.158344283837057,60.78431372549019,1610612755,0,0,2021-12-04T00:46:38Z,90000,-54.0,156.0,1,left,MISS J. Embiid 16' Jump Shot,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,16.49,Missed,,,,,,,,,,,,,
10,PT11M32.00S,2021-12-04T00:46:34.1Z,1,REGULAR,rebound,defensive,[],1627789,,,1610612737,0,0,2021-12-04T00:46:38Z,100000,,,0,,T. Luwawu-Cabarrot REBOUND (Off:0 Def:1),[1627789],1610612737.0,ATL,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
11,PT11M15.00S,2021-12-04T00:46:50.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,86.94152431011827,39.950980392156865,1610612737,2,0,2021-12-04T00:47:09Z,110000,-50.0,70.0,1,right,T. Young 8' floating Jump Shot (2 PTS),[1629027],1610612737.0,ATL,floating,,,Young,T. Young,,,,,,,,,,8.63,Made,,,,,2.0,,,,,,,,
12,PT10M57.00S,2021-12-04T00:47:08.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,17.821944809461236,55.63725490196079,1610612755,2,0,2021-12-04T00:47:15Z,120000,-28.0,115.0,1,left,MISS T. Maxey 11' driving floating Shot,[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,,,,,,11.84,Missed,,,,,,,,,,,,,
13,PT10M54.00S,2021-12-04T00:47:11.3Z,1,REGULAR,rebound,offensive,[],203954,,,1610612755,2,0,2021-12-04T00:49:25Z,130000,,,0,,J. Embiid REBOUND (Off:1 Def:0),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,,
14,PT10M51.00S,2021-12-04T00:47:14.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627777,5.732588699080158,3.9215686274509802,1610612755,2,0,2021-12-04T00:47:24Z,140000,230.0,1.0,1,left,MISS G. Niang 3PT,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,23.04,Missed,,,,,,,,,,,,,
15,PT10M48.00S,2021-12-04T00:47:17.9Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,2,0,2021-12-04T00:47:24Z,150000,,,0,,T. Young REBOUND (Off:0 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,
16,PT10M42.00S,2021-12-04T00:47:26.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,2,0,2021-12-04T00:47:26Z,160000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M34.00S,2021-12-04T00:47:46.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,89.04402102496715,54.41176470588235,1610612737,2,0,2021-12-04T00:47:52Z,170000,22.0,50.0,1,right,MISS T. Young driving floating Shot - blocked,"[1629027, 203954]",1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,,,,,,5.51,Missed,,,,,,Embiid,203954.0,,,,,,
18,PT10M34.00S,2021-12-04T00:47:46.3Z,1,REGULAR,block,,[],203954,,,1610612737,2,0,2021-12-04T00:47:49Z,180000,,,0,,J. Embiid BLOCK (1 BLK),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M31.00S,2021-12-04T00:47:49.3Z,1,REGULAR,rebound,offensive,[],1629027,,,1610612737,2,0,2021-12-04T00:47:52Z,190000,,,0,,T. Young REBOUND (Off:1 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,17.0,2.0,1.0,1.0,,,,,,,,,
20,PT10M25.00S,2021-12-04T00:47:59.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203991,92.32917214191852,47.549019607843135,1610612737,4,0,2021-12-04T00:48:25Z,200000,-12.0,20.0,1,right,C. Capela alley-oop DUNK (2 PTS) (T. Young 1 AST),"[203991, 1629027]",1610612737.0,ATL,alley-oop,,,Capela,C. Capela,,,,,,,,,,2.31,Made,,,,,2.0,,,T. Young,1629027.0,1.0,,,
22,PT10M25.00S,2021-12-04T00:48:08.5Z,1,REGULAR,foul,personal,['1freethrow'],203552,,,1610612737,4,0,2021-12-04T00:48:24Z,220000,,,0,,S. Curry shooting personal FOUL (1 PF) (Capela 1 FT),"[203552, 203991]",1610612755.0,PHI,shooting,,,Curry,S. Curry,,,,,204059.0,1.0,0.0,Capela,203991.0,,,,,,,,,,,,,,,
24,PT10M25.00S,2021-12-04T00:48:25.7Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],203991,,,1610612737,4,0,2021-12-04T00:48:34Z,240000,,,0,,MISS C. Capela Free Throw 1 of 1,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,Missed,,,,,,,,,,,,,
25,PT10M22.00S,2021-12-04T00:48:28.7Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,4,0,2021-12-04T00:48:34Z,250000,,,0,,J. Embiid REBOUND (Off:1 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,24.0,2.0,1.0,1.0,,,,,,,,,
26,PT10M11.00S,2021-12-04T00:48:37.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203954,13.222733245729303,50.98039215686274,1610612755,4,0,2021-12-04T00:48:43Z,260000,-5.0,72.0,1,left,MISS J. Embiid 7' Hook,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,7.2,Missed,,,,,,,,,,,,,
27,PT10M08.00S,2021-12-04T00:48:40.7Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,4,0,2021-12-04T00:48:43Z,270000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,
