actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-01-13T00:40:27.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-13T00:40:27Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-01-13T00:40:31.5Z,1,REGULAR,jumpball,recovered,[],1628997,,,1610612748,0,0,2022-01-13T00:40:31Z,40000,,,0,,Jump Ball O. Yurtseven vs. O. Okongwu: Tip to C. Martin,"[1628997, 1630209, 1630168]",1610612748.0,MIA,startperiod,C. Martin,1628997.0,Martin,C. Martin,Yurtseven,1630209.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M53.00S,2022-01-13T00:40:36.2Z,1,REGULAR,turnover,traveling,[],1628997,,,1610612748,0,0,2022-01-13T00:40:45Z,70000,,,0,,C. Martin traveling TURNOVER (1 TO),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,1162.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M29.00S,2022-01-13T00:41:10.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203992,77.7431011826544,47.30392156862745,1610612737,2,0,2022-01-13T00:41:17Z,80000,-13.0,157.0,1,right,B. Bogdanovic 15' pullup Jump Shot (2 PTS),[203992],1610612737.0,ATL,pullup,,,Bogdanovic,B. Bogdanovic,,,,,,,15.73,Made,2.0,,,,,,,,,,,,,,,,
9,PT11M08.00S,2022-01-13T00:41:31.0Z,1,REGULAR,3pt,Jump Shot,[],200768,6.389618922470433,95.83333333333334,1610612748,2,0,2022-01-13T00:41:36Z,90000,-229.0,8.0,1,left,MISS K. Lowry 3PT,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,22.93,Missed,,,,,,,,,,,,,,,,,
10,PT11M06.00S,2022-01-13T00:41:33.0Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,2,0,2022-01-13T00:41:36Z,100000,,,0,,T. Young REBOUND (Off:0 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,
11,PT11M00.00S,2022-01-13T00:41:39.6Z,1,REGULAR,3pt,Jump Shot,[],1629027,70.38436268068331,23.03921568627451,1610612737,2,0,2022-01-13T00:41:44Z,110000,-135.0,226.0,1,right,MISS T. Young 26' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,,,26.31,Missed,,,,,,,,,,,,,,,,,
12,PT10M57.00S,2022-01-13T00:41:42.6Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,2,0,2022-01-13T00:41:44Z,120000,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,
13,PT10M46.00S,2022-01-13T00:41:54.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630209,9.149145860709593,43.38235294117647,1610612748,2,0,2022-01-13T00:41:59Z,130000,33.0,34.0,1,left,MISS O. Yurtseven Layup - blocked,"[1630209, 203992]",1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,4.71,Missed,,,,,,Bogdanovic,203992.0,,,,,,,,,,
14,PT10M46.00S,2022-01-13T00:41:54.4Z,1,REGULAR,block,,[],203992,,,1610612748,2,0,2022-01-13T00:41:57Z,140000,,,0,,B. Bogdanovic BLOCK (1 BLK),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,
