actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-03-18T23:40:15.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-18T23:40:15Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-18T23:40:22.7Z,1,REGULAR,jumpball,recovered,[],0,,,1610612737,0,0,2022-03-18T23:40:22Z,40000,,,0,,Jump Ball C. Capela vs. S. Adams: Tip to Team (ATL),"[203991, 203500]",1610612737.0,ATL,startperiod,Team (ATL),Capela,203991.0,Adams,203500.0,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-03-18T23:40:39.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629631,19.793035479632064,57.84313725490197,1610612737,0,0,2022-03-18T23:40:44Z,70000,-39.0,134.0,1,left,MISS D. Hunter 13' Jump Shot,[1629631],1610612737.0,ATL,,,,,,,13.92,Missed,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2022-03-18T23:40:42.5Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,0,0,2022-03-18T23:40:44Z,80000,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,,,,,,Jackson Jr.,J. Jackson Jr.,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M28.00S,2022-03-18T23:40:56.0Z,1,REGULAR,3pt,Jump Shot,[],1630217,68.54467805519053,39.705882352941174,1610612763,0,0,2022-03-18T23:41:01Z,90000,-51.0,243.0,1,right,MISS D. Bane 24' 3PT,[1630217],1610612763.0,MEM,,,,,,,24.86,Missed,Bane,D. Bane,,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2022-03-18T23:41:01.0Z,1,REGULAR,rebound,offensive,[],1628415,,,1610612763,0,0,2022-03-18T23:41:01Z,100000,,,0,,D. Brooks REBOUND (Off:1 Def:0),[1628415],1610612763.0,MEM,,,,,,,,,Brooks,D. Brooks,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
11,PT11M20.00S,2022-03-18T23:41:03.6Z,1,REGULAR,turnover,bad pass,[],1630217,,,1610612763,0,0,2022-03-18T23:41:08Z,110000,,,0,,D. Bane bad pass TURNOVER (1 TO),"[1630217, 1626153]",1610612763.0,MEM,,,,,,,,,Bane,D. Bane,,,,,1.0,Wright,1626153.0,,,,,,,,,,,,
12,PT11M20.00S,2022-03-18T23:41:03.6Z,1,REGULAR,steal,,[],1626153,,,1610612737,0,0,2022-03-18T23:41:06Z,120000,,,0,,D. Wright STEAL (1 STL),[1626153],1610612737.0,ATL,,,,,,,,,Wright,D. Wright,,,,,,,,,,,,,,,,,,,
13,PT11M11.00S,2022-03-18T23:41:13.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201568,5.995400788436268,48.529411764705884,1610612737,0,0,2022-03-18T23:41:23Z,130000,7.0,4.0,1,left,MISS D. Gallinari driving Layup - blocked,"[201568, 1628991]",1610612737.0,ATL,driving,,,,,,0.84,Missed,Gallinari,D. Gallinari,,,,,,,,Jackson Jr.,1628991.0,,,,,,,,,,
14,PT11M11.00S,2022-03-18T23:41:13.8Z,1,REGULAR,block,,[],1628991,,,1610612737,0,0,2022-03-18T23:41:16Z,140000,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612763.0,MEM,,,,,,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,
