actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-11-01T23:40:41.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-01T23:40:41Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-01T23:40:44.1Z,1,REGULAR,jumpball,recovered,[],1629027,,,1610612737,0,0,2021-11-01T23:40:44Z,40000,,,0,,Jump Ball C. Capela vs. D. Gafford: Tip to T. Young,"[1629027, 203991, 1629655]",1610612737.0,ATL,startperiod,T. Young,1629027.0,Young,T. Young,Capela,203991.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-11-01T23:40:57.5Z,1,REGULAR,2pt,Jump Shot,[],1628381,85.49605781865965,73.0392156862745,1610612737,0,0,2021-11-01T23:41:05Z,70000,115.0,84.0,1,right,MISS J. Collins 14' Jump Shot,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,14.25,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2021-11-01T23:40:59.5Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,0,0,2021-11-01T23:41:05Z,80000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M24.00S,2021-11-01T23:41:16.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629655,5.338370565045992,51.71568627450981,1610612764,0,2,2021-11-01T23:41:21Z,90000,-9.0,-2.0,1,left,D. Gafford Layup (2 PTS) (K. Caldwell-Pope 1 AST),"[1629655, 203484]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,0.89,Made,,,,,2.0,K. Caldwell-Pope,203484.0,1.0,,,,,,,,,,
11,PT11M05.00S,2021-11-01T23:41:35.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203992,85.3646517739816,42.15686274509804,1610612737,0,2,2021-11-01T23:41:56Z,110000,-39.0,85.0,1,right,MISS B. Bogdanovic 9' driving floating Shot - blocked,"[203992, 1629655]",1610612737.0,ATL,driving floating,,,Bogdanovic,B. Bogdanovic,,,,,9.37,Missed,,,,,,,,,Gafford,1629655.0,,,,,,,,
12,PT11M05.00S,2021-11-01T23:41:35.2Z,1,REGULAR,block,,[],1629655,,,1610612737,0,2,2021-11-01T23:41:38Z,120000,,,0,,D. Gafford BLOCK (1 BLK),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M01.00S,2021-11-01T23:41:39.2Z,1,REGULAR,rebound,defensive,[],203915,,,1610612764,0,2,2021-11-01T23:41:44Z,130000,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M58.00S,2021-11-01T23:41:42.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628398,31.35676741130092,37.745098039215684,1610612764,0,5,2021-11-01T23:41:49Z,140000,61.0,242.0,1,left,K. Kuzma 24' 3PT  (3 PTS) (S. Dinwiddie 1 AST),"[1628398, 203915]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,24.99,Made,,,,,3.0,S. Dinwiddie,203915.0,1.0,,,,,,,,,,
16,PT10M41.00S,2021-11-01T23:41:58.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,91.80354796320631,46.81372549019608,1610612737,0,5,2021-11-01T23:42:06Z,160000,-16.0,25.0,1,right,MISS J. Collins Layup - blocked,"[1628381, 1629655]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,2.92,Missed,,,,,,,,,Gafford,1629655.0,,,,,,,,
