actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-14T00:40:16.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-14T00:40:16Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-12-14T00:40:20.3Z,1,REGULAR,jumpball,recovered,[],1629027,,,1610612737,0,0,2021-12-14T00:40:20Z,40000,,,0,,Jump Ball C. Capela vs. C. Wood: Tip to T. Young,"[1629027, 203991, 1626174]",1610612737.0,ATL,startperiod,T. Young,1629027.0,Young,T. Young,Capela,203991.0,Wood,1626174.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2021-12-14T00:40:33.6Z,1,REGULAR,3pt,Jump Shot,[],1628989,97.05978975032852,96.81372549019608,1610612737,0,0,2021-12-14T00:40:39Z,70000,234.0,-25.0,1,right,MISS K. Huerter 3PT,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,23.54,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2021-12-14T00:40:33.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,0,0,2021-12-14T00:40:39Z,80000,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
9,PT11M41.00S,2021-12-14T00:40:39.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,0,0,2021-12-14T00:40:39Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M27.00S,2021-12-14T00:41:02.8Z,1,REGULAR,foul,personal,['2freethrow'],1628381,,,1610612745,0,0,2021-12-14T00:41:53Z,100000,,,0,,J. Collins shooting personal FOUL (1 PF) (Gordon 2 FT),"[1628381, 201569]",1610612737.0,ATL,shooting,,,Collins,J. Collins,,,,,,,,1628172.0,1.0,0.0,Gordon,201569.0,,,,,,,,,,,,,
12,PT11M27.00S,2021-12-14T00:41:27.5Z,1,REGULAR,freethrow,1 of 2,[],201569,,,1610612745,0,0,2021-12-14T00:41:58Z,120000,,,0,,MISS E. Gordon Free Throw 1 of 2,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M27.00S,2021-12-14T00:41:27.5Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612745,0,0,2021-12-14T00:41:58Z,130000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,
14,PT11M27.00S,2021-12-14T00:41:27.5Z,1,REGULAR,freethrow,2 of 2,[],201569,,,1610612745,0,1,2021-12-14T00:41:58Z,140000,,,0,,E. Gordon Free Throw 2 of 2 (1 PTS),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,Made,,,,,,,1.0,,,,,,,,,,,,
15,PT11M16.00S,2021-12-14T00:42:01.7Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,0,1,2021-12-14T00:42:05Z,150000,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 201569]",1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,1.0,Gordon,201569.0,,,,,,,,,
16,PT11M16.00S,2021-12-14T00:42:01.7Z,1,REGULAR,steal,,[],201569,,,1610612745,0,1,2021-12-14T00:42:03Z,160000,,,0,,E. Gordon STEAL (1 STL),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT11M13.00S,2021-12-14T00:42:05.3Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1626174,5.863994743758213,51.225490196078425,1610612745,0,3,2021-12-14T00:52:54Z,170000,-6.0,3.0,1,left,C. Wood running alley-oop DUNK (2 PTS) (J. Tate 1 AST),"[1626174, 1630256]",1610612745.0,HOU,running alley-oop,,,Wood,C. Wood,,,,,0.66,Made,,,,,,,2.0,,,,J. Tate,1630256.0,1.0,,,,,,
19,PT10M53.00S,2021-12-14T00:42:23.7Z,1,REGULAR,3pt,Jump Shot,[],1628381,87.59855453350855,96.56862745098039,1610612737,3,3,2021-12-14T00:42:28Z,190000,233.0,64.0,1,right,J. Collins 24' 3PT  (3 PTS) (K. Huerter 1 AST),"[1628381, 1628989]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,24.15,Made,,,,,,,3.0,,,,K. Huerter,1628989.0,1.0,,,,,,
21,PT10M42.00S,2021-12-14T00:42:34.6Z,1,REGULAR,3pt,Jump Shot,[],201569,28.597240473061763,77.69607843137256,1610612745,3,3,2021-12-14T00:42:39Z,210000,-138.0,216.0,1,left,MISS E. Gordon 25' pullup 3PT,[201569],1610612745.0,HOU,pullup,,,Gordon,E. Gordon,,,,,25.68,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M38.00S,2021-12-14T00:42:38.6Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,3,3,2021-12-14T00:42:39Z,220000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,21.0,,,,,,,,,,,,,1.0,1.0,0.0,,,
