actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-01-27T00:40:23.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-27T00:40:23Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-27T00:40:26.0Z,1,REGULAR,jumpball,recovered,[],203084,,,1610612758,0,0,2022-01-27T00:40:26Z,40000,,,0,,Jump Ball R. Holmes vs. C. Capela: Tip to H. Barnes,"[203084, 1626158, 203991]",1610612758.0,SAC,startperiod,H. Barnes,203084.0,Barnes,H. Barnes,Holmes,1626158.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,
7,PT11M52.00S,2022-01-27T00:40:32.9Z,1,REGULAR,foul,offensive,[],1628963,,,1610612758,0,0,2022-01-27T00:40:43Z,70000,,,0,,M. Bagley III off-the-ball offensive FOUL (1 PF),"[1628963, 1628989]",1610612758.0,SAC,off-the-ball,,,Bagley III,M. Bagley III,,,,,204059.0,1.0,0.0,Huerter,1628989.0,,,,,,,,,,,,,,,
9,PT11M52.00S,2022-01-27T00:40:32.9Z,1,REGULAR,turnover,offensive foul,[],1628963,,,1610612758,0,0,2022-01-27T00:40:32Z,90000,,,0,,M. Bagley III offensive foul TURNOVER (1 TO),[1628963],1610612758.0,SAC,,,,Bagley III,M. Bagley III,,,,,204059.0,,,,,1.0,,,,,,,,,,,,,,
10,PT11M35.00S,2022-01-27T00:40:58.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628381,95.0886990801577,95.83333333333334,1610612737,0,0,2022-01-27T00:41:03Z,100000,229.0,-6.0,1,right,MISS J. Collins 3PT - blocked,"[1628381, 1626158]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,22.93,Missed,Holmes,1626158.0,,,,,,,,,,
11,PT11M35.00S,2022-01-27T00:40:58.3Z,1,REGULAR,block,,[],1626158,,,1610612737,0,0,2022-01-27T00:41:02Z,110000,,,0,,R. Holmes BLOCK (1 BLK),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M31.00S,2022-01-27T00:41:02.3Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,0,0,2022-01-27T00:41:03Z,120000,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,
13,PT11M28.00S,2022-01-27T00:41:05.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626158,5.995400788436268,51.470588235294116,1610612758,0,0,2022-01-27T00:41:12Z,130000,-7.0,4.0,1,left,MISS R. Holmes alley-oop Layup,[1626158],1610612758.0,SAC,alley-oop,,,Holmes,R. Holmes,,,,,,,,,,,0.84,Missed,,,,,,,,,,,,
14,PT11M23.00S,2022-01-27T00:41:10.9Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,0,0,2022-01-27T00:49:27Z,140000,,,0,,T. Young REBOUND (Off:0 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,
15,PT11M20.00S,2022-01-27T00:41:13.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203991,93.38042049934296,50.49019607843137,1610612737,2,0,2022-01-27T00:41:19Z,150000,2.0,10.0,1,right,C. Capela running Layup (2 PTS) (T. Young 1 AST),"[203991, 1629027]",1610612737.0,ATL,running,,,Capela,C. Capela,,,,,,,,,,,1.0,Made,,,,,,,2.0,T. Young,1629027.0,1.0,,
17,PT11M00.00S,2022-01-27T00:41:33.1Z,1,REGULAR,3pt,Jump Shot,[],1630558,29.25427069645204,25.98039215686275,1610612758,2,3,2022-01-27T00:41:38Z,170000,120.0,222.0,1,left,D. Mitchell 25' 3PT  (3 PTS) (H. Barnes 1 AST),"[1630558, 203084]",1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,25.28,Made,,,,,,,3.0,H. Barnes,203084.0,1.0,,
19,PT10M35.00S,2022-01-27T00:41:58.2Z,1,REGULAR,2pt,Jump Shot,[],1628381,93.11760840998686,67.8921568627451,1610612737,4,3,2022-01-27T00:42:05Z,190000,89.0,12.0,1,right,J. Collins 9' floating Jump Shot (2 PTS) (T. Young 2 AST),"[1628381, 1629027]",1610612737.0,ATL,floating,,,Collins,J. Collins,,,,,,,,,,,9.03,Made,,,,,,,2.0,T. Young,1629027.0,2.0,,
21,PT10M10.00S,2022-01-27T00:42:23.2Z,1,REGULAR,2pt,Jump Shot,[],1630169,5.075558475689881,67.8921568627451,1610612758,4,5,2022-01-27T00:42:28Z,210000,-89.0,-5.0,1,left,T. Haliburton 8' driving floating Jump Shot (2 PTS) (D. Mitchell 1 AST),"[1630169, 1630558]",1610612758.0,SAC,driving floating,,,Haliburton,T. Haliburton,,,,,,,,,,,8.96,Made,,,,,,,2.0,D. Mitchell,1630558.0,1.0,,
23,PT10M03.00S,2022-01-27T00:42:29.8Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,4,5,2022-01-27T00:42:36Z,230000,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 1630169]",1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,1.0,,,,,,,,,,,,,Haliburton,1630169.0
24,PT10M03.00S,2022-01-27T00:42:29.8Z,1,REGULAR,steal,,[],1630169,,,1610612758,4,5,2022-01-27T00:42:32Z,240000,,,0,,T. Haliburton STEAL (1 STL),[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M59.00S,2022-01-27T00:42:34.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630558,29.25427069645204,73.77450980392157,1610612758,4,8,2022-01-27T00:42:41Z,250000,-119.0,222.0,1,left,D. Mitchell 25' 3PT running (6 PTS) (R. Holmes 1 AST),"[1630558, 1626158]",1610612758.0,SAC,running,,,Mitchell,D. Mitchell,,,,,,,,,,,25.23,Made,,,,,,,6.0,R. Holmes,1626158.0,1.0,,
27,PT09M41.00S,2022-01-27T00:42:52.2Z,1,REGULAR,3pt,Jump Shot,[],1629631,73.01248357424441,16.42156862745098,1610612737,7,8,2022-01-27T00:42:56Z,270000,-168.0,201.0,1,right,D. Hunter 26' 3PT  (3 PTS) (T. Young 3 AST),"[1629631, 1629027]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,26.21,Made,,,,,,,3.0,T. Young,1629027.0,3.0,,
29,PT09M18.00S,2022-01-27T00:43:15.4Z,1,REGULAR,turnover,bad pass,[],1630169,,,1610612758,7,8,2022-01-27T00:43:19Z,290000,,,0,,T. Haliburton bad pass TURNOVER (1 TO),"[1630169, 1629027]",1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,1.0,,,,,,,,,,,,,Young,1629027.0
30,PT09M18.00S,2022-01-27T00:43:15.4Z,1,REGULAR,steal,,[],1629027,,,1610612737,7,8,2022-01-27T00:43:17Z,300000,,,0,,T. Young STEAL (1 STL),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M13.00S,2022-01-27T00:43:20.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628989,73.01248357424441,81.86274509803921,1610612737,7,8,2022-01-27T00:43:26Z,310000,159.0,201.0,1,right,MISS K. Huerter 25' running 3PT,[1628989],1610612737.0,ATL,running,,,Huerter,K. Huerter,,,,,,,,,,,25.66,Missed,,,,,,,,,,,,
32,PT09M09.00S,2022-01-27T00:43:24.6Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612758,7,8,2022-01-27T00:43:26Z,320000,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,
33,PT09M06.00S,2022-01-27T00:43:28.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630558,6.521024967148489,49.01960784313725,1610612758,7,10,2022-01-27T00:44:04Z,330000,5.0,9.0,1,left,D. Mitchell driving Layup (8 PTS) (T. Haliburton 1 AST),"[1630558, 1630169]",1610612758.0,SAC,driving,,,Mitchell,D. Mitchell,,,,,,,,,,,1.01,Made,,,,,,,8.0,T. Haliburton,1630169.0,1.0,,
