actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2021-11-04T23:40:42.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-04T23:40:42Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-04T23:40:44.5Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612762,0,0,2021-11-04T23:40:44Z,40000,,,0,,Jump Ball R. Gobert vs. C. Capela: Tip to R. O'Neale,"[1626220, 203497, 203991]",1610612762.0,UTA,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Gobert,203497.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2021-11-04T23:41:14.5Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612762,0,0,2021-11-04T23:41:20Z,70000,,,0,,UTA shot clock Team TURNOVER,[],1610612762.0,UTA,,,,,,,,,,200834.0,,,,,,,,,,,,,,,,,,,
8,PT11M14.00S,2021-11-04T23:41:40.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629027,5.469776609724048,49.754901960784316,1610612737,2,0,2021-11-04T23:41:44Z,80000,1.0,-1.0,1,left,T. Young driving Layup (2 PTS),[1629027],1610612737.0,ATL,driving,,,Young,T. Young,,,,,,0.16,Made,2.0,,,,,,,,,,,,,,,,
9,PT11M02.00S,2021-11-04T23:41:52.8Z,1,REGULAR,3pt,Jump Shot,[],201144,69.46452036793693,29.65686274509804,1610612762,2,0,2021-11-04T23:41:58Z,90000,-102.0,235.0,1,right,MISS M. Conley 25' step back 3PT,[201144],1610612762.0,UTA,step back,,,Conley,M. Conley,,,,,,25.56,Missed,,,,,,,,,,,,,,,,,
10,PT10M58.00S,2021-11-04T23:41:56.8Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,2,0,2021-11-04T23:41:58Z,100000,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,
11,PT10M45.00S,2021-11-04T23:42:10.4Z,1,REGULAR,2pt,Jump Shot,[],1629027,17.296320630749015,19.11764705882353,1610612737,2,0,2021-11-04T23:42:15Z,110000,154.0,110.0,1,left,MISS T. Young 18' pullup Shot,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,,18.96,Missed,,,,,,,,,,,,,,,,,
12,PT10M42.00S,2021-11-04T23:42:13.4Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,2,0,2021-11-04T23:42:15Z,120000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,
13,PT10M34.00S,2021-11-04T23:42:22.6Z,1,REGULAR,turnover,out-of-bounds,[],204060,,,1610612762,2,0,2021-11-04T23:42:30Z,130000,,,0,,J. Ingles bad pass out-of-bounds TURNOVER (1 TO),[204060],1610612762.0,UTA,bad pass,,,Ingles,J. Ingles,,,,,200834.0,,,,,,,,1.0,,,,,,,,,,,
14,PT10M18.00S,2021-11-04T23:42:46.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629631,8.360709592641262,68.13725490196079,1610612737,4,0,2021-11-04T23:42:52Z,140000,-91.0,26.0,1,left,D. Hunter 9' driving floating Jump Shot (2 PTS),[1629631],1610612737.0,ATL,driving floating,,,Hunter,D. Hunter,,,,,,9.44,Made,2.0,,,,,,,,,,,,,,,,
