actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-05T23:10:06.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-05T23:10:06Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-05T23:10:08.7Z,1,REGULAR,jumpball,recovered,[],1629027,,,1610612737,0,0,2021-12-05T23:10:08Z,40000,,,0,,Jump Ball C. Capela vs. N. Richards: Tip to T. Young,"[1629027, 203991, 1630208]",1610612737.0,ATL,startperiod,T. Young,1629027.0,Young,T. Young,Capela,203991.0,Richards,1630208.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-12-05T23:10:22.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628381,90.3580814717477,49.754901960784316,1610612737,2,0,2021-12-05T23:10:27Z,70000,-1.0,38.0,1,right,J. Collins driving Hook (2 PTS) (K. Huerter 1 AST),"[1628381, 1628989]",1610612737.0,ATL,driving,,,Collins,J. Collins,,,,,3.81,Made,2.0,K. Huerter,1628989.0,1.0,,,,,,,,,,,,,,,
9,PT11M26.00S,2021-12-05T23:10:39.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,8.623521681997373,49.50980392156863,1610612766,2,0,2021-12-05T23:10:43Z,90000,2.0,29.0,1,left,MISS M. Bridges cutting Layup - blocked,"[1628970, 1627789]",1610612766.0,CHA,cutting,,,Bridges,M. Bridges,,,,,2.87,Missed,,,,,Luwawu-Cabarrot,1627789.0,,,,,,,,,,,,,
10,PT11M26.00S,2021-12-05T23:10:39.4Z,1,REGULAR,block,,[],1627789,,,1610612766,2,0,2021-12-05T23:10:42Z,100000,,,0,,T. Luwawu-Cabarrot BLOCK (1 BLK),[1627789],1610612737.0,ATL,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M23.00S,2021-12-05T23:10:42.4Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,2,0,2021-12-05T23:10:43Z,110000,,,0,,T. Young REBOUND (Off:0 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M08.00S,2021-12-05T23:10:57.5Z,1,REGULAR,3pt,Jump Shot,[],1629027,66.83639947437582,49.50980392156863,1610612737,5,0,2021-12-05T23:11:05Z,120000,-2.0,259.0,1,right,T. Young 25' 3PT pullup (3 PTS),[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,25.92,Made,3.0,,,,,,,,,,,,,,,,,,
13,PT10M44.00S,2021-12-05T23:11:20.9Z,1,REGULAR,3pt,Jump Shot,[],1628970,27.808804204993432,22.058823529411764,1610612766,5,3,2021-12-05T23:11:26Z,130000,140.0,209.0,1,left,M. Bridges 25' 3PT pullup (3 PTS) (K. Oubre Jr. 1 AST),"[1628970, 1626162]",1610612766.0,CHA,pullup,,,Bridges,M. Bridges,,,,,25.13,Made,3.0,K. Oubre Jr.,1626162.0,1.0,,,,,,,,,,,,,,,
15,PT10M25.00S,2021-12-05T23:11:40.2Z,1,REGULAR,3pt,Jump Shot,[],1627789,96.66557161629436,96.07843137254902,1610612737,5,3,2021-12-05T23:11:45Z,150000,230.0,-21.0,1,right,MISS T. Luwawu-Cabarrot 3PT,[1627789],1610612737.0,ATL,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,23.14,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M21.00S,2021-12-05T23:11:44.2Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,5,3,2021-12-05T23:11:45Z,160000,,,0,,N. Richards REBOUND (Off:0 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,
