actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-10-21T23:32:16.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-21T23:32:16Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-10-21T23:32:18.7Z,1,REGULAR,jumpball,recovered,[],203939,,,1610612742,0,0,2021-10-21T23:32:18Z,40000,,,0,,Jump Ball K. Porzingis vs. C. Capela: Tip to D. Powell,"[203939, 204001, 203991]",1610612742.0,DAL,startperiod,D. Powell,203939.0,Powell,D. Powell,Porzingis,204001.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-10-21T23:32:33.5Z,1,REGULAR,3pt,Jump Shot,[],203501,69.69448094612352,34.803921568627445,1610612742,0,3,2021-10-21T23:32:39Z,70000,-76.0,232.0,1,right,T. Hardaway Jr. 24' 3PT  (3 PTS) (L. Doncic 1 AST),"[203501, 1629029]",1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,24.45,Made,3.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,,,,
9,PT11M17.00S,2021-10-21T23:32:58.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628381,18.31471747700394,49.26470588235294,1610612737,2,3,2021-10-21T23:33:06Z,90000,4.0,120.0,1,left,J. Collins 11' pullup Jump Shot (2 PTS) (B. Bogdanovic 1 AST),"[1628381, 203992]",1610612737.0,ATL,pullup,,,Collins,J. Collins,,,,,11.98,Made,2.0,B. Bogdanovic,203992.0,1.0,,,,,,,,,,,,,,
11,PT11M00.00S,2021-10-21T23:33:14.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203939,94.79303547963207,51.470588235294116,1610612742,2,3,2021-10-21T23:33:23Z,110000,7.0,-4.0,1,right,MISS D. Powell driving DUNK,[203939],1610612742.0,DAL,driving,,,Powell,D. Powell,,,,,0.82,Missed,,,,,,,,,,,,,,,,,,
12,PT10M57.00S,2021-10-21T23:33:18.4Z,1,REGULAR,rebound,offensive,[],1627827,,,1610612742,2,3,2021-10-21T23:33:18Z,120000,,,0,,D. Finney-Smith REBOUND (Off:1 Def:0),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,
13,PT10M56.00S,2021-10-21T23:33:19.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627827,79.28712220762155,91.66666666666667,1610612742,2,3,2021-10-21T23:33:27Z,130000,208.0,142.0,1,right,MISS D. Finney-Smith 25' 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,25.22,Missed,,,,,,,,,,,,,,,,,,
14,PT10M53.00S,2021-10-21T23:33:22.3Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,2,3,2021-10-21T23:33:22Z,140000,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M48.00S,2021-10-21T23:33:28.3Z,1,REGULAR,2pt,Jump Shot,[],1629631,28.170170827858072,39.950980392156865,1610612737,2,3,2021-10-21T23:33:42Z,150000,50.0,212.0,1,left,MISS D. Hunter 21' running pullup Shot,[1629631],1610612737.0,ATL,running pullup,,,Hunter,D. Hunter,,,,,21.82,Missed,,,,,,,,,,,,,,,,,,
16,PT10M44.00S,2021-10-21T23:33:30.7Z,1,REGULAR,rebound,defensive,[],203501,,,1610612742,2,3,2021-10-21T23:33:30Z,160000,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
