actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-03-31T23:41:11.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-31T23:41:11Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-31T23:41:13.5Z,1,REGULAR,jumpball,recovered,[],1628374,,,1610612739,0,0,2022-03-31T23:41:13Z,40000,,,0,,Jump Ball M. Brown vs. C. Capela: Tip to L. Markkanen,"[1628374, 1629650, 203991]",1610612739.0,CLE,startperiod,L. Markkanen,1628374.0,Markkanen,L. Markkanen,Brown,1629650.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-03-31T23:41:30.5Z,1,REGULAR,turnover,bad pass,[],1628374,,,1610612739,0,0,2022-03-31T23:41:36Z,70000,,,0,,L. Markkanen bad pass TURNOVER (1 TO),"[1628374, 203991]",1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,1.0,Capela,203991.0,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-03-31T23:41:30.5Z,1,REGULAR,steal,,[],203991,,,1610612737,0,0,2022-03-31T23:41:33Z,80000,,,0,,C. Capela STEAL (1 STL),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2022-03-31T23:41:37.0Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1628989,71.56701708278581,76.9607843137255,1610612737,3,0,2022-03-31T23:41:57Z,90000,135.0,215.0,1,right,K. Huerter 25' 3PT  (3 PTS) (D. Hunter 1 AST),"[1628989, 1629631]",1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,25.36,Made,3.0,D. Hunter,1629631.0,1.0,,,,,,,,,,,,
11,PT11M13.00S,2022-03-31T23:41:57.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629650,5.995400788436268,52.69607843137255,1610612739,3,2,2022-03-31T23:42:06Z,110000,-13.0,4.0,1,left,M. Brown DUNK (2 PTS) (D. Garland 1 AST),"[1629650, 1629636]",1610612739.0,CLE,,,,Brown,M. Brown,,,,,,,,1.41,Made,2.0,D. Garland,1629636.0,1.0,,,,,,,,,,,,
13,PT10M55.00S,2022-03-31T23:42:14.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,88.91261498028909,63.725490196078425,1610612737,5,2,2022-03-31T23:42:23Z,130000,69.0,52.0,1,right,T. Young 8' driving floating bank Jump Shot (2 PTS) (C. Capela 1 AST),"[1629027, 203991]",1610612737.0,ATL,driving floating bank,,,Young,T. Young,,,,,,,,8.59,Made,2.0,C. Capela,203991.0,1.0,,,,,,,,,,,,
15,PT10M38.00S,2022-03-31T23:42:35.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612739,5,2,2022-03-31T23:42:35Z,150000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M33.00S,2022-03-31T23:42:54.6Z,1,REGULAR,3pt,Jump Shot,[],1629636,31.488173455978973,36.27450980392157,1610612739,5,2,2022-03-31T23:43:00Z,160000,69.0,243.0,1,left,MISS D. Garland 25' pullup 3PT,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,,,,25.3,Missed,,,,,,,,,,,,,,,,
17,PT10M30.00S,2022-03-31T23:42:57.6Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,5,2,2022-03-31T23:43:01Z,170000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,
18,PT10M12.00S,2022-03-31T23:43:15.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203991,88.25558475689881,44.6078431372549,1610612737,7,2,2022-03-31T23:43:22Z,180000,-27.0,58.0,1,right,C. Capela 6' Hook (2 PTS),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,6.39,Made,2.0,,,,,,,,,,,,,,,
19,PT09M57.00S,2022-03-31T23:43:30.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,7.966491458607096,51.9607843137255,1610612739,7,4,2022-03-31T23:43:39Z,190000,-10.0,22.0,1,left,D. Garland driving finger roll Layup (2 PTS),[1629636],1610612739.0,CLE,driving finger roll,,,Garland,D. Garland,,,,,,,,2.44,Made,2.0,,,,,,,,,,,,,,,
20,PT09M49.00S,2022-03-31T23:43:38.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628989,93.24901445466492,50.245098039215684,1610612737,7,4,2022-03-31T23:43:45Z,200000,1.0,11.0,1,right,MISS K. Huerter alley-oop Layup,[1628989],1610612737.0,ATL,alley-oop,,,Huerter,K. Huerter,,,,,,,,1.11,Missed,,,,,,,,,,,,,,,,
21,PT09M47.00S,2022-03-31T23:43:40.7Z,1,REGULAR,rebound,defensive,[],1629650,,,1610612739,7,4,2022-03-31T23:43:45Z,210000,,,0,,M. Brown REBOUND (Off:0 Def:1),[1629650],1610612739.0,CLE,,,,Brown,M. Brown,,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,
22,PT09M39.00S,2022-03-31T23:43:48.9Z,1,REGULAR,3pt,Jump Shot,[],1628374,28.991458607095925,22.058823529411764,1610612739,7,4,2022-03-31T23:43:54Z,220000,140.0,220.0,1,left,MISS L. Markkanen 26' 3PT,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,26.06,Missed,,,,,,,,,,,,,,,,
23,PT09M35.00S,2022-03-31T23:43:52.9Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,7,4,2022-03-31T23:48:53Z,230000,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,
24,PT09M26.00S,2022-03-31T23:44:01.9Z,1,REGULAR,2pt,Jump Shot,[],1629631,79.188567674113,27.205882352941174,1610612737,7,4,2022-03-31T23:44:08Z,240000,-114.0,143.0,1,right,MISS D. Hunter 18' turnaround fadeaway Shot,[1629631],1610612737.0,ATL,turnaround fadeaway,,,Hunter,D. Hunter,,,,,,,,18.3,Missed,,,,,,,,,,,,,,,,
25,PT09M22.00S,2022-03-31T23:44:05.7Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,7,4,2022-03-31T23:44:05Z,250000,,,0,,C. Capela REBOUND (Off:1 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,24.0,2.0,1.0,1.0,,,,,,,,
26,PT09M21.00S,2022-03-31T23:44:06.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,87.99277266754271,49.50980392156863,1610612737,7,4,2022-03-31T23:44:12Z,260000,-2.0,60.0,1,right,MISS C. Capela 6' putback Layup - blocked,"[203991, 1629650]",1610612737.0,ATL,putback,,,Capela,C. Capela,,,,,,,,6.05,Missed,,,,,,,,,Brown,1629650.0,,,,,,
27,PT09M21.00S,2022-03-31T23:44:06.6Z,1,REGULAR,block,,[],1629650,,,1610612737,7,4,2022-03-31T23:44:09Z,270000,,,0,,M. Brown BLOCK (1 BLK),[1629650],1610612739.0,CLE,,,,Brown,M. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M21.00S,2022-03-31T23:44:06.6Z,1,REGULAR,rebound,defensive,[],1627747,,,1610612739,7,4,2022-03-31T23:44:12Z,280000,,,0,,C. LeVert REBOUND (Off:0 Def:1),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,
29,PT09M15.00S,2022-03-31T23:44:13.7Z,1,REGULAR,3pt,Jump Shot,[],1628374,12.040078843626807,4.411764705882353,1610612739,7,4,2022-03-31T23:44:19Z,290000,228.0,61.0,1,left,MISS L. Markkanen 3PT,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,23.58,Missed,,,,,,,,,,,,,,,,
30,PT09M12.00S,2022-03-31T23:44:16.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,7,4,2022-03-31T23:44:19Z,300000,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,
31,PT09M12.00S,2022-03-31T23:44:19.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,7,4,2022-03-31T23:44:19Z,310000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M08.00S,2022-03-31T23:44:28.1Z,1,REGULAR,turnover,traveling,[],1629631,,,1610612737,7,4,2022-03-31T23:44:39Z,320000,,,0,,D. Hunter traveling TURNOVER (1 TO),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,1.0,,,,,,,,,,,,,,,2004.0,,,,,
33,PT08M54.00S,2022-03-31T23:44:56.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627747,17.95335085413929,52.94117647058824,1610612739,7,4,2022-03-31T23:45:02Z,330000,-15.0,116.0,1,left,MISS C. LeVert 11' pullup Shot,[1627747],1610612739.0,CLE,pullup,,,LeVert,C. LeVert,,,,,,,,11.72,Missed,,,,,,,,,,,,,,,,
34,PT08M50.00S,2022-03-31T23:45:00.0Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,7,4,2022-03-31T23:45:02Z,340000,,,0,,C. Capela REBOUND (Off:1 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,33.0,3.0,2.0,1.0,,,,,,,,
35,PT08M40.00S,2022-03-31T23:45:09.5Z,1,REGULAR,3pt,Jump Shot,[],1629631,92.32917214191852,3.6764705882352944,1610612737,10,4,2022-03-31T23:45:14Z,350000,-232.0,20.0,1,right,D. Hunter 3PT  (3 PTS) (T. Young 1 AST),"[1629631, 1629027]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,23.24,Made,3.0,T. Young,1629027.0,1.0,,,,,,,,,,,,
37,PT08M23.00S,2022-03-31T23:45:27.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629650,5.601182654402102,50.245098039215684,1610612739,10,6,2022-03-31T23:45:34Z,370000,-1.0,0.0,1,left,M. Brown cutting Layup (4 PTS) (D. Garland 2 AST),"[1629650, 1629636]",1610612739.0,CLE,cutting,,,Brown,M. Brown,,,,,,,,0.12,Made,4.0,D. Garland,1629636.0,2.0,,,,,,,,,,,,
39,PT08M13.00S,2022-03-31T23:45:37.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203991,93.51182654402102,50.73529411764706,1610612737,12,6,2022-03-31T23:45:42Z,390000,4.0,8.0,1,right,C. Capela alley-oop DUNK (4 PTS) (T. Young 2 AST),"[203991, 1629027]",1610612737.0,ATL,alley-oop,,,Capela,C. Capela,,,,,,,,0.93,Made,4.0,T. Young,1629027.0,2.0,,,,,,,,,,,,
