actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-02-12T00:40:13.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-12T00:40:13Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-02-12T00:40:16.3Z,1,REGULAR,jumpball,recovered,[],1629640,,,1610612759,0,0,2022-02-12T00:40:16Z,40000,,,0,,Jump Ball J. Poeltl vs. C. Capela: Tip to K. Johnson,"[1629640, 1627751, 203991]",1610612759.0,SAS,startperiod,K. Johnson,1629640.0,Johnson,K. Johnson,Poeltl,1627751.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-02-12T00:40:34.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630170,11.12023653088042,44.36274509803921,1610612759,0,0,2022-02-12T00:40:38Z,70000,28.0,52.0,1,left,MISS D. Vassell cutting Layup - blocked,"[1630170, 1628989]",1610612759.0,SAS,cutting,,,Vassell,D. Vassell,,,,,5.92,Missed,Huerter,1628989.0,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-02-12T00:40:34.3Z,1,REGULAR,block,,[],1628989,,,1610612759,0,0,2022-02-12T00:40:37Z,80000,,,0,,K. Huerter BLOCK (1 BLK),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2022-02-12T00:40:37.3Z,1,REGULAR,rebound,offensive,[],1630170,,,1610612759,0,0,2022-02-12T00:40:38Z,90000,,,0,,D. Vassell REBOUND (Off:1 Def:0),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,
10,PT11M34.00S,2022-02-12T00:40:39.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630170,12.87779237844941,31.885723039215684,1610612759,0,2,2022-02-12T00:40:50Z,100000,91.0,69.0,1,left,D. Vassell 11' Jump Shot (2 PTS),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,11.36,Made,,,,,,,2.0,,,,,,,,,,,
11,PT11M18.00S,2022-02-12T00:40:54.1Z,1,REGULAR,turnover,bad pass,[],1628381,,,1610612737,0,2,2022-02-12T00:41:00Z,110000,,,0,,J. Collins bad pass TURNOVER (1 TO),"[1628381, 1627749]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,1.0,Murray,1627749.0,,,,,,,,
12,PT11M18.00S,2022-02-12T00:40:54.1Z,1,REGULAR,steal,,[],1627749,,,1610612759,0,2,2022-02-12T00:40:56Z,120000,,,0,,D. Murray STEAL (1 STL),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M14.00S,2022-02-12T00:40:58.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629640,10.200394218134035,46.32352941176471,1610612759,0,2,2022-02-12T00:41:08Z,130000,18.0,43.0,1,left,MISS K. Johnson running Layup,[1629640],1610612759.0,SAS,running,,,Johnson,K. Johnson,,,,,4.71,Missed,,,,,,,,,,,,,,,,,,
14,PT11M10.00S,2022-02-12T00:41:02.8Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612737,0,2,2022-02-12T00:41:08Z,140000,,,0,,K. Huerter REBOUND (Off:0 Def:1),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,
