actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-02-01T00:40:23.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-01T00:40:23Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-02-01T00:40:25.2Z,1,REGULAR,jumpball,recovered,[],1627783,,,1610612761,0,0,2022-02-01T00:40:25Z,40000,,,0,,Jump Ball S. Barnes vs. C. Capela: Tip to P. Siakam,"[1627783, 1630567, 203991]",1610612761.0,TOR,startperiod,P. Siakam,1627783.0,Siakam,P. Siakam,Barnes,1630567.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-02-01T00:40:36.0Z,1,REGULAR,2pt,Jump Shot,[],1630567,24.52365308804205,53.18627450980392,1610612761,0,0,2022-02-01T00:40:43Z,70000,-16.0,178.0,1,left,MISS S. Barnes 17' Jump Shot,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,17.87,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2022-02-01T00:40:41.0Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,0,0,2022-02-01T00:40:43Z,80000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M21.00S,2022-02-01T00:41:00.8Z,1,REGULAR,3pt,Jump Shot,[],1626153,68.67608409986859,31.127450980392158,1610612737,0,0,2022-02-01T00:41:08Z,90000,-94.0,242.0,1,right,MISS D. Wright 25' 3PT,[1626153],1610612737.0,ATL,,,,Wright,D. Wright,,,,,25.97,Missed,,,,,,,,,,,,,,,,,,
10,PT11M18.00S,2022-02-01T00:41:03.8Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,0,0,2022-02-01T00:41:08Z,100000,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M00.00S,2022-02-01T00:41:22.6Z,1,REGULAR,3pt,Jump Shot,[],1629018,13.222733245729303,94.85294117647058,1610612761,0,3,2022-02-01T00:41:27Z,110000,-224.0,72.0,1,left,G. Trent Jr. 3PT pullup (3 PTS) (P. Siakam 1 AST),"[1629018, 1627783]",1610612761.0,TOR,pullup,,,Trent Jr.,G. Trent Jr.,,,,,23.55,Made,,,,,3.0,P. Siakam,1627783.0,1.0,,,,,,,,,,
13,PT10M38.00S,2022-02-01T00:41:44.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626153,88.51839684625493,42.40196078431372,1610612737,0,3,2022-02-01T00:41:51Z,130000,-38.0,55.0,1,right,MISS D. Wright 6' floating Shot,[1626153],1610612737.0,ATL,floating,,,Wright,D. Wright,,,,,6.72,Missed,,,,,,,,,,,,,,,,,,
14,PT10M34.00S,2022-02-01T00:41:48.4Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,0,3,2022-02-01T00:57:05Z,140000,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M19.00S,2022-02-01T00:42:03.3Z,1,REGULAR,3pt,Jump Shot,[],1627783,30.042706964520367,72.05882352941177,1610612761,0,6,2022-02-01T00:42:08Z,150000,-110.0,230.0,1,left,P. Siakam 25' 3PT  (3 PTS) (G. Trent Jr. 1 AST),"[1627783, 1629018]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,25.5,Made,,,,,3.0,G. Trent Jr.,1629018.0,1.0,,,,,,,,,,
17,PT09M59.00S,2022-02-01T00:42:24.7Z,1,REGULAR,turnover,out-of-bounds,[],1628989,,,1610612737,0,6,2022-02-01T00:42:33Z,170000,,,0,,K. Huerter lost ball out-of-bounds TURNOVER (1 TO),[1628989],1610612737.0,ATL,lost ball,,,Huerter,K. Huerter,,,,,,,,,,,,,,,101284.0,1.0,,,,,,,,
18,PT09M46.00S,2022-02-01T00:42:43.2Z,1,REGULAR,foul,offensive,[],1627783,,,1610612761,0,6,2022-02-01T00:42:53Z,180000,,,0,,P. Siakam charge offensive FOUL (1 PF),"[1627783, 1628381]",1610612761.0,TOR,charge,,,Siakam,P. Siakam,,,,,,,,,,,,,,,202901.0,,1.0,0.0,Collins,1628381.0,,,,
20,PT09M46.00S,2022-02-01T00:42:43.2Z,1,REGULAR,turnover,offensive foul,[],1627783,,,1610612761,0,6,2022-02-01T00:42:43Z,200000,,,0,,P. Siakam offensive foul TURNOVER (1 TO),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,202901.0,1.0,,,,,,,,
21,PT09M35.00S,2022-02-01T00:43:08.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628381,86.67871222076215,18.38235294117647,1610612737,2,6,2022-02-01T00:43:16Z,210000,-158.0,73.0,1,right,J. Collins 17' Jump Shot (2 PTS) (D. Wright 1 AST),"[1628381, 1626153]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,17.4,Made,,,,,2.0,D. Wright,1626153.0,1.0,,,,,,,,,,
23,PT09M25.00S,2022-02-01T00:43:17.8Z,1,REGULAR,3pt,Jump Shot,[],1629018,30.56833114323259,70.34313725490196,1610612761,2,6,2022-02-01T00:43:25Z,230000,-102.0,235.0,1,left,MISS G. Trent Jr. 25' 3PT,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,25.59,Missed,,,,,,,,,,,,,,,,,,
