actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-12-11T00:45:44.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-11T00:45:44Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-11T00:45:46.7Z,1,REGULAR,jumpball,recovered,[],1628381,,,1610612737,0,0,2021-12-11T00:45:46Z,40000,,,0,,Jump Ball C. Capela vs. L. Aldridge: Tip to J. Collins,"[1628381, 203991, 200746]",1610612737.0,ATL,startperiod,J. Collins,1628381.0,Collins,J. Collins,Capela,203991.0,Aldridge,200746.0,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2021-12-11T00:45:56.8Z,1,REGULAR,3pt,Jump Shot,[],1628989,96.27135348226018,2.941176470588235,1610612737,3,0,2021-12-11T00:46:02Z,70000,-235.0,-17.0,1,right,K. Huerter 3PT  (3 PTS) (T. Young 1 AST),"[1628989, 1629027]",1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,23.59,Made,3.0,T. Young,1629027.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2021-12-11T00:46:21.2Z,1,REGULAR,turnover,bad pass,[],1627761,,,1610612751,3,0,2021-12-11T00:46:25Z,90000,,,0,,D. Bembry bad pass TURNOVER (1 TO),"[1627761, 1628381]",1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,1.0,Collins,1628381.0,,,,,,,,,,,
10,PT11M22.00S,2021-12-11T00:46:21.2Z,1,REGULAR,steal,,[],1628381,,,1610612737,3,0,2021-12-11T00:46:23Z,100000,,,0,,J. Collins STEAL (1 STL),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M09.00S,2021-12-11T00:46:33.8Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203991,87.46714848883047,51.470588235294116,1610612737,5,0,2021-12-11T00:46:40Z,110000,7.0,65.0,1,right,C. Capela 6' Hook (2 PTS) (T. Luwawu-Cabarrot 1 AST),"[203991, 1627789]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,6.57,Made,2.0,T. Luwawu-Cabarrot,1627789.0,1.0,,,,,,,,,,,,,,
13,PT10M52.00S,2021-12-11T00:46:51.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,5.206964520367937,51.225490196078425,1610612751,5,2,2021-12-11T00:46:58Z,130000,-6.0,-4.0,1,left,J. Harden driving Layup (2 PTS),[201935],1610612751.0,BKN,driving,,,Harden,J. Harden,,,,,0.71,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M38.00S,2021-12-11T00:47:04.8Z,1,REGULAR,3pt,Jump Shot,[],1628989,94.43166885676742,3.9215686274509802,1610612737,8,2,2021-12-11T00:47:09Z,140000,-230.0,0.0,1,right,K. Huerter 3PT  (6 PTS) (T. Young 2 AST),"[1628989, 1629027]",1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,23.04,Made,6.0,T. Young,1629027.0,2.0,,,,,,,,,,,,,,
16,PT10M25.00S,2021-12-11T00:47:17.6Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612751,8,2,2021-12-11T00:47:22Z,160000,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 1628381]",1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,1.0,Collins,1628381.0,,,,,,,,,,,
17,PT10M25.00S,2021-12-11T00:47:17.6Z,1,REGULAR,steal,,[],1628381,,,1610612737,8,2,2021-12-11T00:47:20Z,170000,,,0,,J. Collins STEAL (2 STL),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M17.00S,2021-12-11T00:47:26.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628381,93.77463863337714,49.50980392156863,1610612737,10,2,2021-12-11T00:47:31Z,180000,-2.0,6.0,1,right,J. Collins alley-oop DUNK (2 PTS) (T. Young 3 AST),"[1628381, 1629027]",1610612737.0,ATL,alley-oop,,,Collins,J. Collins,,,,,0.65,Made,2.0,T. Young,1629027.0,3.0,,,,,,,,,,,,,,
20,PT09M57.00S,2021-12-11T00:47:48.6Z,1,REGULAR,violation,kicked ball,[],203991,,,1610612751,10,2,2021-12-11T00:47:53Z,200000,,,0,,C. Capela kicked ball VIOLATION,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,203177.0,,,,,,,,,,
21,PT09M49.00S,2021-12-11T00:48:14.4Z,1,REGULAR,turnover,lost ball,[],201142,,,1610612751,10,2,2021-12-11T00:48:18Z,210000,,,0,,K. Durant lost ball TURNOVER (1 TO),"[201142, 1627789]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,1.0,Luwawu-Cabarrot,1627789.0,,,,,,,,,,,
