actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-18T00:40:14.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-18T00:40:14Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-18T00:40:18.5Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2021-11-18T00:40:18Z,40000,,,0,,Jump Ball A. Horford vs. C. Capela: Tip to M. Smart,"[203935, 201143, 203991]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Horford,201143.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2021-11-18T00:40:27.0Z,1,REGULAR,3pt,Jump Shot,[],1628369,75.50919842312747,86.02941176470588,1610612738,0,0,2021-11-18T00:40:32Z,70000,180.0,178.0,1,right,MISS J. Tatum 25' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,25.3,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2021-11-18T00:40:31.0Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,0,0,2021-11-18T00:40:32Z,80000,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M30.00S,2021-11-18T00:40:43.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,5.338370565045992,52.450980392156865,1610612737,2,0,2021-11-18T00:40:48Z,90000,-12.0,-2.0,1,left,C. Capela alley-oop Layup (2 PTS) (T. Young 1 AST),"[203991, 1629027]",1610612737.0,ATL,alley-oop,,,Capela,C. Capela,,,,,1.25,Made,,,,,2.0,T. Young,1629027.0,1.0,,,,,,,,,,
11,PT11M18.00S,2021-11-18T00:40:55.3Z,1,REGULAR,3pt,Jump Shot,[],1629684,92.46057818659659,96.81372549019608,1610612738,2,3,2021-11-18T00:42:22Z,110000,234.0,18.0,1,right,G. Williams 3PT  (3 PTS) (J. Tatum 1 AST),"[1629684, 1628369]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,23.48,Made,,,,,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,,
13,PT10M56.00S,2021-11-18T00:41:17.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628989,17.559132720105126,50.0,1610612737,4,3,2021-11-18T00:41:22Z,130000,0.0,113.0,1,left,K. Huerter 11' driving floating Jump Shot (2 PTS),[1628989],1610612737.0,ATL,driving floating,,,Huerter,K. Huerter,,,,,11.26,Made,,,,,2.0,,,,,,,,,,,,,
14,PT10M38.00S,2021-11-18T00:41:35.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629684,93.11760840998686,49.50980392156863,1610612738,4,5,2021-11-18T00:41:39Z,140000,-2.0,12.0,1,right,G. Williams Layup (5 PTS) (M. Smart 1 AST),"[1629684, 203935]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,1.25,Made,,,,,5.0,M. Smart,203935.0,1.0,,,,,,,,,,
16,PT10M24.00S,2021-11-18T00:41:48.7Z,1,REGULAR,3pt,Jump Shot,[],1629027,32.276609724047304,15.196078431372548,1610612737,4,5,2021-11-18T00:41:53Z,160000,174.0,251.0,1,left,MISS T. Young 30' step back 3PT,[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,30.53,Missed,,,,,,,,,,,,,,,,,,
17,PT10M22.00S,2021-11-18T00:41:50.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,4,5,2021-11-18T00:41:53Z,170000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
