actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2021-12-18T00:40:20.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-18T00:40:20Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-18T00:40:23.3Z,1,REGULAR,jumpball,recovered,[],201145,,,1610612743,0,0,2021-12-18T00:40:23Z,40000,,,0,,Jump Ball N. Jokic vs. C. Capela: Tip to J. Green,"[201145, 203999, 203991]",1610612743.0,DEN,startperiod,J. Green,201145.0,Green,J. Green,Jokic,203999.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2021-12-18T00:40:31.7Z,1,REGULAR,3pt,Jump Shot,[],203999,31.61957950065703,48.529411764705884,1610612743,0,3,2021-12-18T00:40:37Z,70000,7.0,245.0,1,left,N. Jokic 24' 3PT  (3 PTS) (W. Barton 1 AST),"[203999, 203115]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,24.48,Made,3.0,W. Barton,203115.0,1.0,,,,,,,,,,,,,,
9,PT11M30.00S,2021-12-18T00:40:49.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203991,88.12417871222075,58.333333333333336,1610612737,0,3,2021-12-18T00:40:55Z,90000,42.0,59.0,1,right,MISS C. Capela 7' Hook,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,7.23,Missed,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2021-12-18T00:40:52.5Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,0,3,2021-12-18T00:40:52Z,100000,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M16.00S,2021-12-18T00:41:02.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203932,11.251642575558476,55.63725490196079,1610612743,0,3,2021-12-18T00:41:09Z,110000,-28.0,53.0,1,left,MISS A. Gordon 6' turnaround Shot - blocked,"[203932, 203991]",1610612743.0,DEN,turnaround,,,Gordon,A. Gordon,,,,,6.03,Missed,,,,,,,,,Capela,203991.0,,,,,,,,
12,PT11M16.00S,2021-12-18T00:41:02.7Z,1,REGULAR,block,,[],203991,,,1610612743,0,3,2021-12-18T00:41:07Z,120000,,,0,,C. Capela BLOCK (1 BLK),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M11.00S,2021-12-18T00:41:07.7Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,0,3,2021-12-18T00:58:54Z,130000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
14,PT11M06.00S,2021-12-18T00:41:13.6Z,1,REGULAR,3pt,Jump Shot,[],1628381,96.00854139290408,96.07843137254902,1610612737,0,3,2021-12-18T00:41:21Z,140000,230.0,-15.0,1,right,MISS J. Collins 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,23.09,Missed,,,,,,,,,,,,,,,,,,
15,PT11M01.00S,2021-12-18T00:41:18.6Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612743,0,3,2021-12-18T00:41:21Z,150000,,,0,,M. Morris REBOUND (Off:0 Def:1),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
