actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-01-20T00:40:34.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-20T00:40:34Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-20T00:40:36.1Z,1,REGULAR,jumpball,recovered,[],1629020,,,1610612750,0,0,2022-01-20T00:40:36Z,40000,,,0,,Jump Ball K. Towns vs. O. Okongwu: Tip to J. Vanderbilt,"[1629020, 1626157, 1630168]",1610612750.0,MIN,startperiod,J. Vanderbilt,1629020.0,Vanderbilt,J. Vanderbilt,Towns,1626157.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-01-20T00:40:47.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630162,18.873193166885677,45.83333333333333,1610612750,0,2,2022-01-20T00:40:52Z,70000,21.0,125.0,1,left,A. Edwards 12' pullup Jump Shot (2 PTS) (K. Towns 1 AST),"[1630162, 1626157]",1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,12.66,Made,2.0,K. Towns,1626157.0,1.0,,,,,,,,,,,,,,,
9,PT11M21.00S,2022-01-20T00:41:11.4Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,0,2,2022-01-20T00:41:16Z,90000,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 1626157]",1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,1.0,Towns,1626157.0,,,,,,,,,,,,
10,PT11M21.00S,2022-01-20T00:41:11.4Z,1,REGULAR,steal,,[],1626157,,,1610612750,0,2,2022-01-20T00:41:14Z,100000,,,0,,K. Towns STEAL (1 STL),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M16.00S,2022-01-20T00:41:17.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629020,5.469776609724048,51.71568627450981,1610612750,0,4,2022-01-20T00:41:27Z,110000,-9.0,-1.0,1,left,J. Vanderbilt running DUNK (2 PTS) (D. Russell 1 AST),"[1629020, 1626156]",1610612750.0,MIN,running,,,Vanderbilt,J. Vanderbilt,,,,,0.87,Made,2.0,D. Russell,1626156.0,1.0,,,,,,,,,,,,,,,
13,PT11M03.00S,2022-01-20T00:41:29.8Z,1,REGULAR,3pt,Jump Shot,[],1629027,64.20827858081472,33.088235294117645,1610612737,0,4,2022-01-20T00:41:38Z,130000,-85.0,284.0,1,right,MISS T. Young 29' 3PT - blocked,"[1629027, 1626156]",1610612737.0,ATL,,,,Young,T. Young,,,,,29.62,Missed,,,,,,,,Russell,1626156.0,,,,,,,,,,
47,PT11M03.00S,2022-01-20T00:41:29.8Z,1,REGULAR,block,,[],1626156,,,1610612737,0,4,2022-01-20T00:46:17Z,135000,,,0,,D. Russell BLOCK (1 BLK),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2022-01-20T00:41:32.8Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,0,4,2022-01-20T00:41:38Z,140000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,
15,PT10M57.00S,2022-01-20T00:41:35.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626156,13.61695137976347,95.34313725490196,1610612750,0,7,2022-01-20T01:11:19Z,150000,-227.0,75.0,1,left,D. Russell 3PT running pullup (3 PTS) (J. Vanderbilt 1 AST),"[1626156, 1629020]",1610612750.0,MIN,running pullup,,,Russell,D. Russell,,,,,23.89,Made,3.0,J. Vanderbilt,1629020.0,1.0,,,,,,,,,,,,,,,
17,PT10M41.00S,2022-01-20T00:41:51.9Z,1,REGULAR,3pt,Jump Shot,[],1629631,93.51182654402102,95.09803921568627,1610612737,3,7,2022-01-20T00:41:57Z,170000,225.0,8.0,1,right,D. Hunter 3PT  (3 PTS) (J. Collins 1 AST),"[1629631, 1628381]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,22.57,Made,3.0,J. Collins,1628381.0,1.0,,,,,,,,,,,,,,,
19,PT10M33.00S,2022-01-20T00:42:00.1Z,1,REGULAR,3pt,Jump Shot,[],1626156,26.888961892247043,83.33333333333334,1610612750,3,7,2022-01-20T00:45:49Z,190000,-167.0,200.0,1,left,MISS D. Russell 26' running 3PT,[1626156],1610612750.0,MIN,running,,,Russell,D. Russell,,,,,26.06,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M30.00S,2022-01-20T00:42:03.2Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,3,7,2022-01-20T00:42:03Z,200000,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,
21,PT10M26.00S,2022-01-20T00:42:07.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629631,93.24901445466492,50.0,1610612737,5,7,2022-01-20T00:42:15Z,210000,0.0,11.0,1,right,D. Hunter running Layup (5 PTS) (T. Young 1 AST),"[1629631, 1629027]",1610612737.0,ATL,running,,,Hunter,D. Hunter,,,,,1.1,Made,5.0,T. Young,1629027.0,1.0,,,,,,,,,,,,,,,
23,PT10M11.00S,2022-01-20T00:42:21.6Z,1,REGULAR,3pt,Jump Shot,[],1630162,25.969119579500656,21.323529411764707,1610612750,5,7,2022-01-20T00:42:27Z,230000,143.0,192.0,1,left,MISS A. Edwards step back 3PT,[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,23.93,Missed,,,,,,,,,,,,,,,,,,,
24,PT10M09.00S,2022-01-20T00:42:23.6Z,1,REGULAR,rebound,offensive,[],1629020,,,1610612750,5,7,2022-01-20T00:42:27Z,240000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,23.0,2.0,1.0,1.0,,,,,,
25,PT10M06.00S,2022-01-20T00:42:27.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630162,5.469776609724048,50.245098039215684,1610612750,5,9,2022-01-20T00:42:33Z,250000,-1.0,-1.0,1,left,A. Edwards driving Layup (4 PTS) (J. Vanderbilt 2 AST),"[1630162, 1629020]",1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,0.16,Made,4.0,J. Vanderbilt,1629020.0,2.0,,,,,,,,,,,,,,,
27,PT09M59.00S,2022-01-20T00:42:40.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,5,9,2022-01-20T00:42:40Z,270000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
