actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-11-21T00:40:52.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-21T00:40:52Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-21T00:40:55.9Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,0,0,2021-11-21T00:40:55Z,40000,,,0,,Jump Ball M. Plumlee vs. C. Capela: Tip to L. Ball,"[1630163, 203486, 203991]",1610612766.0,CHA,startperiod,L. Ball,1630163.0,Ball,L. Ball,Plumlee,203486.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-11-21T00:41:05.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203486,8.360709592641262,45.09803921568628,1610612766,0,2,2021-11-21T00:41:11Z,70000,25.0,26.0,1,left,M. Plumlee driving Hook (2 PTS) (G. Hayward 1 AST),"[203486, 202330]",1610612766.0,CHA,driving,,,Plumlee,M. Plumlee,,,,,3.58,Made,2.0,G. Hayward,202330.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2021-11-21T00:41:29.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203991,93.24901445466492,50.49019607843137,1610612737,2,2,2021-11-21T00:41:34Z,90000,2.0,11.0,1,right,C. Capela alley-oop DUNK (2 PTS) (T. Young 1 AST),"[203991, 1629027]",1610612737.0,ATL,alley-oop,,,Capela,C. Capela,,,,,1.13,Made,2.0,T. Young,1629027.0,1.0,,,,,,,,,,,,,,
11,PT10M57.00S,2021-11-21T00:41:54.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,5.601182654402102,51.9607843137255,1610612766,2,2,2021-11-21T00:42:01Z,110000,-10.0,0.0,1,left,MISS M. Bridges driving Layup,[1628970],1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,0.98,Missed,,,,,,,,,,,,,,,,,,
12,PT10M56.00S,2021-11-21T00:41:55.4Z,1,REGULAR,rebound,offensive,[],1630163,,,1610612766,2,2,2021-11-21T00:42:01Z,120000,,,0,,L. Ball REBOUND (Off:1 Def:0),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,
13,PT10M46.00S,2021-11-21T00:42:06.9Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1628970,21.50131406044678,40.931372549019606,1610612766,2,4,2021-11-21T00:42:13Z,130000,45.0,150.0,1,left,M. Bridges 15' driving floating Jump Shot (2 PTS) (T. Rozier 1 AST),"[1628970, 1626179]",1610612766.0,CHA,driving floating,,,Bridges,M. Bridges,,,,,15.63,Made,2.0,T. Rozier,1626179.0,1.0,,,,,,,,,,,,,,
15,PT10M31.00S,2021-11-21T00:42:20.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628381,86.28449408672799,47.30392156862745,1610612737,4,4,2021-11-21T00:42:26Z,150000,-13.0,76.0,1,right,J. Collins 7' driving floating Jump Shot (2 PTS) (T. Young 2 AST),"[1628381, 1629027]",1610612737.0,ATL,driving floating,,,Collins,J. Collins,,,,,7.76,Made,2.0,T. Young,1629027.0,2.0,,,,,,,,,,,,,,
17,PT10M14.00S,2021-11-21T00:42:37.5Z,1,REGULAR,3pt,Jump Shot,[],1628970,10.068988173455978,97.54901960784314,1610612766,4,4,2021-11-21T00:42:42Z,170000,-238.0,42.0,1,left,MISS M. Bridges 24' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,24.14,Missed,,,,,,,,,,,,,,,,,,
18,PT10M11.00S,2021-11-21T00:42:40.5Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,4,4,2021-11-21T00:42:42Z,180000,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,
