actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-14T23:10:28.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-14T23:10:28Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-14T23:10:41.2Z,1,REGULAR,jumpball,recovered,[],201950,,,1610612749,0,0,2021-11-14T23:10:41Z,40000,,,0,,Jump Ball B. Portis vs. C. Capela: Tip to J. Holiday,"[201950, 1626171, 203991]",1610612749.0,MIL,startperiod,J. Holiday,201950.0,Holiday,J. Holiday,Portis,1626171.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-11-14T23:10:52.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,93.24901445466492,50.98039215686274,1610612749,0,0,2021-11-14T23:10:59Z,70000,5.0,11.0,1,right,MISS J. Holiday driving Layup,[201950],1610612749.0,MIL,driving,,,Holiday,J. Holiday,,,,,1.2,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2021-11-14T23:10:57.5Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,0,0,2021-11-14T23:10:59Z,80000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M33.00S,2021-11-14T23:11:04.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628381,9.017739816031538,53.92156862745098,1610612737,0,0,2021-11-14T23:11:10Z,90000,-20.0,32.0,1,left,MISS J. Collins driving Hook,[1628381],1610612737.0,ATL,driving,,,Collins,J. Collins,,,,,3.78,Missed,,,,,,,,,,,,,,,,,,
10,PT11M31.00S,2021-11-14T23:11:06.3Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,0,0,2021-11-14T23:11:10Z,100000,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M26.00S,2021-11-14T23:11:12.5Z,1,REGULAR,2pt,Jump Shot,[],203507,75.3777923784494,29.411764705882355,1610612749,0,0,2021-11-14T23:11:19Z,110000,-103.0,179.0,1,right,MISS G. Antetokounmpo 20' pullup Shot,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,20.64,Missed,,,,,,,,,,,,,,,,,,
12,PT11M22.00S,2021-11-14T23:11:16.5Z,1,REGULAR,rebound,defensive,[],203992,,,1610612737,0,0,2021-11-14T23:11:19Z,120000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M16.00S,2021-11-14T23:11:22.0Z,1,REGULAR,3pt,Jump Shot,[],1629027,26.231931668856767,77.69607843137256,1610612737,3,0,2021-11-14T23:11:26Z,130000,-138.0,194.0,1,left,T. Young 3PT pullup (3 PTS),[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,23.84,Made,,,,,3.0,,,,,,,,,,,,,
14,PT10M58.00S,2021-11-14T23:11:42.9Z,1,REGULAR,foul,personal,[],1629027,,,1610612749,3,0,2021-11-14T23:11:51Z,140000,,,0,,T. Young personal FOUL (1 PF),"[1629027, 1628960]",1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,201245.0,1.0,0.0,Allen,1628960.0,,,,,,,,
16,PT10M51.00S,2021-11-14T23:12:04.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628960,90.88370565045992,63.725490196078425,1610612749,3,0,2021-11-14T23:12:10Z,160000,69.0,33.0,1,right,MISS G. Allen 7' turnaround Shot,[1628960],1610612749.0,MIL,turnaround,,,Allen,G. Allen,,,,,7.62,Missed,,,,,,,,,,,,,,,,,,
17,PT10M46.00S,2021-11-14T23:12:09.2Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,3,0,2021-11-14T23:12:10Z,170000,,,0,,T. Young REBOUND (Off:0 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M36.00S,2021-11-14T23:12:18.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628989,9.149145860709593,49.50980392156863,1610612737,3,0,2021-11-14T23:12:22Z,180000,2.0,34.0,1,left,MISS K. Huerter pullup Shot,[1628989],1610612737.0,ATL,pullup,,,Huerter,K. Huerter,,,,,3.36,Missed,,,,,,,,,,,,,,,,,,
19,PT10M33.00S,2021-11-14T23:12:21.0Z,1,REGULAR,rebound,offensive,[],1628989,,,1610612737,3,0,2021-11-14T23:12:22Z,190000,,,0,,K. Huerter REBOUND (Off:1 Def:0),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,18.0,1.0,0.0,1.0,,,,,,,,,,,,,,
20,PT10M31.00S,2021-11-14T23:12:23.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203991,6.389618922470433,46.81372549019608,1610612737,3,0,2021-11-14T23:12:28Z,200000,16.0,8.0,1,left,MISS C. Capela Hook,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,1.76,Missed,,,,,,,,,,,,,,,,,,
21,PT10M28.00S,2021-11-14T23:12:26.4Z,1,REGULAR,rebound,defensive,[],1626192,,,1610612749,3,0,2021-11-14T23:12:28Z,210000,,,0,,P. Connaughton REBOUND (Off:0 Def:1),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
