actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-03-20T22:10:16.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-20T22:10:16Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-20T22:10:19.8Z,1,REGULAR,jumpball,recovered,[],1628989,,,1610612737,0,0,2022-03-20T22:10:19Z,40000,,,0,,Jump Ball C. Capela vs. J. Valanciunas: Tip to K. Huerter,"[1628989, 203991, 202685]",1610612737.0,ATL,startperiod,K. Huerter,1628989.0,Huerter,K. Huerter,Capela,203991.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-03-20T22:10:38.8Z,1,REGULAR,3pt,Jump Shot,[],1629631,26.10052562417871,82.59803921568627,1610612737,3,0,2022-03-20T22:10:44Z,70000,-163.0,193.0,1,left,D. Hunter 25' 3PT  (3 PTS) (T. Young 1 AST),"[1629631, 1629027]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,25.25,Made,3.0,T. Young,1629027.0,1.0,,,,,,,,,,,,,,
9,PT11M16.00S,2022-03-20T22:10:59.4Z,1,REGULAR,2pt,Jump Shot,[],203468,87.46714848883047,21.323529411764707,1610612740,3,0,2022-03-20T22:11:05Z,90000,-143.0,65.0,1,right,MISS C. McCollum 15' pullup Shot - blocked,"[203468, 1628989]",1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,15.76,Missed,,,,,Huerter,1628989.0,,,,,,,,,,,,
10,PT11M16.00S,2022-03-20T22:10:59.4Z,1,REGULAR,block,,[],1628989,,,1610612740,3,0,2022-03-20T22:11:03Z,100000,,,0,,K. Huerter BLOCK (1 BLK),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M12.00S,2022-03-20T22:11:03.4Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612737,3,0,2022-03-20T22:11:05Z,110000,,,0,,K. Huerter REBOUND (Off:0 Def:1),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,
12,PT11M00.00S,2022-03-20T22:11:15.5Z,1,REGULAR,3pt,Jump Shot,[],201568,33.327858081471746,41.911764705882355,1610612737,3,0,2022-03-20T22:11:20Z,120000,40.0,261.0,1,left,MISS D. Gallinari 26' 3PT,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,26.39,Missed,,,,,,,,,,,,,,,,,,
13,PT10M57.00S,2022-03-20T22:11:18.5Z,1,REGULAR,rebound,defensive,[],1630230,,,1610612740,3,0,2022-03-20T22:11:20Z,130000,,,0,,N. Marshall REBOUND (Off:0 Def:1),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,
14,PT10M45.00S,2022-03-20T22:11:30.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630230,82.3915900131406,37.72212009803921,1610612740,3,0,2022-03-20T22:13:10Z,140000,-61.0,113.0,1,right,MISS N. Marshall 12' pullup Shot,[1630230],1610612740.0,NOP,pullup,,,Marshall,N. Marshall,,,,,12.86,Missed,,,,,,,,,,,,,,,,,,
15,PT10M41.00S,2022-03-20T22:11:34.9Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,3,0,2022-03-20T22:11:37Z,150000,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,
16,PT10M33.00S,2022-03-20T22:11:45.4Z,1,REGULAR,foul,personal,[],1630230,,,1610612737,3,0,2022-03-20T22:13:14Z,160000,,,0,,N. Marshall personal FOUL (1 PF),"[1630230, 1629027]",1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,2882.0,1.0,0.0,Young,1629027.0,,,
18,PT10M27.00S,2022-03-20T22:12:07.7Z,1,REGULAR,2pt,Jump Shot,[],1629027,26.10052562417871,73.0392156862745,1610612737,5,0,2022-03-20T22:12:12Z,180000,-115.0,193.0,1,left,T. Young 22' pullup Jump Shot (2 PTS),[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,22.46,Made,2.0,,,,,,,,,,,,,,,,,
