actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2022-01-29T00:40:30.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-29T00:40:30Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-29T00:40:32.6Z,1,REGULAR,jumpball,recovered,[],201143,,,1610612738,0,0,2022-01-29T00:40:32Z,40000,,,0,,Jump Ball R. Williams III vs. C. Capela: Tip to A. Horford,"[201143, 1629057, 203991]",1610612738.0,BOS,startperiod,A. Horford,201143.0,Horford,A. Horford,Williams III,1629057.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-01-29T00:40:43.5Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,0,0,2022-01-29T00:40:50Z,70000,,,0,,J. Brown bad pass TURNOVER (1 TO),"[1627759, 1629631]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,1.0,Hunter,1629631.0,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2022-01-29T00:40:43.5Z,1,REGULAR,steal,,[],1629631,,,1610612737,0,0,2022-01-29T00:40:46Z,80000,,,0,,D. Hunter STEAL (1 STL),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M45.00S,2022-01-29T00:40:50.1Z,1,REGULAR,foul,personal,[],1628369,,,1610612737,0,0,2022-01-29T00:40:57Z,90000,,,0,,J. Tatum take personal FOUL (1 PF),"[1628369, 1629631]",1610612738.0,BOS,take,,,Tatum,J. Tatum,,,,,,,,1199.0,1.0,0.0,Hunter,1629631.0,,,,,,,,,,,,
11,PT11M37.00S,2022-01-29T00:41:19.4Z,1,REGULAR,foul,personal,[],203935,,,1610612737,0,0,2022-01-29T00:41:30Z,110000,,,0,,M. Smart personal FOUL (1 PF),"[203935, 1629631]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,1199.0,1.0,0.0,Hunter,1629631.0,,,,,,,,,,,,
13,PT11M30.00S,2022-01-29T00:41:41.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629027,41.869250985545335,40.931372549019606,1610612737,0,0,2022-01-29T00:41:47Z,130000,45.0,341.0,1,left,MISS T. Young 34' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,,,,,,,,,34.41,Missed,,,,,,,,,,
14,PT11M25.00S,2022-01-29T00:41:46.6Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,0,0,2022-01-29T00:41:47Z,140000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,
15,PT11M18.00S,2022-01-29T00:41:52.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201143,93.24901445466492,50.245098039215684,1610612738,0,0,2022-01-29T00:42:00Z,150000,1.0,11.0,1,right,MISS A. Horford driving Layup,[201143],1610612738.0,BOS,driving,,,Horford,A. Horford,,,,,,,,,,,,,1.11,Missed,,,,,,,,,,
16,PT11M15.00S,2022-01-29T00:41:55.6Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,0,0,2022-01-29T00:42:00Z,160000,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,
17,PT11M04.00S,2022-01-29T00:42:07.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628381,11.514454664914586,40.931372549019606,1610612737,0,0,2022-01-29T00:42:14Z,170000,45.0,56.0,1,left,MISS J. Collins 7' driving floating bank Shot,[1628381],1610612737.0,ATL,driving floating bank,,,Collins,J. Collins,,,,,,,,,,,,,7.18,Missed,,,,,,,,,,
18,PT11M00.00S,2022-01-29T00:42:11.0Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,0,0,2022-01-29T00:42:14Z,180000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,
19,PT10M58.00S,2022-01-29T00:42:14.6Z,1,REGULAR,2pt,Layup,['fastbreak'],203935,90.48948751642575,65.93137254901961,1610612738,0,2,2022-01-29T00:42:26Z,190000,80.0,37.0,1,right,M. Smart 8' running Layup (2 PTS),[203935],1610612738.0,BOS,running,,,Smart,M. Smart,,,,,,,,,,,,,8.78,Made,,,,,2.0,,,,,
20,PT10M58.00S,2022-01-29T00:42:21.1Z,1,REGULAR,foul,personal,['1freethrow'],1629631,,,1610612738,0,2,2022-01-29T00:42:39Z,200000,,,0,,D. Hunter shooting personal FOUL (1 PF) (Smart 1 FT),"[1629631, 203935]",1610612737.0,ATL,shooting,,,Hunter,D. Hunter,,,,,,,,1199.0,1.0,0.0,Smart,203935.0,,,,,,,,,,,,
22,PT10M58.00S,2022-01-29T00:42:40.5Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],203935,,,1610612738,0,3,2022-01-29T00:42:40Z,220000,,,0,,M. Smart Free Throw 1 of 1 (3 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,Made,,,,,3.0,,,,,
23,PT10M46.00S,2022-01-29T00:42:52.9Z,1,REGULAR,2pt,Jump Shot,[],1629631,6.915243101182654,73.2843137254902,1610612737,0,3,2022-01-29T00:42:58Z,230000,-116.0,13.0,1,left,MISS D. Hunter 11' pullup Shot,[1629631],1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,,,,,,,,,11.71,Missed,,,,,,,,,,
24,PT10M43.00S,2022-01-29T00:42:55.9Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,0,3,2022-01-29T00:42:58Z,240000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,23.0,2.0,2.0,0.0,,,,,,
25,PT10M36.00S,2022-01-29T00:43:03.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628369,92.9862023653088,48.03921568627451,1610612738,0,3,2022-01-29T00:43:09Z,250000,-10.0,13.0,1,right,MISS J. Tatum driving DUNK - blocked,"[1628369, 1628381]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,,,,,,,,,1.66,Missed,,,,,,Collins,1628381.0,,,
26,PT10M36.00S,2022-01-29T00:43:03.2Z,1,REGULAR,block,,[],1628381,,,1610612738,0,3,2022-01-29T00:43:06Z,260000,,,0,,J. Collins BLOCK (1 BLK),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,
27,PT10M32.00S,2022-01-29T00:43:07.2Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,0,3,2022-01-29T00:43:09Z,270000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,
28,PT10M28.00S,2022-01-29T00:43:10.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629027,6.521024967148489,51.225490196078425,1610612737,2,3,2022-01-29T00:43:19Z,280000,-6.0,9.0,1,left,T. Young running Layup (2 PTS),[1629027],1610612737.0,ATL,running,,,Young,T. Young,,,,,,,,,,,,,1.07,Made,,,,,2.0,,,,,
29,PT10M14.00S,2022-01-29T00:43:23.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,92.19776609724047,47.549019607843135,1610612738,2,3,2022-01-29T00:43:32Z,290000,-12.0,21.0,1,right,MISS R. Williams III alley-oop Layup - blocked,"[1629057, 203991]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,,,,,,,,,2.42,Missed,,,,,,Capela,203991.0,,,
30,PT10M14.00S,2022-01-29T00:43:23.5Z,1,REGULAR,block,,[],203991,,,1610612738,2,3,2022-01-29T00:43:27Z,300000,,,0,,C. Capela BLOCK (1 BLK),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,
31,PT10M11.00S,2022-01-29T00:43:26.5Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,2,3,2022-01-29T00:44:05Z,310000,,,0,,R. Williams III REBOUND (Off:1 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,29.0,2.0,1.0,1.0,,,,,,
32,PT10M10.00S,2022-01-29T00:43:28.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203935,68.80749014454665,27.205882352941174,1610612738,2,3,2022-01-29T00:48:14Z,320000,-114.0,241.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,26.63,Missed,,,,,,,,,,
33,PT10M09.00S,2022-01-29T00:43:29.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,2,3,2022-01-29T00:44:16Z,330000,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,
