actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-03-13T23:10:47.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-13T23:10:47Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-13T23:10:49.9Z,1,REGULAR,jumpball,recovered,[],201568,,,1610612737,0,0,2022-03-13T23:10:49Z,40000,,,0,,Jump Ball C. Capela vs. I. Jackson: Tip to D. Gallinari,"[201568, 203991, 1630543]",1610612737.0,ATL,startperiod,D. Gallinari,201568.0,Gallinari,D. Gallinari,Capela,203991.0,Jackson,1630543.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-03-13T23:11:03.6Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,0,0,2022-03-13T23:11:09Z,70000,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 1630543]",1610612737.0,ATL,,,,Young,T. Young,,,,,1.0,Jackson,1630543.0,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-03-13T23:11:03.6Z,1,REGULAR,steal,,[],1630543,,,1610612754,0,0,2022-03-13T23:11:05Z,80000,,,0,,I. Jackson STEAL (1 STL),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M25.00S,2022-03-13T23:11:21.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629052,29.38567674113009,74.26470588235294,1610612754,0,0,2022-03-13T23:11:28Z,90000,-121.0,224.0,1,left,MISS O. Brissett 25' 3PT,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,25.45,Missed,,,,,,,,,,,,,,,
10,PT11M21.00S,2022-03-13T23:11:25.9Z,1,REGULAR,rebound,defensive,[],201568,,,1610612737,0,0,2022-03-13T23:11:28Z,100000,,,0,,D. Gallinari REBOUND (Off:0 Def:1),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M09.00S,2022-03-13T23:11:36.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629631,92.32917214191852,49.01960784313725,1610612737,0,0,2022-03-13T23:11:43Z,110000,-5.0,20.0,1,right,MISS D. Hunter driving Layup - blocked,"[1629631, 1630543]",1610612737.0,ATL,driving,,,Hunter,D. Hunter,,,,,,,,2.02,Missed,,,,,Jackson,1630543.0,,,,,,,,,
12,PT11M09.00S,2022-03-13T23:11:36.8Z,1,REGULAR,block,,[],1630543,,,1610612737,0,0,2022-03-13T23:11:39Z,120000,,,0,,I. Jackson BLOCK (1 BLK),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M06.00S,2022-03-13T23:11:39.8Z,1,REGULAR,rebound,defensive,[],1630543,,,1610612754,0,0,2022-03-13T23:11:43Z,130000,,,0,,I. Jackson REBOUND (Off:0 Def:1),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
14,PT11M04.00S,2022-03-13T23:11:42.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627741,29.25427069645204,27.696078431372552,1610612754,0,0,2022-03-13T23:11:52Z,140000,112.0,222.0,1,left,MISS B. Hield 24' running pullup 3PT,[1627741],1610612754.0,IND,running pullup,,,Hield,B. Hield,,,,,,,,24.89,Missed,,,,,,,,,,,,,,,
15,PT10M59.00S,2022-03-13T23:11:47.3Z,1,REGULAR,rebound,offensive,[],1629052,,,1610612754,0,0,2022-03-13T23:11:52Z,150000,,,0,,O. Brissett REBOUND (Off:1 Def:0),[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,,,
16,PT10M59.00S,2022-03-13T23:11:47.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629052,5.590000152587891,50.0,1610612754,0,2,2022-03-13T23:11:47Z,160000,0.0,0.0,1,left,O. Brissett tip DUNK (2 PTS),[1629052],1610612754.0,IND,tip,,,Brissett,O. Brissett,,,,,,,,0.0,Made,,,,,,,2.0,,,,,,,,
17,PT10M54.00S,2022-03-13T23:11:52.5Z,1,REGULAR,3pt,Jump Shot,[],1629027,69.59592641261499,78.18627450980392,1610612737,3,2,2022-03-13T23:11:59Z,170000,141.0,233.0,1,right,T. Young 27' 3PT pullup (3 PTS),[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,,,,27.25,Made,,,,,,,3.0,,,,,,,,
18,PT10M31.00S,2022-03-13T23:12:14.8Z,1,REGULAR,2pt,Jump Shot,[],1630543,23.078186596583443,44.36274509803921,1610612754,3,2,2022-03-13T23:12:22Z,180000,28.0,164.0,1,left,MISS I. Jackson 16' step back Shot,[1630543],1610612754.0,IND,step back,,,Jackson,I. Jackson,,,,,,,,16.68,Missed,,,,,,,,,,,,,,,
19,PT10M29.00S,2022-03-13T23:12:16.8Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,3,2,2022-03-13T23:12:22Z,190000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,
20,PT10M23.00S,2022-03-13T23:12:24.4Z,1,REGULAR,3pt,Jump Shot,[],1628989,73.14388961892247,82.1078431372549,1610612737,6,2,2022-03-13T23:12:31Z,200000,161.0,200.0,1,right,K. Huerter 25' 3PT pullup (3 PTS),[1628989],1610612737.0,ATL,pullup,,,Huerter,K. Huerter,,,,,,,,25.64,Made,,,,,,,3.0,,,,,,,,
21,PT10M09.00S,2022-03-13T23:12:36.9Z,1,REGULAR,turnover,bad pass,[],1630169,,,1610612754,6,2,2022-03-13T23:12:41Z,210000,,,0,,T. Haliburton bad pass TURNOVER (1 TO),"[1630169, 203991]",1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,1.0,Capela,203991.0,,,,,,,,,,,,,,,,,
22,PT10M09.00S,2022-03-13T23:12:36.9Z,1,REGULAR,steal,,[],203991,,,1610612737,6,2,2022-03-13T23:14:15Z,220000,,,0,,C. Capela STEAL (1 STL),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M01.00S,2022-03-13T23:12:45.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629027,73.14388961892247,16.666666666666664,1610612737,6,2,2022-03-13T23:12:51Z,230000,-167.0,200.0,1,right,MISS T. Young 26' step back 3PT,[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,,,,26.03,Missed,,,,,,,,,,,,,,,
24,PT09M59.00S,2022-03-13T23:12:47.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612754,6,2,2022-03-13T23:12:51Z,240000,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,
25,PT09M59.00S,2022-03-13T23:12:52.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,6,2,2022-03-13T23:12:52Z,250000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT09M49.00S,2022-03-13T23:13:04.5Z,1,REGULAR,3pt,Jump Shot,[],1630169,30.962549277266753,64.4607843137255,1610612754,6,5,2022-03-13T23:14:17Z,260000,-72.0,239.0,1,left,T. Haliburton 24' 3PT step back (3 PTS),[1630169],1610612754.0,IND,step back,,,Haliburton,T. Haliburton,,,,,,,,24.92,Made,,,,,,,3.0,,,,,,,,
27,PT09M35.00S,2022-03-13T23:13:18.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203991,93.38042049934296,49.754901960784316,1610612737,8,5,2022-03-13T23:13:24Z,270000,-1.0,10.0,1,right,C. Capela alley-oop DUNK (2 PTS) (K. Huerter 1 AST),"[203991, 1628989]",1610612737.0,ATL,alley-oop,,,Capela,C. Capela,,,,,,,,0.98,Made,,,,,,,2.0,K. Huerter,1628989.0,1.0,,,,,
29,PT09M21.00S,2022-03-13T23:13:32.5Z,1,REGULAR,turnover,bad pass,[],1630169,,,1610612754,8,5,2022-03-13T23:13:37Z,290000,,,0,,T. Haliburton bad pass TURNOVER (2 TO),"[1630169, 1628989]",1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,2.0,Huerter,1628989.0,,,,,,,,,,,,,,,,,
30,PT09M21.00S,2022-03-13T23:13:32.5Z,1,REGULAR,steal,,[],1628989,,,1610612737,8,5,2022-03-13T23:46:57Z,300000,,,0,,K. Huerter STEAL (1 STL),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,
