actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-22T00:40:23.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-22T00:40:23Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-22T00:40:25.9Z,1,REGULAR,jumpball,recovered,[],1629216,,,1610612748,0,0,2022-01-22T00:40:25Z,40000,,,0,,Jump Ball B. Adebayo vs. O. Okongwu: Tip to G. Vincent,"[1629216, 1628389, 1630168]",1610612748.0,MIA,startperiod,G. Vincent,1629216.0,Vincent,G. Vincent,Adebayo,1628389.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-01-22T00:40:36.6Z,1,REGULAR,3pt,Jump Shot,[],1629130,32.802233902759525,45.83333333333333,1610612748,0,3,2022-01-22T00:40:41Z,70000,21.0,256.0,1,left,D. Robinson 25' 3PT  (3 PTS) (B. Adebayo 1 AST),"[1629130, 1628389]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,25.66,Made,3.0,B. Adebayo,1628389.0,1.0,,,,,,,,,,,,,,,
9,PT11M23.00S,2022-01-22T00:40:59.0Z,1,REGULAR,3pt,Jump Shot,[],1628989,71.30420499342969,15.441176470588236,1610612737,3,3,2022-01-22T00:41:04Z,90000,-173.0,217.0,1,right,K. Huerter 27' 3PT  (3 PTS) (D. Hunter 1 AST),"[1628989, 1629631]",1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,27.76,Made,3.0,D. Hunter,1629631.0,1.0,,,,,,,,,,,,,,,
11,PT11M08.00S,2022-01-22T00:41:15.9Z,1,REGULAR,turnover,out-of-bounds,[],1628389,,,1610612748,3,3,2022-01-22T00:41:22Z,110000,,,0,,B. Adebayo bad pass out-of-bounds TURNOVER (1 TO),[1628389],1610612748.0,MIA,bad pass,,,Adebayo,B. Adebayo,,,,,,,,,,,1201.0,1.0,,,,,,,,,,,,,
12,PT10M56.00S,2022-01-22T00:41:31.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629027,74.06373193166885,84.80392156862744,1610612737,3,3,2022-01-22T00:41:39Z,120000,174.0,191.0,1,right,MISS T. Young 25' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,25.86,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M52.00S,2022-01-22T00:41:35.6Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,3,3,2022-01-22T00:41:39Z,130000,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT10M45.00S,2022-01-22T00:41:42.2Z,1,REGULAR,2pt,Jump Shot,[],1628389,22.946780551905388,40.44117647058824,1610612748,3,3,2022-01-22T00:41:46Z,140000,48.0,163.0,1,left,MISS B. Adebayo 17' pullup Shot,[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,17.01,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M42.00S,2022-01-22T00:41:45.2Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,3,3,2022-01-22T00:41:46Z,150000,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,
16,PT10M30.00S,2022-01-22T00:41:57.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630168,93.24901445466492,49.26470588235294,1610612737,5,3,2022-01-22T00:42:02Z,160000,-4.0,11.0,1,right,O. Okongwu DUNK (2 PTS) (J. Collins 1 AST),"[1630168, 1628381]",1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,1.16,Made,2.0,J. Collins,1628381.0,1.0,,,,,,,,,,,,,,,
