actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-03-14T23:40:17.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-14T23:40:17Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-14T23:40:19.8Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612757,0,0,2022-03-14T23:40:19Z,40000,,,0,,Jump Ball D. Eubanks vs. C. Capela: Tip to J. Hart,"[1628404, 1629234, 203991]",1610612757.0,POR,startperiod,J. Hart,1628404.0,Hart,J. Hart,Eubanks,1629234.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-03-14T23:40:37.9Z,1,REGULAR,3pt,Jump Shot,[],1630314,31.225361366622867,33.82352941176471,1610612757,0,0,2022-03-14T23:40:43Z,70000,81.0,241.0,1,left,MISS B. Williams 25' 3PT,[1630314],1610612757.0,POR,,,,Williams,B. Williams,,,,,25.42,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2022-03-14T23:40:41.9Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,0,0,2022-03-14T23:40:43Z,80000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M16.00S,2022-03-14T23:41:00.4Z,1,REGULAR,3pt,Jump Shot,[],1628989,71.04139290407359,24.264705882352942,1610612737,0,0,2022-03-14T23:41:05Z,90000,-129.0,220.0,1,right,MISS K. Huerter 25' step back 3PT,[1628989],1610612737.0,ATL,step back,,,Huerter,K. Huerter,,,,,25.46,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M13.00S,2022-03-14T23:41:03.4Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612757,0,0,2022-03-14T23:41:05Z,100000,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M10.00S,2022-03-14T23:41:08.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630570,9.280551905387648,48.03921568627451,1610612757,0,0,2022-03-14T23:41:22Z,110000,10.0,35.0,1,left,MISS T. Watford driving Layup - blocked,"[1630570, 1628989]",1610612757.0,POR,driving,,,Watford,T. Watford,,,,,3.61,Missed,,,,,Huerter,1628989.0,,,,,,,,,,,,,
12,PT11M10.00S,2022-03-14T23:41:08.3Z,1,REGULAR,block,,[],1628989,,,1610612757,0,0,2022-03-14T23:41:11Z,120000,,,0,,K. Huerter BLOCK (1 BLK),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M09.00S,2022-03-14T23:41:09.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,0,0,2022-03-14T23:41:22Z,130000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,
14,PT11M09.00S,2022-03-14T23:41:15.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,0,0,2022-03-14T23:41:15Z,140000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
