actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-03-25T23:40:17.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-25T23:40:17Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-25T23:40:19.6Z,1,REGULAR,jumpball,recovered,[],201568,,,1610612737,0,0,2022-03-25T23:40:19Z,40000,,,0,,Jump Ball C. Capela vs. D. Green: Tip to D. Gallinari,"[201568, 203991, 203110]",1610612737.0,ATL,startperiod,D. Gallinari,201568.0,Gallinari,D. Gallinari,Capela,203991.0,Green,203110.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-03-25T23:40:33.0Z,1,REGULAR,3pt,Jump Shot,[],1628989,68.41327201051249,44.36274509803921,1610612737,3,0,2022-03-25T23:40:38Z,70000,-28.0,244.0,1,right,K. Huerter 24' 3PT  (3 PTS) (D. Hunter 1 AST),"[1628989, 1629631]",1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,24.6,Made,3.0,D. Hunter,1629631.0,1.0,,,,,,,,,,,,,,,
9,PT11M21.00S,2022-03-25T23:40:54.9Z,1,REGULAR,3pt,Jump Shot,[],203110,33.327858081471746,49.26470588235294,1610612744,3,0,2022-03-25T23:40:59Z,90000,4.0,261.0,1,left,MISS D. Green 26' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,26.08,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M18.00S,2022-03-25T23:40:57.9Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,3,0,2022-03-25T23:40:59Z,100000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M10.00S,2022-03-25T23:41:06.2Z,1,REGULAR,3pt,Jump Shot,[],201568,69.72733245729303,26.47058823529412,1610612737,3,0,2022-03-25T23:41:12Z,110000,-118.0,232.0,1,right,MISS D. Gallinari 26' 3PT,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,26.02,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M07.00S,2022-03-25T23:41:09.3Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,3,0,2022-03-25T23:41:09Z,120000,,,0,,C. Capela REBOUND (Off:1 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,11.0,2.0,1.0,1.0,,,,,,,,,,,
13,PT10M55.00S,2022-03-25T23:41:21.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629027,91.5407358738502,88.72549019607843,1610612737,5,0,2022-03-25T23:41:37Z,130000,194.0,27.0,1,right,T. Young 19' step back Jump Shot (2 PTS),[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,19.55,Made,2.0,,,,,,,,,,,,,,,,,,
14,PT10M42.00S,2022-03-25T23:41:34.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629673,18.74178712220762,53.92156862745098,1610612744,5,0,2022-03-25T23:41:41Z,140000,-20.0,124.0,1,left,MISS J. Poole 12' floating Shot,[1629673],1610612744.0,GSW,floating,,,Poole,J. Poole,,,,,12.52,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M42.00S,2022-03-25T23:41:34.2Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,5,0,2022-03-25T23:41:41Z,150000,,,0,,C. Capela REBOUND (Off:1 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,14.0,3.0,2.0,1.0,,,,,,,,,,,
16,PT10M34.00S,2022-03-25T23:41:41.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629027,68.41327201051249,29.411764705882355,1610612737,5,0,2022-03-25T23:42:16Z,160000,-103.0,244.0,1,right,MISS T. Young 26' step back 3PT,[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,26.52,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M31.00S,2022-03-25T23:41:44.7Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,5,0,2022-03-25T23:41:48Z,170000,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,
