actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-23T00:40:36.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-23T00:40:36Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-11-23T00:40:41.1Z,1,REGULAR,jumpball,recovered,[],1630526,,,1610612760,0,0,2021-11-23T00:40:41Z,40000,,,0,,Jump Ball D. Favors vs. C. Capela: Tip to J. Robinson-Earl,"[1630526, 202324, 203991]",1610612760.0,OKC,startperiod,J. Robinson-Earl,1630526.0,Robinson-Earl,J. Robinson-Earl,Favors,202324.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2021-11-23T00:40:48.7Z,1,REGULAR,3pt,Jump Shot,[],1629652,32.53942181340342,48.77450980392157,1610612760,0,0,2021-11-23T00:40:54Z,70000,6.0,253.0,1,left,MISS L. Dort 25' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,25.35,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2021-11-23T00:40:51.7Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,0,0,2021-11-23T00:40:54Z,80000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M34.00S,2021-11-23T00:41:02.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,84.05059132720105,49.754901960784316,1610612737,0,0,2021-11-23T00:41:08Z,90000,-1.0,97.0,1,right,MISS T. Young 9' driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,9.74,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M30.00S,2021-11-23T00:41:06.2Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,0,0,2021-11-23T00:41:08Z,100000,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M25.00S,2021-11-23T00:41:10.4Z,1,REGULAR,3pt,Jump Shot,[],1630526,5.601182654402102,96.81372549019608,1610612760,0,0,2021-11-23T00:41:18Z,110000,-234.0,0.0,1,left,MISS J. Robinson-Earl 3PT,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,23.41,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M22.00S,2021-11-23T00:41:13.4Z,1,REGULAR,rebound,defensive,[],203992,,,1610612737,0,0,2021-11-23T00:41:18Z,120000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT11M12.00S,2021-11-23T00:41:23.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203992,93.11760840998686,49.01960784313725,1610612737,0,0,2021-11-23T00:42:18Z,130000,-5.0,12.0,1,right,MISS B. Bogdanovic driving reverse Layup,[203992],1610612737.0,ATL,driving reverse,,,Bogdanovic,B. Bogdanovic,,,,,1.31,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M07.00S,2021-11-23T00:41:28.2Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,0,0,2021-11-23T00:42:18Z,140000,,,0,,C. Capela REBOUND (Off:1 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,13.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
