actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-02-04T00:35:40.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-04T00:35:40Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-02-04T00:35:42.8Z,1,REGULAR,jumpball,recovered,[],1628381,,,1610612737,0,0,2022-02-04T00:35:42Z,40000,,,0,,Jump Ball C. Capela vs. D. Ayton: Tip to J. Collins,"[1628381, 203991, 1629028]",1610612737.0,ATL,startperiod,J. Collins,1628381.0,Collins,J. Collins,Capela,203991.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-02-04T00:35:56.8Z,1,REGULAR,turnover,lost ball,[],1629027,,,1610612737,0,0,2022-02-04T00:36:00Z,70000,,,0,,T. Young lost ball TURNOVER (1 TO),"[1629027, 101108]",1610612737.0,ATL,,,,Young,T. Young,,,,,1.0,Paul,101108.0,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2022-02-04T00:35:56.8Z,1,REGULAR,steal,,[],101108,,,1610612756,0,0,2022-02-04T00:35:58Z,80000,,,0,,C. Paul STEAL (1 STL),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2022-02-04T00:36:00.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628969,93.64323258869908,50.245098039215684,1610612756,0,2,2022-02-04T00:36:05Z,90000,1.0,7.0,1,right,M. Bridges running Layup (2 PTS) (C. Paul 1 AST),"[1628969, 101108]",1610612756.0,PHX,running,,,Bridges,M. Bridges,,,,,,,,0.74,Made,2.0,C. Paul,101108.0,1.0,,,,,,,,,,,
11,PT11M20.00S,2022-02-04T00:36:18.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628381,16.113666228646515,54.166666666666664,1610612737,2,2,2022-02-04T00:36:26Z,110000,-21.0,99.0,1,left,J. Collins 10' driving Hook (2 PTS),[1628381],1610612737.0,ATL,driving,,,Collins,J. Collins,,,,,,,,10.12,Made,2.0,,,,,,,,,,,,,,
12,PT10M59.00S,2022-02-04T00:36:39.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,82.47371879106439,51.470588235294116,1610612756,2,4,2022-02-04T00:36:43Z,120000,7.0,112.0,1,right,M. Bridges 11' pullup Jump Shot (4 PTS) (D. Ayton 1 AST),"[1628969, 1629028]",1610612756.0,PHX,pullup,,,Bridges,M. Bridges,,,,,,,,11.24,Made,4.0,D. Ayton,1629028.0,1.0,,,,,,,,,,,
14,PT10M45.00S,2022-02-04T00:36:53.7Z,1,REGULAR,2pt,Jump Shot,[],1628989,25.969119579500656,51.470588235294116,1610612737,2,4,2022-02-04T00:36:58Z,140000,-7.0,192.0,1,left,MISS K. Huerter 19' pullup Shot,[1628989],1610612737.0,ATL,pullup,,,Huerter,K. Huerter,,,,,,,,19.17,Missed,,,,,,,,,,,,,,,
15,PT10M42.00S,2022-02-04T00:36:56.7Z,1,REGULAR,rebound,defensive,[],203109,,,1610612756,2,4,2022-02-04T00:36:58Z,150000,,,0,,J. Crowder REBOUND (Off:0 Def:1),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,
16,PT10M38.00S,2022-02-04T00:37:00.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626164,70.51576872536137,22.54901960784314,1610612756,2,4,2022-02-04T00:40:03Z,160000,-137.0,225.0,1,right,MISS D. Booker 26' running pullup 3PT,[1626164],1610612756.0,PHX,running pullup,,,Booker,D. Booker,,,,,,,,26.33,Missed,,,,,,,,,,,,,,,
17,PT10M33.00S,2022-02-04T00:37:05.6Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,2,4,2022-02-04T00:37:06Z,170000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,
18,PT10M19.00S,2022-02-04T00:37:20.0Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,2,4,2022-02-04T00:37:24Z,180000,,,0,,T. Young bad pass TURNOVER (2 TO),"[1629027, 101108]",1610612737.0,ATL,,,,Young,T. Young,,,,,2.0,Paul,101108.0,,,,,,,,,,,,,,,,,
19,PT10M19.00S,2022-02-04T00:37:20.0Z,1,REGULAR,steal,,[],101108,,,1610612756,2,4,2022-02-04T00:37:22Z,190000,,,0,,C. Paul STEAL (2 STL),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M19.00S,2022-02-04T00:37:24.4Z,1,REGULAR,foul,personal,[],1628989,,,1610612756,2,4,2022-02-04T00:37:34Z,200000,,,0,,K. Huerter take personal FOUL (1 PF),"[1628989, 101108]",1610612737.0,ATL,take,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,2530.0,1.0,0.0,Paul,101108.0,,
22,PT10M11.00S,2022-02-04T00:37:43.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626164,68.41327201051249,35.78431372549019,1610612756,2,4,2022-02-04T00:37:47Z,220000,-71.0,244.0,1,right,MISS D. Booker 25' pullup 3PT,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,,,,25.45,Missed,,,,,,,,,,,,,,,
23,PT10M08.00S,2022-02-04T00:37:46.9Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612756,2,4,2022-02-04T00:37:46Z,230000,,,0,,D. Ayton REBOUND (Off:1 Def:0),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,,22.0,1.0,0.0,1.0,,,,,,,
24,PT10M03.00S,2022-02-04T00:37:51.1Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1626164,85.3646517739816,11.76470588235294,1610612756,2,6,2022-02-04T00:37:54Z,240000,-191.0,85.0,1,right,D. Booker 20' step back Jump Shot (2 PTS) (D. Ayton 2 AST),"[1626164, 1629028]",1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,,,,20.93,Made,2.0,D. Ayton,1629028.0,2.0,,,,,,,,,,,
26,PT09M51.00S,2022-02-04T00:38:06.3Z,1,REGULAR,foul,personal,[],1626164,,,1610612737,2,6,2022-02-04T00:38:12Z,260000,,,0,,D. Booker personal FOUL (1 PF),"[1626164, 1628381]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,1627524.0,1.0,0.0,Collins,1628381.0,,
28,PT09M36.00S,2022-02-04T00:38:33.8Z,1,REGULAR,3pt,Jump Shot,[],1628989,34.247700394218136,59.80392156862745,1610612737,2,6,2022-02-04T00:38:38Z,280000,-49.0,269.0,1,left,MISS K. Huerter 27' pullup 3PT,[1628989],1610612737.0,ATL,pullup,,,Huerter,K. Huerter,,,,,,,,27.38,Missed,,,,,,,,,,,,,,,
29,PT09M32.00S,2022-02-04T00:38:36.8Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,2,6,2022-02-04T00:38:36Z,290000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,
30,PT09M18.00S,2022-02-04T00:38:51.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629028,92.32917214191852,50.245098039215684,1610612756,2,8,2022-02-04T00:38:56Z,300000,1.0,20.0,1,right,D. Ayton alley-oop DUNK (2 PTS) (M. Bridges 1 AST),"[1629028, 1628969]",1610612756.0,PHX,alley-oop,,,Ayton,D. Ayton,,,,,,,,1.96,Made,2.0,M. Bridges,1628969.0,1.0,,,,,,,,,,,
32,PT09M00.00S,2022-02-04T00:39:09.8Z,1,REGULAR,2pt,Jump Shot,[],1629631,10.85742444152431,68.62745098039215,1610612737,2,8,2022-02-04T00:41:55Z,320000,-93.0,50.0,1,left,MISS D. Hunter 10' Jump Shot,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,10.55,Missed,,,,,,,,,,,,,,,
33,PT08M57.00S,2022-02-04T00:39:12.8Z,1,REGULAR,rebound,defensive,[],203109,,,1610612756,2,8,2022-02-04T00:41:55Z,330000,,,0,,J. Crowder REBOUND (Off:0 Def:2),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,32.0,2.0,2.0,0.0,,,,,,,
