actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-28T00:40:38.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-28T00:40:38Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-28T00:40:41.1Z,1,REGULAR,jumpball,recovered,[],1629750,,,1610612741,0,0,2021-12-28T00:40:41Z,40000,,,0,,Jump Ball N. Vucevic vs. C. Capela: Tip to J. Green,"[1629750, 202696, 203991]",1610612741.0,CHI,startperiod,J. Green,1629750.0,Green,J. Green,Vucevic,202696.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-12-28T00:40:52.6Z,1,REGULAR,3pt,Jump Shot,[],1629632,66.5735873850197,48.77450980392157,1610612741,0,0,2021-12-28T00:40:59Z,70000,-6.0,262.0,1,right,MISS C. White 26' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,26.18,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2021-12-28T00:40:54.6Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,0,0,2021-12-28T00:40:59Z,80000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M29.00S,2021-12-28T00:41:08.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,6.915243101182654,49.50980392156863,1610612737,0,0,2021-12-28T00:41:16Z,90000,2.0,13.0,1,left,MISS C. Capela reverse Layup - blocked,"[203991, 202696]",1610612737.0,ATL,reverse,,,Capela,C. Capela,,,,,1.27,Missed,,,,,Vucevic,202696.0,,,,,,,,,,,,,
10,PT11M29.00S,2021-12-28T00:41:08.7Z,1,REGULAR,block,,[],202696,,,1610612737,0,0,2021-12-28T00:41:11Z,100000,,,0,,N. Vucevic BLOCK (1 BLK),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M23.00S,2021-12-28T00:41:14.7Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,0,0,2021-12-28T00:41:16Z,110000,,,0,,C. Capela REBOUND (Off:1 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,9.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
12,PT11M23.00S,2021-12-28T00:41:14.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203991,5.590000152587891,50.0,1610612737,0,0,2021-12-28T00:41:20Z,120000,0.0,0.0,1,left,MISS C. Capela putback Layup - blocked,"[203991, 202696]",1610612737.0,ATL,putback,,,Capela,C. Capela,,,,,0.0,Missed,,,,,Vucevic,202696.0,,,,,,,,,,,,,
18,PT11M23.00S,2021-12-28T00:41:14.0Z,1,REGULAR,block,,[],202696,,,1610612737,0,0,2021-12-28T00:41:41Z,125000,,,0,,N. Vucevic BLOCK (2 BLK),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M23.00S,2021-12-28T00:41:14.0Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,0,2021-12-28T00:41:20Z,130000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
