actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-12-23T00:40:41.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-23T00:40:41Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-12-23T00:40:45.7Z,1,REGULAR,jumpball,recovered,[],1630219,,,1610612737,0,0,2021-12-23T00:40:45Z,40000,,,0,,Jump Ball J. Collins vs. R. Lopez: Tip to S. Mays,"[1630219, 1628381, 201577]",1610612737.0,ATL,startperiod,S. Mays,1630219.0,Mays,S. Mays,Collins,1628381.0,Lopez,201577.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2021-12-23T00:41:01.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628381,10.200394218134035,52.20588235294118,1610612737,2,0,2021-12-23T00:41:51Z,70000,-11.0,43.0,1,left,J. Collins turnaround Hook (2 PTS) (D. Wright 1 AST),"[1628381, 1626153]",1610612737.0,ATL,turnaround,,,Collins,J. Collins,,,,,4.48,Made,2.0,D. Wright,1626153.0,1.0,,,,,,,,,,,,,,,
9,PT11M20.00S,2021-12-23T00:41:19.7Z,1,REGULAR,3pt,Jump Shot,[],203914,78.26872536136662,90.68627450980392,1610612753,2,3,2021-12-23T00:41:24Z,90000,203.0,152.0,1,right,G. Harris 25' 3PT  (3 PTS) (F. Wagner 1 AST),"[203914, 1630532]",1610612753.0,ORL,,,,Harris,G. Harris,,,,,25.38,Made,3.0,F. Wagner,1630532.0,1.0,,,,,,,,,,,,,,,
11,PT11M05.00S,2021-12-23T00:41:35.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628381,11.383048620236531,44.36274509803921,1610612737,4,3,2021-12-23T00:41:47Z,110000,28.0,55.0,1,left,J. Collins 6' driving floating Jump Shot (4 PTS),[1628381],1610612737.0,ATL,driving floating,,,Collins,J. Collins,,,,,6.14,Made,4.0,,,,,,,,,,,,,,,,,,
12,PT10M44.00S,2021-12-23T00:41:56.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201577,91.67214191852825,38.48039215686275,1610612753,4,3,2021-12-23T00:42:02Z,120000,-58.0,26.0,1,right,MISS R. Lopez 6' turnaround Hook,[201577],1610612753.0,ORL,turnaround,,,Lopez,R. Lopez,,,,,6.31,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M39.00S,2021-12-23T00:42:00.7Z,1,REGULAR,rebound,defensive,[],203476,,,1610612737,4,3,2021-12-23T00:42:00Z,130000,,,0,,G. Dieng REBOUND (Off:0 Def:1),[203476],1610612737.0,ATL,,,,Dieng,G. Dieng,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,
14,PT10M26.00S,2021-12-23T00:42:14.2Z,1,REGULAR,3pt,Jump Shot,[],1629629,31.750985545335087,30.88235294117647,1610612737,7,3,2021-12-23T00:42:19Z,140000,96.0,246.0,1,left,C. Reddish 26' 3PT step back (3 PTS),[1629629],1610612737.0,ATL,step back,,,Reddish,C. Reddish,,,,,26.39,Made,3.0,,,,,,,,,,,,,,,,,,
15,PT10M08.00S,2021-12-23T00:42:32.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629643,94.43166885676742,49.754901960784316,1610612753,7,5,2021-12-23T00:42:38Z,150000,-1.0,0.0,1,right,C. Okeke driving DUNK (2 PTS),[1629643],1610612753.0,ORL,driving,,,Okeke,C. Okeke,,,,,0.12,Made,2.0,,,,,,,,,,,,,,,,,,
16,PT09M51.00S,2021-12-23T00:42:48.9Z,1,REGULAR,3pt,Jump Shot,[],1629629,33.85348226018397,52.69607843137255,1610612737,10,5,2021-12-23T00:42:54Z,160000,-13.0,266.0,1,left,C. Reddish 26' 3PT step back (6 PTS) (J. Collins 1 AST),"[1629629, 1628381]",1610612737.0,ATL,step back,,,Reddish,C. Reddish,,,,,26.6,Made,6.0,J. Collins,1628381.0,1.0,,,,,,,,,,,,,,,
18,PT09M39.00S,2021-12-23T00:43:01.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1630532,94.56307490144546,51.71568627450981,1610612753,10,7,2021-12-23T00:43:17Z,180000,9.0,-1.0,1,right,F. Wagner driving Layup (2 PTS),[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,0.87,Made,2.0,,,,,,,,,,,,,,,,,,
19,PT09M39.00S,2021-12-23T00:43:06.7Z,1,REGULAR,violation,defensive goaltending,[],203476,,,1610612753,10,7,2021-12-23T00:43:56Z,190000,,,0,,G. Dieng defensive goaltending VIOLATION,[203476],1610612737.0,ATL,,,,Dieng,G. Dieng,,,,,,,,,,,,,,,1627962.0,,,,,,,,,,
20,PT09M28.00S,2021-12-23T00:43:22.6Z,1,REGULAR,foul,personal,['2freethrow'],201577,,,1610612737,10,7,2021-12-23T00:43:48Z,200000,,,0,,R. Lopez shooting personal FOUL (1 PF) (Reddish 2 FT),"[201577, 1629629]",1610612753.0,ORL,shooting,,,Lopez,R. Lopez,,,,,,,,,,,,,,,204058.0,1.0,0.0,Reddish,1629629.0,,,,,,
22,PT09M28.00S,2021-12-23T00:43:49.4Z,1,REGULAR,freethrow,1 of 2,[],1629629,,,1610612737,10,7,2021-12-23T00:43:49Z,220000,,,0,,MISS C. Reddish Free Throw 1 of 2,[1629629],1610612737.0,ATL,,,,Reddish,C. Reddish,,,,,,Missed,,,,,,,,,,,,,,,,,,,
23,PT09M28.00S,2021-12-23T00:43:49.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612737,10,7,2021-12-23T00:43:49Z,230000,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,
24,PT09M28.00S,2021-12-23T00:44:03.4Z,1,REGULAR,freethrow,2 of 2,[],1629629,,,1610612737,11,7,2021-12-23T00:44:03Z,240000,,,0,,C. Reddish Free Throw 2 of 2 (7 PTS),[1629629],1610612737.0,ATL,,,,Reddish,C. Reddish,,,,,,Made,7.0,,,,,,,,,,,,,,,,,,
25,PT09M05.00S,2021-12-23T00:44:29.8Z,1,REGULAR,3pt,Jump Shot,[],1629755,69.46452036793693,71.81372549019608,1610612753,11,7,2021-12-23T00:44:34Z,250000,109.0,235.0,1,right,MISS H. Gravett 25' pullup 3PT,[1629755],1610612753.0,ORL,pullup,,,Gravett,H. Gravett,,,,,25.86,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M01.00S,2021-12-23T00:44:33.8Z,1,REGULAR,rebound,defensive,[],1626153,,,1610612737,11,7,2021-12-23T00:44:34Z,260000,,,0,,D. Wright REBOUND (Off:0 Def:1),[1626153],1610612737.0,ATL,,,,Wright,D. Wright,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,
27,PT08M43.00S,2021-12-23T00:44:51.6Z,1,REGULAR,turnover,bad pass,[],1626153,,,1610612737,11,7,2021-12-23T00:44:56Z,270000,,,0,,D. Wright bad pass TURNOVER (1 TO),"[1626153, 1629643]",1610612737.0,ATL,,,,Wright,D. Wright,,,,,,,,,,,,,,,,,,,,1.0,Okeke,1629643.0,,,
28,PT08M43.00S,2021-12-23T00:44:51.6Z,1,REGULAR,steal,,[],1629643,,,1610612753,11,7,2021-12-23T00:44:53Z,280000,,,0,,C. Okeke STEAL (1 STL),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT08M32.00S,2021-12-23T00:45:02.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630532,73.01248357424441,82.59803921568627,1610612753,11,10,2021-12-23T00:45:08Z,290000,163.0,201.0,1,right,F. Wagner 25' 3PT pullup (5 PTS),[1630532],1610612753.0,ORL,pullup,,,Wagner,F. Wagner,,,,,25.89,Made,5.0,,,,,,,,,,,,,,,,,,
31,PT08M16.00S,2021-12-23T00:45:17.7Z,1,REGULAR,2pt,Jump Shot,[],1629629,23.340998685939553,76.47058823529412,1610612737,11,10,2021-12-23T00:45:24Z,310000,-132.0,167.0,1,left,MISS C. Reddish 21' step back Shot,[1629629],1610612737.0,ATL,step back,,,Reddish,C. Reddish,,,,,21.3,Missed,,,,,,,,,,,,,,,,,,,
32,PT08M13.00S,2021-12-23T00:45:20.7Z,1,REGULAR,rebound,defensive,[],1629643,,,1610612753,11,10,2021-12-23T00:45:24Z,320000,,,0,,C. Okeke REBOUND (Off:0 Def:1),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,
33,PT08M04.00S,2021-12-23T00:45:29.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,92.85479632063075,51.71568627450981,1610612753,11,12,2021-12-23T00:45:35Z,330000,9.0,15.0,1,right,F. Wagner driving Layup (7 PTS) (H. Gravett 1 AST),"[1630532, 1629755]",1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,1.7,Made,7.0,H. Gravett,1629755.0,1.0,,,,,,,,,,,,,,,
35,PT07M50.00S,2021-12-23T00:45:45.6Z,1,REGULAR,turnover,bad pass,[],1628381,,,1610612737,11,12,2021-12-23T00:54:37Z,350000,,,0,,J. Collins bad pass TURNOVER (1 TO),"[1628381, 203914]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,1.0,Harris,203914.0,,,
36,PT07M50.00S,2021-12-23T00:45:45.6Z,1,REGULAR,steal,,[],203914,,,1610612753,11,12,2021-12-23T00:45:49Z,360000,,,0,,G. Harris STEAL (1 STL),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT07M49.00S,2021-12-23T00:45:50.4Z,1,REGULAR,foul,personal,['2freethrow'],1629629,,,1610612753,11,12,2021-12-23T00:48:10Z,370000,,,0,,C. Reddish clear-path personal FOUL (1 PF) (Harris 2 FT),"[1629629, 203914]",1610612737.0,ATL,clear-path,,,Reddish,C. Reddish,,,,,,,,,,,,,,,204058.0,1.0,0.0,Harris,203914.0,,,,,,
39,PT07M49.00S,2021-12-23T00:46:08.5Z,1,REGULAR,instantreplay,request,[],0,,,1610612753,11,12,2021-12-23T00:47:54Z,390000,,,0,,,[],,,support,,,,,,,,,,,,,,,,,,,2714.0,,,,,,,,Clear Path - Supported Call,,
40,PT07M49.00S,2021-12-23T00:48:10.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203914,,,1610612753,11,13,2021-12-23T00:48:10Z,400000,,,0,,G. Harris clear-path Free Throw 1 of 2 (4 PTS),[203914],1610612753.0,ORL,clear-path,,,Harris,G. Harris,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
41,PT07M49.00S,2021-12-23T00:48:20.1Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203914,,,1610612753,11,14,2021-12-23T00:48:20Z,410000,,,0,,G. Harris clear-path Free Throw 2 of 2 (5 PTS),[203914],1610612753.0,ORL,clear-path,,,Harris,G. Harris,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
42,PT07M39.00S,2021-12-23T00:48:37.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630532,89.17542706964521,50.73529411764706,1610612753,11,14,2021-12-23T00:53:59Z,420000,4.0,49.0,1,right,MISS F. Wagner cutting Layup - blocked,"[1630532, 1629629]",1610612753.0,ORL,cutting,,,Wagner,F. Wagner,,,,,4.94,Missed,,,,,,,,,,,,,,,,,,Reddish,1629629.0
43,PT07M39.00S,2021-12-23T00:48:37.9Z,1,REGULAR,block,,[],1629629,,,1610612753,11,14,2021-12-23T00:48:40Z,430000,,,0,,C. Reddish BLOCK (1 BLK),[1629629],1610612737.0,ATL,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M36.00S,2021-12-23T00:48:40.9Z,1,REGULAR,rebound,defensive,[],1630219,,,1610612737,11,14,2021-12-23T00:48:44Z,440000,,,0,,S. Mays REBOUND (Off:0 Def:1),[1630219],1610612737.0,ATL,,,,Mays,S. Mays,,,,,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,,,,
45,PT07M34.00S,2021-12-23T00:48:43.6Z,1,REGULAR,turnover,lost ball,[],1626153,,,1610612737,11,14,2021-12-23T01:03:46Z,450000,,,0,,D. Wright lost ball TURNOVER (2 TO),"[1626153, 1630532]",1610612737.0,ATL,,,,Wright,D. Wright,,,,,,,,,,,,,,,,,,,,2.0,Wagner,1630532.0,,,
46,PT07M34.00S,2021-12-23T00:48:43.6Z,1,REGULAR,steal,,[],1630532,,,1610612753,11,14,2021-12-23T00:48:46Z,460000,,,0,,F. Wagner STEAL (1 STL),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M18.00S,2021-12-23T00:49:00.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629755,72.88107752956637,81.61764705882352,1610612753,11,17,2021-12-23T00:49:05Z,470000,158.0,202.0,1,right,H. Gravett 25' 3PT  (3 PTS) (C. Okeke 1 AST),"[1629755, 1629643]",1610612753.0,ORL,,,,Gravett,H. Gravett,,,,,25.68,Made,3.0,C. Okeke,1629643.0,1.0,,,,,,,,,,,,,,,
49,PT06M53.00S,2021-12-23T00:49:24.3Z,1,REGULAR,3pt,Jump Shot,[],1630219,9.017739816031538,96.32352941176471,1610612737,11,17,2021-12-23T00:49:29Z,490000,-232.0,32.0,1,left,MISS S. Mays 3PT,[1630219],1610612737.0,ATL,,,,Mays,S. Mays,,,,,23.38,Missed,,,,,,,,,,,,,,,,,,,
50,PT06M49.00S,2021-12-23T00:49:28.3Z,1,REGULAR,rebound,defensive,[],201577,,,1610612753,11,17,2021-12-23T00:49:29Z,500000,,,0,,R. Lopez REBOUND (Off:0 Def:1),[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,,
51,PT06M37.00S,2021-12-23T00:49:39.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203914,92.59198423127464,48.28431372549019,1610612753,11,17,2021-12-23T00:49:45Z,510000,-9.0,17.0,1,right,MISS G. Harris driving reverse Layup,[203914],1610612753.0,ORL,driving reverse,,,Harris,G. Harris,,,,,1.91,Missed,,,,,,,,,,,,,,,,,,,
52,PT06M35.00S,2021-12-23T00:49:41.7Z,1,REGULAR,rebound,offensive,[],201577,,,1610612753,11,17,2021-12-23T00:49:45Z,520000,,,0,,R. Lopez REBOUND (Off:1 Def:1),[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,,,,,51.0,2.0,1.0,1.0,,,,,,,,,,,
53,PT06M33.00S,2021-12-23T00:49:44.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",201577,90.88370565045992,48.529411764705884,1610612753,11,19,2021-12-23T00:49:49Z,530000,-7.0,33.0,1,right,R. Lopez Hook (2 PTS),[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,3.4,Made,2.0,,,,,,,,,,,,,,,,,,
54,PT06M32.00S,2021-12-23T00:49:50.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,11,19,2021-12-23T00:49:50Z,540000,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M32.00S,2021-12-23T00:52:15.1Z,1,REGULAR,substitution,out,[],203476,,,1610612737,11,19,2021-12-23T00:52:35Z,550000,,,0,,SUB out: G. Dieng,[203476],1610612737.0,ATL,,,,Dieng,G. Dieng,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M32.00S,2021-12-23T00:52:15.1Z,1,REGULAR,substitution,out,[],1629755,,,1610612737,11,19,2021-12-23T00:52:35Z,560000,,,0,,SUB out: H. Gravett,[1629755],1610612753.0,ORL,,,,Gravett,H. Gravett,,,,,,,,,,,,,,,,,,,,,,,,,
