actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-28T00:40:34.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-28T00:40:34Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-28T00:40:37.4Z,1,REGULAR,jumpball,recovered,[],202692,,,1610612752,0,0,2021-11-28T00:40:37Z,40000,,,0,,Jump Ball M. Robinson vs. C. Capela: Tip to A. Burks,"[202692, 1629011, 203991]",1610612752.0,NYK,startperiod,A. Burks,202692.0,Burks,A. Burks,Robinson,1629011.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2021-11-28T00:40:44.9Z,1,REGULAR,2pt,Jump Shot,[],202692,8.886333771353483,23.774509803921568,1610612752,0,0,2021-11-28T00:40:51Z,70000,131.0,31.0,1,left,MISS A. Burks 13' pullup Shot,[202692],1610612752.0,NYK,pullup,,,Burks,A. Burks,,,,,13.47,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2021-11-28T00:40:48.9Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,0,0,2021-11-28T00:40:51Z,80000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M32.00S,2021-11-28T00:41:01.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,93.11760840998686,50.73529411764706,1610612737,0,0,2021-11-28T00:41:07Z,90000,4.0,12.0,1,right,MISS C. Capela cutting Layup,[203991],1610612737.0,ATL,cutting,,,Capela,C. Capela,,,,,1.27,Missed,,,,,,,,,,,,,,,,,,
10,PT11M27.00S,2021-11-28T00:41:06.0Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,0,0,2021-11-28T00:41:06Z,100000,,,0,,C. Capela REBOUND (Off:1 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,9.0,2.0,1.0,1.0,,,,,,,,,,,,,,
11,PT11M27.00S,2021-11-28T00:41:06.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203991,94.40999984741211,50.0,1610612737,2,0,2021-11-28T00:41:17Z,110000,0.0,0.0,1,right,C. Capela tip Layup (2 PTS),[203991],1610612737.0,ATL,tip,,,Capela,C. Capela,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,
12,PT11M15.00S,2021-11-28T00:41:18.2Z,1,REGULAR,turnover,bad pass,[],203095,,,1610612752,2,0,2021-11-28T00:41:27Z,120000,,,0,,E. Fournier bad pass TURNOVER (1 TO),"[203095, 203992]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,1.0,Bogdanovic,203992.0,,,,,,,,,,
13,PT11M15.00S,2021-11-28T00:41:18.2Z,1,REGULAR,steal,,[],203992,,,1610612737,2,0,2021-11-28T00:41:22Z,130000,,,0,,B. Bogdanovic STEAL (1 STL),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M09.00S,2021-11-28T00:41:24.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628989,93.38042049934296,50.0,1610612737,4,0,2021-11-28T00:41:36Z,140000,0.0,10.0,1,right,K. Huerter running Layup (2 PTS) (T. Young 1 AST),"[1628989, 1629027]",1610612737.0,ATL,running,,,Huerter,K. Huerter,,,,,0.97,Made,,,,,2.0,,,,T. Young,1629027.0,1.0,,,,,,,
