actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-04-07T00:10:43.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-07T00:10:43Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-04-07T00:10:44.7Z,1,REGULAR,jumpball,recovered,[],1629060,,,1610612764,0,0,2022-04-07T00:10:44Z,40000,,,0,,Jump Ball K. Porzingis vs. C. Capela: Tip to R. Hachimura,"[1629060, 204001, 203991]",1610612764.0,WAS,startperiod,R. Hachimura,1629060.0,Hachimura,R. Hachimura,Porzingis,204001.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-04-07T00:10:57.7Z,1,REGULAR,3pt,Jump Shot,[],1630557,30.305519053876477,67.8921568627451,1610612764,0,0,2022-04-07T00:11:02Z,70000,-89.0,232.0,1,left,MISS C. Kispert 24' 3PT - blocked,"[1630557, 1629631]",1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,24.9,Missed,Hunter,1629631.0,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2022-04-07T00:10:57.7Z,1,REGULAR,block,,[],1629631,,,1610612764,0,0,2022-04-07T00:11:01Z,80000,,,0,,D. Hunter BLOCK (1 BLK),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M41.00S,2022-04-07T00:11:01.7Z,1,REGULAR,rebound,offensive,[],204001,,,1610612764,0,0,2022-04-07T00:11:02Z,90000,,,0,,K. Porzingis REBOUND (Off:1 Def:0),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,
10,PT11M38.00S,2022-04-07T00:11:05.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],204001,22.421156373193167,42.8921568627451,1610612764,0,2,2022-04-07T00:11:09Z,100000,36.0,158.0,1,left,K. Porzingis 16' pullup Jump Shot (2 PTS),[204001],1610612764.0,WAS,pullup,,,Porzingis,K. Porzingis,,,,,16.22,Made,,,,,,,2.0,,,,,,,,,,,,
11,PT11M28.00S,2022-04-07T00:11:14.2Z,1,REGULAR,3pt,Jump Shot,[],1628989,78.53153745072274,9.313725490196079,1610612737,0,2,2022-04-07T00:11:18Z,110000,-203.0,149.0,1,right,MISS K. Huerter 25' 3PT,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,25.23,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M25.00S,2022-04-07T00:11:17.2Z,1,REGULAR,rebound,defensive,[],1630557,,,1610612764,0,2,2022-04-07T00:11:18Z,120000,,,0,,C. Kispert REBOUND (Off:0 Def:1),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT11M14.00S,2022-04-07T00:11:27.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203107,7.703679369250986,37.5,1610612764,0,4,2022-04-07T00:11:31Z,130000,62.0,20.0,1,left,T. Satoransky 6' turnaround Jump Shot (2 PTS),[203107],1610612764.0,WAS,turnaround,,,Satoransky,T. Satoransky,,,,,6.56,Made,,,,,,,2.0,,,,,,,,,,,,
14,PT10M59.00S,2022-04-07T00:11:42.5Z,1,REGULAR,2pt,Jump Shot,[],1629027,79.31997371879106,77.20588235294117,1610612737,0,4,2022-04-07T00:11:47Z,140000,136.0,142.0,1,right,MISS T. Young 19' pullup Shot,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,19.65,Missed,,,,,,,,,,,,,,,,,,,
