actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-03-04T00:10:30.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-04T00:10:30Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-04T00:10:32.9Z,1,REGULAR,jumpball,recovered,[],1630245,,,1610612741,0,0,2022-03-04T00:10:33Z,40000,,,0,,Jump Ball N. Vucevic vs. C. Capela: Tip to A. Dosunmu,"[1630245, 202696, 203991]",1610612741.0,CHI,startperiod,A. Dosunmu,1630245.0,Dosunmu,A. Dosunmu,Vucevic,202696.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-03-04T00:10:44.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630245,92.9862023653088,51.225490196078425,1610612741,0,0,2022-03-04T00:10:51Z,70000,6.0,13.0,1,right,MISS A. Dosunmu driving Layup,[1630245],1610612741.0,CHI,driving,,,Dosunmu,A. Dosunmu,,,,,1.47,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-03-04T00:10:48.7Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,0,0,2022-03-04T00:10:51Z,80000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M21.00S,2022-03-04T00:11:17.3Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612737,0,0,2022-03-04T00:11:29Z,110000,,,0,,ATL shot clock Team TURNOVER,[],1610612737.0,ATL,,,,,,,,,,,,,,,,201639.0,,,,,,,,,,,,,
13,PT11M07.00S,2022-03-04T00:11:36.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202696,81.553876478318,42.8921568627451,1610612741,0,2,2022-03-04T00:11:44Z,120000,-36.0,121.0,1,right,N. Vucevic 12' turnaround Jump Shot (2 PTS),[202696],1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,12.6,Made,,,,,,2.0,,,,,,,,,,,,
15,PT10M52.00S,2022-03-04T00:11:51.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629631,5.995400788436268,49.50980392156863,1610612737,2,2,2022-03-04T00:11:55Z,140000,2.0,4.0,1,left,D. Hunter driving Layup (2 PTS) (T. Young 1 AST),"[1629631, 1629027]",1610612737.0,ATL,driving,,,Hunter,D. Hunter,,,,,0.46,Made,,,,,,2.0,T. Young,1629027.0,1.0,,,,,,,,,
17,PT10M41.00S,2022-03-04T00:12:01.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202696,93.38042049934296,49.01960784313725,1610612741,2,4,2022-03-04T00:12:06Z,160000,-5.0,10.0,1,right,N. Vucevic cutting Layup (4 PTS) (Z. LaVine 1 AST),"[202696, 203897]",1610612741.0,CHI,cutting,,,Vucevic,N. Vucevic,,,,,1.09,Made,,,,,,4.0,Z. LaVine,203897.0,1.0,,,,,,,,,
19,PT10M24.00S,2022-03-04T00:12:18.9Z,1,REGULAR,2pt,Jump Shot,[],201568,7.966491458607096,75.98039215686273,1610612737,2,4,2022-03-04T00:12:24Z,180000,-130.0,22.0,1,left,MISS D. Gallinari 13' turnaround fadeaway Shot,[201568],1610612737.0,ATL,turnaround fadeaway,,,Gallinari,D. Gallinari,,,,,13.18,Missed,,,,,,,,,,,,,,,,,,
20,PT10M23.00S,2022-03-04T00:12:19.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612741,2,4,2022-03-04T00:12:24Z,190000,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,
