actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-02-27T00:40:12.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-27T00:40:12Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-02-27T00:40:16.1Z,1,REGULAR,jumpball,recovered,[],1627832,,,1610612761,0,0,2022-02-27T00:40:16Z,40000,,,0,,Jump Ball S. Barnes vs. C. Capela: Tip to F. VanVleet,"[1627832, 1630567, 203991]",1610612761.0,TOR,startperiod,F. VanVleet,1627832.0,VanVleet,F. VanVleet,Barnes,1630567.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-02-27T00:40:29.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629018,9.806176084099869,36.029411764705884,1610612761,0,0,2022-02-27T00:40:38Z,70000,70.0,40.0,1,left,MISS G. Trent Jr. 8' pullup Shot,[1629018],1610612761.0,TOR,pullup,,,Trent Jr.,G. Trent Jr.,,,,,8.04,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-02-27T00:40:33.0Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612737,0,0,2022-02-27T00:40:33Z,80000,,,0,,K. Huerter REBOUND (Off:0 Def:1),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M22.00S,2022-02-27T00:40:50.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,0,0,2022-02-27T00:40:50Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M17.00S,2022-02-27T00:41:19.0Z,1,REGULAR,3pt,Jump Shot,[],1629631,86.02168199737189,96.56862745098039,1610612737,0,0,2022-02-27T00:41:25Z,100000,233.0,79.0,1,right,MISS D. Hunter 24' 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,24.58,Missed,,,,,,,,,,,,,,,,,,
11,PT11M15.00S,2022-02-27T00:41:21.0Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612761,0,0,2022-02-27T00:41:25Z,110000,,,0,,G. Trent Jr. REBOUND (Off:0 Def:1),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M15.00S,2022-02-27T00:41:24.5Z,1,REGULAR,foul,personal,[],203991,,,1610612761,0,0,2022-02-27T00:41:30Z,120000,,,0,,C. Capela personal FOUL (1 PF),"[203991, 1629018]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,1662.0,1.0,0.0,Trent Jr.,1629018.0,,,,,,,,,
14,PT11M03.00S,2022-02-27T00:41:48.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,8.754927726675426,47.30392156862745,1610612761,0,2,2022-02-27T00:42:30Z,140000,13.0,30.0,1,left,P. Siakam driving Layup (2 PTS),[1627783],1610612761.0,TOR,driving,,,Siakam,P. Siakam,,,,,3.27,Made,,,,,,,,,,2.0,,,,,,,,
15,PT10M50.00S,2022-02-27T00:42:02.6Z,1,REGULAR,2pt,Jump Shot,[],201568,86.28449408672799,12.254901960784313,1610612737,0,2,2022-02-27T00:42:07Z,150000,-189.0,76.0,1,right,MISS D. Gallinari 20' Jump Shot,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,20.36,Missed,,,,,,,,,,,,,,,,,,
16,PT10M47.00S,2022-02-27T00:42:05.6Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612761,0,2,2022-02-27T00:42:07Z,160000,,,0,,G. Trent Jr. REBOUND (Off:0 Def:2),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,15.0,2.0,2.0,0.0,,,,,,,,,,,,,,
17,PT10M44.00S,2022-02-27T00:42:07.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627832,8.360709592641262,95.58823529411765,1610612761,0,2,2022-02-27T00:42:14Z,170000,-228.0,26.0,1,left,MISS F. VanVleet 3PT,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,22.94,Missed,,,,,,,,,,,,,,,,,,
18,PT10M41.00S,2022-02-27T00:42:13.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,0,2,2022-02-27T00:42:13Z,180000,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,
