actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-12T00:40:12.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-12T00:40:12Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-12T00:40:14.9Z,1,REGULAR,jumpball,recovered,[],202694,,,1610612746,0,0,2022-03-12T00:40:14Z,40000,,,0,,Jump Ball I. Zubac vs. C. Capela: Tip to M. Morris Sr.,"[202694, 1627826, 203991]",1610612746.0,LAC,startperiod,M. Morris Sr.,202694.0,Morris Sr.,M. Morris Sr.,Zubac,1627826.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-03-12T00:40:33.8Z,1,REGULAR,2pt,Jump Shot,[],201587,75.90341655716163,33.088235294117645,1610612746,0,0,2022-03-12T00:40:39Z,70000,-85.0,174.0,1,right,MISS N. Batum 19' pullup Shot,[201587],1610612746.0,LAC,pullup,,,Batum,N. Batum,,,,,19.35,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2022-03-12T00:40:35.8Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,0,0,2022-03-12T00:40:39Z,80000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M21.00S,2022-03-12T00:40:50.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,6.783837056504599,49.754901960784316,1610612737,2,0,2022-03-12T00:40:58Z,90000,1.0,11.0,1,left,J. Collins cutting Layup (2 PTS) (T. Young 1 AST),"[1628381, 1629027]",1610612737.0,ATL,cutting,,,Collins,J. Collins,,,,,1.14,Made,,,,,2.0,T. Young,1629027.0,1.0,,,,,,,,,,,
11,PT11M03.00S,2022-03-12T00:41:07.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202704,91.40932982917214,54.166666666666664,1610612746,2,0,2022-03-12T00:41:13Z,110000,21.0,28.0,1,right,MISS R. Jackson driving Layup - blocked,"[202704, 203991]",1610612746.0,LAC,driving,,,Jackson,R. Jackson,,,,,3.51,Missed,,,,,,,,,Capela,203991.0,,,,,,,,,
12,PT11M03.00S,2022-03-12T00:41:07.7Z,1,REGULAR,block,,[],203991,,,1610612746,2,0,2022-03-12T00:41:11Z,120000,,,0,,C. Capela BLOCK (1 BLK),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M00.00S,2022-03-12T00:41:10.7Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,2,0,2022-03-12T00:41:13Z,130000,,,0,,C. Capela REBOUND (Off:0 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
14,PT10M58.00S,2022-03-12T00:41:14.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628989,28.465834428383708,24.509803921568626,1610612737,2,0,2022-03-12T00:41:48Z,140000,127.0,215.0,1,left,MISS K. Huerter 25' running 3PT,[1628989],1610612737.0,ATL,running,,,Huerter,K. Huerter,,,,,25.0,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M54.00S,2022-03-12T00:41:18.0Z,1,REGULAR,rebound,defensive,[],201587,,,1610612746,2,0,2022-03-12T00:41:21Z,150000,,,0,,N. Batum REBOUND (Off:0 Def:1),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
