actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-16T00:40:23.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-16T00:40:23Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-16T00:40:25.5Z,1,REGULAR,jumpball,recovered,[],1628976,,,1610612753,0,0,2021-11-16T00:40:25Z,40000,,,0,,Jump Ball M. Bamba vs. C. Capela: Tip to W. Carter Jr.,"[1628976, 1628964, 203991]",1610612753.0,ORL,startperiod,W. Carter Jr.,1628976.0,Carter Jr.,W. Carter Jr.,Bamba,1628964.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-11-16T00:40:37.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,90.75229960578186,55.14705882352941,1610612753,0,0,2021-11-16T00:40:43Z,70000,26.0,34.0,1,right,MISS F. Wagner driving Layup,[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,4.29,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2021-11-16T00:40:40.4Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,0,0,2021-11-16T00:40:43Z,80000,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M41.00S,2021-11-16T00:40:46.9Z,1,REGULAR,turnover,backcourt,[],203992,,,1610612737,0,0,2021-11-16T00:40:56Z,90000,,,0,,B. Bogdanovic backcourt TURNOVER (1 TO),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,1627534.0,1.0,,,,,,,,,,,,,
10,PT11M31.00S,2021-11-16T00:41:09.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630532,85.75886990801577,55.88235294117647,1610612753,0,0,2021-11-16T00:41:16Z,100000,29.0,81.0,1,right,MISS F. Wagner 8' driving floating Shot,[1630532],1610612753.0,ORL,driving floating,,,Wagner,F. Wagner,,,,,8.65,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M27.00S,2021-11-16T00:41:13.6Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612737,0,0,2021-11-16T00:41:16Z,110000,,,0,,K. Huerter REBOUND (Off:0 Def:1),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
12,PT11M14.00S,2021-11-16T00:41:26.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,15.325229960578188,47.549019607843135,1610612737,2,0,2021-11-16T00:41:30Z,120000,12.0,92.0,1,left,T. Young 9' driving floating Jump Shot (2 PTS),[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,9.24,Made,,,,,,,2.0,,,,,,,,,,,,
13,PT11M05.00S,2021-11-16T00:41:34.8Z,1,REGULAR,3pt,Jump Shot,[],1628976,71.96123521681997,20.098039215686274,1610612753,2,3,2021-11-16T00:41:39Z,130000,-150.0,211.0,1,right,W. Carter Jr. 25' 3PT  (3 PTS) (C. Anthony 1 AST),"[1628976, 1630175]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,25.87,Made,,,,,,,3.0,C. Anthony,1630175.0,1.0,,,,,,,,,
15,PT10M46.00S,2021-11-16T00:41:57.5Z,1,REGULAR,violation,kicked ball,[],1628964,,,1610612737,2,3,2021-11-16T00:45:57Z,150000,,,0,,M. Bamba kicked ball VIOLATION,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,204058.0,,,,,,,,,,,,,,
