actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-02-13T03:12:54.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-13T03:12:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-02-13T03:12:57.4Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2026-02-13T03:12:57Z,40000,False,,,0,,Jump Ball J. Hayes vs. D. Gafford: Tip to L. James,"[2544, 1629637, 1629655]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Hayes,1629637.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2026-02-13T03:13:13.8Z,1,REGULAR,violation,kicked ball,[],1629655,,,1610612747,0,0,2026-02-13T03:13:19Z,70000,False,,,0,,D. Gafford kicked ball VIOLATION,[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,1179.0,,,,,,,,,,,,,,,,,,,,,
8,PT11M27.00S,2026-02-13T03:13:43.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,87.9599211563732,45.09803921568627,1610612747,2,0,2026-02-13T03:13:48Z,80000,False,-25.0,61.0,1,right,M. Smart 6' fadeaway Jump Shot (2 PTS) (L. James 1 AST),"[203935, 2544]",1610612747.0,LAL,fadeaway,,,Smart,M. Smart,,,,,,In The Paint (Non-RA),0-8 Center,6.55,Made,2.0,L. James,2544.0,1.0,,,,,,,,,,,,,
10,PT11M12.00S,2026-02-13T03:13:58.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629023,9.247700394218143,45.58823529411765,1610612742,2,2,2026-02-13T03:14:02Z,100000,False,22.0,34.0,1,left,P. Washington driving floating Jump Shot (2 PTS) (B. Williams 1 AST),"[1629023, 1630314]",1610612742.0,DAL,driving floating,,,Washington,P. Washington,,,,,,Restricted Area,0-8 Center,4.09,Made,2.0,B. Williams,1630314.0,1.0,,,,,,,,,,,,,
12,PT10M57.00S,2026-02-13T03:14:13.2Z,1,REGULAR,2pt,Jump Shot,[],2544,85.3318002628121,73.77450980392157,1610612747,4,2,2026-02-13T03:14:18Z,120000,False,119.0,85.0,1,right,L. James 14' fadeaway bank Jump Shot (2 PTS) (M. Smart 1 AST),"[2544, 203935]",1610612747.0,LAL,fadeaway bank,,,James,L. James,,,,,,Mid-Range,8-16 Right,14.64,Made,2.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,
14,PT10M42.00S,2026-02-13T03:14:28.3Z,1,REGULAR,2pt,Jump Shot,[],1630314,13.18988173455979,81.86274509803921,1610612742,4,4,2026-02-13T03:14:33Z,140000,False,-159.0,71.0,1,left,B. Williams 17' step back Jump Shot (2 PTS) (M. Christie 1 AST),"[1630314, 1631108]",1610612742.0,DAL,step back,,,Williams,B. Williams,,,,,,Mid-Range,16-24 Left,17.46,Made,2.0,M. Christie,1631108.0,1.0,,,,,,,,,,,,,
15,PT10M23.00S,2026-02-13T03:14:46.9Z,1,REGULAR,3pt,Jump Shot,[],203935,95.18725361366623,97.30392156862744,1610612747,4,4,2026-02-13T03:14:55Z,150000,False,237.0,-7.0,1,right,MISS M. Smart 3PT,[203935],1610612747.0,LAL,,,,Smart,M. Smart,,,,,,Right Corner 3,24+ Right,23.66,Missed,,,,,,,,,,,,,,,,,
16,PT10M22.00S,2026-02-13T03:14:47.9Z,1,REGULAR,rebound,offensive,[],1629637,,,1610612747,4,4,2026-02-13T03:21:11Z,160000,False,,,0,,J. Hayes REBOUND (Off:1 Def:0),[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,,Right Corner 3,24+ Right,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,
44,PT10M21.00S,2026-02-13T03:14:52.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629637,92.77266754270697,50.71231617647059,1610612747,4,4,2026-02-13T03:21:30Z,165000,False,4.0,15.0,1,right,MISS J. Hayes tip Layup,[1629637],1610612747.0,LAL,tip,,,Hayes,J. Hayes,,,,,,Restricted Area,0-8 Center,1.58,Missed,,,,,,,,,,,,,,,,,
