actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-12-11T03:13:22.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-11T03:13:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-12-11T03:13:24.0Z,1,REGULAR,jumpball,recovered,[],1629029,,,1610612747,0,0,2025-12-11T03:13:24Z,40000,False,,,0,,Jump Ball D. Ayton vs. L. Kornet: Tip to L. Dončić,"[1629029, 1629028, 1628436]",1610612747.0,LAL,startperiod,L. Dončić,1629029.0,Dončić,L. Dončić,Ayton,1629028.0,Kornet,1628436.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-12-11T03:13:37.7Z,1,REGULAR,3pt,Jump Shot,[],1630559,94.26741130091985,3.67647058823529,1610612747,0,0,2025-12-11T03:13:45Z,70000,False,-232.0,1.0,1,right,MISS A. Reaves 3PT,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Left Corner 3,24+ Left,23.16,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2025-12-11T03:13:38.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612759,0,0,2025-12-11T03:13:45Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Left Corner 3,24+ Left,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M28.00S,2025-12-11T03:14:01.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630170,11.48160315374507,49.26470588235294,1610612759,0,0,2025-12-11T03:14:04Z,100000,False,4.0,55.0,1,left,MISS D. Vassell driving floating Shot,[1630170],1610612759.0,SAS,driving floating,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),0-8 Center,5.55,Missed,,,,,,,,,,,,,,,,,,
11,PT11M25.00S,2025-12-11T03:14:04.2Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612747,0,0,2025-12-11T03:14:04Z,110000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M11.00S,2025-12-11T03:14:18.0Z,1,REGULAR,2pt,Jump Shot,[],2544,78.49868593955321,48.28431372549019,1610612747,2,0,2025-12-11T03:14:22Z,120000,False,-9.0,150.0,1,right,L. James 14' fadeaway Jump Shot (2 PTS),[2544],1610612747.0,LAL,fadeaway,,,James,L. James,,,,,Mid-Range,8-16 Center,14.98,Made,,,,,2.0,,,,,,,,,,,,,
13,PT10M51.00S,2025-12-11T03:14:39.2Z,1,REGULAR,foul,personal,['2freethrow'],2544,,,1610612759,2,0,2025-12-11T03:14:49Z,130000,False,,,0,,L. James shooting personal FOUL (1 PF) (Castle 2 FT),"[2544, 1642264]",1610612747.0,LAL,shooting,,,James,L. James,,,,,Mid-Range,8-16 Left,,,,,,,,101284.0,1.0,0.0,Castle,1642264.0,,,,,,,,
15,PT10M51.00S,2025-12-11T03:15:05.4Z,1,REGULAR,freethrow,1 of 2,[],1642264,,,1610612759,2,1,2025-12-11T03:15:05Z,150000,False,,,0,,S. Castle Free Throw 1 of 2 (1 PTS),[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
16,PT10M51.00S,2025-12-11T03:15:21.6Z,1,REGULAR,freethrow,2 of 2,[],1642264,,,1610612759,2,2,2025-12-11T03:15:21Z,160000,False,,,0,,S. Castle Free Throw 2 of 2 (2 PTS),[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
17,PT10M36.00S,2025-12-11T03:15:39.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,82.9664914586071,52.69607843137255,1610612747,4,2,2025-12-11T03:15:54Z,170000,False,13.0,108.0,1,right,D. Ayton 10' floating Jump Shot (2 PTS) (L. James 1 AST),"[1629028, 2544]",1610612747.0,LAL,floating,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,10.84,Made,,,,,2.0,,,,,,L. James,2544.0,1.0,,,,,
19,PT10M26.00S,2025-12-11T03:15:49.6Z,1,REGULAR,3pt,Jump Shot,[],1628368,30.535479632063073,73.2843137254902,1610612759,4,5,2025-12-11T03:15:54Z,190000,False,-116.0,235.0,1,left,D. Fox 26' 3PT pullup (3 PTS) (S. Castle 1 AST),"[1628368, 1642264]",1610612759.0,SAS,pullup,,,Fox,D. Fox,,,,,Above the Break 3,24+ Left Center,26.18,Made,,,,,3.0,,,,,,S. Castle,1642264.0,1.0,,,,,
21,PT10M13.00S,2025-12-11T03:16:03.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,80.73258869908015,52.205882352941174,1610612747,6,5,2025-12-11T03:16:07Z,210000,False,11.0,129.0,1,right,L. Dončić 12' pullup Jump Shot (2 PTS),[1629029],1610612747.0,LAL,pullup,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),8-16 Center,12.91,Made,,,,,2.0,,,,,,,,,,,,,
22,PT09M57.00S,2025-12-11T03:16:19.1Z,1,REGULAR,2pt,Jump Shot,[],1628368,23.96517739816032,59.55882352941176,1610612759,6,7,2025-12-11T03:16:23Z,220000,False,-48.0,173.0,1,left,D. Fox 17' pullup Jump Shot (5 PTS),[1628368],1610612759.0,SAS,pullup,,,Fox,D. Fox,,,,,Mid-Range,16-24 Center,17.93,Made,,,,,5.0,,,,,,,,,,,,,
23,PT09M42.00S,2025-12-11T03:16:34.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,89.6681997371879,59.55882352941176,1610612747,8,7,2025-12-11T03:16:39Z,230000,False,48.0,45.0,1,right,D. Ayton 6' floating Jump Shot (4 PTS) (A. Reaves 1 AST),"[1629028, 1630559]",1610612747.0,LAL,floating,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,6.54,Made,,,,,4.0,,,,,,A. Reaves,1630559.0,1.0,,,,,
25,PT09M33.00S,2025-12-11T03:16:48.2Z,1,REGULAR,3pt,Jump Shot,[],203084,25.673455978975028,92.15686274509804,1610612759,8,7,2025-12-11T03:27:50Z,250000,False,-211.0,189.0,1,left,MISS H. Barnes 28' 3PT,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Left Center,28.3,Missed,,,,,,,,,,,,,,,,,,
26,PT09M31.00S,2025-12-11T03:16:50.2Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612747,8,7,2025-12-11T03:27:50Z,260000,False,,,0,,L. Dončić REBOUND (Off:0 Def:1),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Left Center,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,
28,PT09M22.00S,2025-12-11T03:17:16.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,82.70367936925098,45.34313725490197,1610612747,10,7,2025-12-11T03:17:35Z,280000,False,-23.0,110.0,1,right,L. Dončić 11' driving floating Jump Shot (4 PTS) (D. Ayton 1 AST),"[1629029, 1629028]",1610612747.0,LAL,driving floating,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),8-16 Center,11.25,Made,,,,,4.0,,,,,,D. Ayton,1629028.0,1.0,,,,,
30,PT09M22.00S,2025-12-11T03:17:21.1Z,1,REGULAR,foul,personal,['1freethrow'],1642264,,,1610612747,10,7,2025-12-11T03:17:26Z,300000,False,,,0,,S. Castle shooting personal FOUL (1 PF) (Dončić 1 FT),"[1642264, 1629029]",1610612759.0,SAS,shooting,,,Castle,S. Castle,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,101284.0,1.0,0.0,Dončić,1629029.0,,,,,,,,
32,PT09M22.00S,2025-12-11T03:17:42.9Z,1,REGULAR,freethrow,1 of 1,[],1629029,,,1610612747,11,7,2025-12-11T03:17:42Z,320000,False,,,0,,L. Dončić Free Throw 1 of 1 (5 PTS),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
33,PT09M01.00S,2025-12-11T03:18:04.0Z,1,REGULAR,3pt,Jump Shot,[],203084,22.125492772667542,9.558823529411768,1610612759,11,7,2025-12-11T03:18:08Z,330000,False,202.0,155.0,1,left,MISS H. Barnes 25' pullup 3PT,[203084],1610612759.0,SAS,pullup,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Right Center,25.51,Missed,,,,,,,,,,,,,,,,,,
34,PT08M58.00S,2025-12-11T03:18:07.0Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612747,11,7,2025-12-11T03:18:08Z,340000,False,,,0,,D. Ayton REBOUND (Off:0 Def:2),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Right Center,,,33.0,2.0,2.0,0.0,,,,,,,,,,,,,,
35,PT08M53.00S,2025-12-11T03:18:12.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",2544,91.90210249671485,43.872549019607845,1610612747,13,7,2025-12-11T03:18:18Z,350000,False,-31.0,24.0,1,right,L. James running Layup (4 PTS) (A. Reaves 2 AST),"[2544, 1630559]",1610612747.0,LAL,running,,,James,L. James,,,,,Restricted Area,0-8 Center,3.86,Made,,,,,4.0,,,,,,A. Reaves,1630559.0,2.0,,,,,
37,PT08M38.00S,2025-12-11T03:18:27.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630170,17.263469119579497,58.33333333333333,1610612759,13,7,2025-12-11T03:18:30Z,370000,False,-42.0,110.0,1,left,MISS D. Vassell 11' pullup Shot,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),8-16 Center,11.75,Missed,,,,,,,,,,,,,,,,,,
38,PT08M36.00S,2025-12-11T03:18:29.4Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,13,7,2025-12-11T03:18:30Z,380000,False,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,In The Paint (Non-RA),8-16 Center,,,37.0,1.0,1.0,0.0,,,,,,,,,,,,,,
39,PT08M29.00S,2025-12-11T03:18:35.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629028,89.01116951379764,53.18627450980392,1610612747,13,7,2025-12-11T03:18:41Z,390000,False,16.0,51.0,1,right,MISS D. Ayton Hook - blocked,"[1629028, 1630170]",1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,5.32,Missed,,,,,,,,,,,,,,Vassell,1630170.0,,,
40,PT08M29.00S,2025-12-11T03:18:35.8Z,1,REGULAR,block,,[],1630170,,,1610612747,13,7,2025-12-11T03:18:38Z,400000,False,,,0,,D. Vassell BLOCK (1 BLK),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
41,PT08M26.00S,2025-12-11T03:18:38.8Z,1,REGULAR,rebound,defensive,[],1628436,,,1610612759,13,7,2025-12-11T03:18:41Z,410000,False,,,0,,L. Kornet REBOUND (Off:0 Def:1),[1628436],1610612759.0,SAS,,,,Kornet,L. Kornet,,,,,In The Paint (Non-RA),0-8 Center,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,,,
42,PT08M20.00S,2025-12-11T03:18:45.6Z,1,REGULAR,3pt,Jump Shot,[],1630170,35.39750328515112,46.81372549019608,1610612759,13,7,2025-12-11T03:18:50Z,420000,False,16.0,280.0,1,left,MISS D. Vassell 28' 3PT,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Center,28.07,Missed,,,,,,,,,,,,,,,,,,
43,PT08M17.00S,2025-12-11T03:18:48.6Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612747,13,7,2025-12-11T03:18:50Z,430000,False,,,0,,L. Dončić REBOUND (Off:0 Def:2),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Center,,,42.0,2.0,2.0,0.0,,,,,,,,,,,,,,
44,PT08M04.00S,2025-12-11T03:19:01.9Z,1,REGULAR,turnover,bad pass,[],2544,,,1610612747,13,7,2025-12-11T03:19:07Z,440000,False,,,0,,L. James bad pass TURNOVER (1 TO),"[2544, 1630170]",1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,1.0,Vassell,1630170.0
45,PT08M04.00S,2025-12-11T03:19:01.9Z,1,REGULAR,steal,,[],1630170,,,1610612759,13,7,2025-12-11T03:19:04Z,450000,False,,,0,,D. Vassell STEAL (1 STL),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
