actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-12-01T02:40:53.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-01T02:40:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-12-01T02:40:57.2Z,1,REGULAR,jumpball,recovered,[],1630559,,,1610612747,0,0,2025-12-01T02:40:57Z,40000,False,,,0,,Jump Ball D. Ayton vs. Y. Missi: Tip to A. Reaves,"[1630559, 1629028, 1642274]",1610612747.0,LAL,startperiod,A. Reaves,1630559.0,Reaves,A. Reaves,Ayton,1629028.0,Missi,1642274.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-12-01T02:41:07.7Z,1,REGULAR,3pt,Jump Shot,[],1629216,31.45532194480947,28.186274509803923,1610612747,0,0,2025-12-01T02:41:25Z,70000,False,109.0,243.0,1,left,MISS G. Vincent 26' 3PT,[1629216],1610612747.0,LAL,,,,Vincent,G. Vincent,,,,,Above the Break 3,24+ Right Center,26.66,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2025-12-01T02:41:10.7Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,0,0,2025-12-01T02:41:15Z,80000,False,,,0,,Y. Missi REBOUND (Off:0 Def:1),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M20.00S,2025-12-01T02:41:32.7Z,1,REGULAR,2pt,Jump Shot,[],1630180,89.79960578186596,84.06862745098039,1610612740,0,0,2025-12-01T02:41:59Z,90000,False,170.0,43.0,1,right,MISS S. Bey 17' turnaround fadeaway Shot,[1630180],1610612740.0,NOP,turnaround fadeaway,,,Bey,S. Bey,,,,,Mid-Range,16-24 Right,17.57,Missed,,,,,,,,,,,,,,,,,,
10,PT11M18.00S,2025-12-01T02:41:34.7Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612747,0,0,2025-12-01T02:41:59Z,100000,False,,,0,,L. Dončić REBOUND (Off:0 Def:1),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Mid-Range,16-24 Right,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M14.00S,2025-12-01T02:41:38.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629029,29.352825229960573,26.960784313725497,1610612747,3,0,2025-12-01T02:41:50Z,110000,False,115.0,223.0,1,left,L. Dončić 25' 3PT running pullup (3 PTS),[1629029],1610612747.0,LAL,running pullup,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Right Center,25.14,Made,,,,,3.0,,,,,,,,,,,,,
12,PT10M53.00S,2025-12-01T02:41:59.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1642274,85.06898817345598,48.529411764705884,1610612740,3,0,2025-12-01T02:42:14Z,120000,False,-7.0,88.0,1,right,MISS Y. Missi 8' driving Hook - blocked,"[1642274, 1629029]",1610612740.0,NOP,driving,,,Missi,Y. Missi,,,,,In The Paint (Non-RA),8-16 Center,8.82,Missed,,,,,,Dončić,1629029.0,,,,,,,,,,,
13,PT10M53.00S,2025-12-01T02:41:59.9Z,1,REGULAR,block,,[],1629029,,,1610612740,3,0,2025-12-01T02:42:08Z,130000,False,,,0,,L. Dončić BLOCK (1 BLK),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
14,PT10M52.00S,2025-12-01T02:42:00.9Z,1,REGULAR,rebound,defensive,[],1629216,,,1610612747,3,0,2025-12-01T02:43:12Z,140000,False,,,0,,G. Vincent REBOUND (Off:0 Def:1),[1629216],1610612747.0,LAL,,,,Vincent,G. Vincent,,,,,In The Paint (Non-RA),8-16 Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
