actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-01-19T02:42:34.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-19T02:42:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-01-19T02:42:37.1Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2026-01-19T02:42:37Z,40000,False,,,0,,Jump Ball D. Ayton vs. S. Barnes: Tip to L. James,"[2544, 1629028, 1630567]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Ayton,1629028.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2026-01-19T02:42:50.9Z,1,REGULAR,3pt,Jump Shot,[],1629029,32.24375821287779,29.65686274509804,1610612747,0,0,2026-01-19T02:42:56Z,70000,False,102.0,251.0,1,left,MISS L. Dončić 27' step back 3PT,[1629029],1610612747.0,LAL,step back,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Right Center,27.05,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2026-01-19T02:42:53.9Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,0,0,2026-01-19T02:42:56Z,80000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M35.00S,2026-01-19T02:42:59.2Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1642867,91.63929040735874,49.26470588235294,1610612761,0,2,2026-01-19T02:43:20Z,90000,False,-4.0,26.0,1,right,C. Murray-Boyles running DUNK (2 PTS) (S. Barnes 1 AST),"[1642867, 1630567]",1610612761.0,TOR,running,,,Murray-Boyles,C. Murray-Boyles,,,,,Restricted Area,0-8 Center,2.64,Made,,,,,2.0,S. Barnes,1630567.0,1.0,,,,,,,,,,
11,PT11M16.00S,2026-01-19T02:43:16.9Z,1,REGULAR,2pt,Jump Shot,[],203935,21.0742444152431,55.63725490196079,1610612747,2,2,2026-01-19T02:43:41Z,110000,False,-28.0,146.0,1,left,M. Smart 14' pullup Jump Shot (2 PTS),[203935],1610612747.0,LAL,pullup,,,Smart,M. Smart,,,,,Mid-Range,8-16 Center,14.83,Made,,,,,2.0,,,,,,,,,,,,,
13,PT11M00.00S,2026-01-19T02:43:33.3Z,1,REGULAR,3pt,Jump Shot,[],1630193,68.77463863337714,35.78431372549019,1610612761,2,2,2026-01-19T02:44:18Z,130000,False,-71.0,241.0,1,right,MISS I. Quickley 25' pullup 3PT,[1630193],1610612761.0,TOR,pullup,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Center,25.13,Missed,,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2026-01-19T02:43:33.3Z,1,REGULAR,rebound,defensive,[],1631222,,,1610612747,2,2,2026-01-19T02:44:18Z,140000,False,,,0,,J. LaRavia REBOUND (Off:0 Def:1),[1631222],1610612747.0,LAL,,,,LaRavia,J. LaRavia,,,,,Above the Break 3,24+ Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M47.00S,2026-01-19T02:43:46.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629028,13.058475689881732,52.205882352941174,1610612747,4,2,2026-01-19T02:45:16Z,150000,False,-11.0,70.0,1,left,D. Ayton 7' turnaround Hook (2 PTS) (L. Dončić 1 AST),"[1629028, 1629029]",1610612747.0,LAL,turnaround,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,7.11,Made,,,,,2.0,L. Dončić,1629029.0,1.0,,,,,,,,,,
17,PT10M38.00S,2026-01-19T02:43:55.7Z,1,REGULAR,3pt,Jump Shot,[],1630534,92.69053876478318,2.941176470588232,1610612761,4,2,2026-01-19T02:43:59Z,170000,False,-235.0,16.0,1,right,MISS O. Agbaji 3PT,[1630534],1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,Left Corner 3,24+ Left,23.59,Missed,,,,,,,,,,,,,,,,,,
