actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
39,PT08M31.00S,2025-10-22T02:22:20.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202710,93.08475689881735,52.450980392156865,1610612744,9,9,2025-10-22T02:22:25Z,390000,False,12.0,13.0,1,right,J. Butler III alley-oop DUNK (7 PTS) (J. Kuminga 2 AST),"[202710, 1630228]",1610612744.0,GSW,alley-oop,,,Butler III,J. Butler III,,,,,Restricted Area,0-8 Center,1.75,Made,7.0,,,,,,,,J. Kuminga,1630228.0,2.0,,,,,,,
41,PT08M27.00S,2025-10-22T02:22:33.2Z,1,REGULAR,foul,offensive,[],1629060,,,1610612747,9,9,2025-10-22T02:22:50Z,410000,False,,,0,,R. Hachimura offensive FOUL (1 PF),"[1629060, 1641764]",1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1627963.0,1.0,0.0,Podziemski,1641764.0,,
43,PT08M27.00S,2025-10-22T02:22:33.2Z,1,REGULAR,turnover,offensive foul,[],1629060,,,1610612747,9,9,2025-10-22T02:22:50Z,430000,False,,,0,,R. Hachimura offensive foul TURNOVER (1 TO),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,,,,,,1627963.0,,,,,,
44,PT08M13.00S,2025-10-22T02:22:59.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201939,66.5407358738502,59.55882352941176,1610612744,9,12,2025-10-22T02:23:03Z,440000,False,48.0,262.0,1,right,S. Curry 26' 3PT  (3 PTS) (D. Green 1 AST),"[201939, 203110]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,26.63,Made,3.0,,,,,,,,D. Green,203110.0,1.0,,,,,,,
46,PT07M55.00S,2025-10-22T02:23:16.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629028,8.590670170827863,51.71568627450981,1610612747,11,12,2025-10-22T02:23:21Z,460000,False,-9.0,28.0,1,left,D. Ayton Layup (4 PTS) (G. Vincent 1 AST),"[1629028, 1629216]",1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,2.96,Made,4.0,,,,,,,,G. Vincent,1629216.0,1.0,,,,,,,
48,PT07M45.00S,2025-10-22T02:23:26.4Z,1,REGULAR,3pt,Jump Shot,[],201939,69.95729303547964,72.79411764705883,1610612744,11,12,2025-10-22T02:23:30Z,480000,False,114.0,230.0,1,right,MISS S. Curry 25' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Right Center,25.66,Missed,,,,,,,,,,,,,,,,,,
49,PT07M43.00S,2025-10-22T02:23:28.4Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612747,11,12,2025-10-22T02:25:19Z,490000,False,,,0,,R. Hachimura REBOUND (Off:0 Def:1),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Right Center,,,,48.0,1.0,1.0,0.0,,,,,,,,,,,,,
50,PT07M36.00S,2025-10-22T02:23:35.1Z,1,REGULAR,3pt,Jump Shot,[],1629029,28.695795006570307,83.33333333333334,1610612747,11,12,2025-10-22T02:23:42Z,500000,False,-167.0,217.0,1,left,MISS L. Dončić 27' step back 3PT,[1629029],1610612747.0,LAL,step back,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Left Center,27.38,Missed,,,,,,,,,,,,,,,,,,
51,PT07M34.00S,2025-10-22T02:23:37.1Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,11,12,2025-10-22T02:25:47Z,510000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,,,,50.0,1.0,1.0,0.0,,,,,,,,,,,,,
52,PT07M26.00S,2025-10-22T02:23:46.0Z,1,REGULAR,2pt,Jump Shot,[],1630228,77.44743758212877,42.15686274509803,1610612744,11,12,2025-10-22T02:23:50Z,520000,False,-39.0,159.0,1,right,MISS J. Kuminga 16' pullup Shot,[1630228],1610612744.0,GSW,pullup,,,Kuminga,J. Kuminga,,,,,Mid-Range,16-24 Center,16.42,Missed,,,,,,,,,,,,,,,,,,
