actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-04-11T02:40:47.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-11T02:40:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2026-04-11T02:40:50.4Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2026-04-11T02:40:50Z,40000,False,,,0,,Jump Ball D. Ayton vs. M. Williams: Tip to L. James,"[2544, 1629028, 1631109]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Ayton,1629028.0,Williams,1631109.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2026-04-11T02:41:12.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629060,93.47897503285151,53.92156862745098,1610612747,2,0,2026-04-11T02:41:36Z,70000,False,20.0,9.0,1,right,R. Hachimura driving reverse Layup (2 PTS) (L. James 1 AST),"[1629060, 2544]",1610612747.0,LAL,driving reverse,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,2.15,Made,2.0,L. James,2544.0,1.0,,,,,,,,,,,,,,
9,PT11M19.00S,2026-04-11T02:41:28.6Z,1,REGULAR,3pt,Jump Shot,[],1628960,27.90735873850197,19.607843137254903,1610612756,2,0,2026-04-11T02:41:40Z,90000,False,152.0,210.0,1,left,MISS G. Allen 25' 3PT,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Right Center,25.91,Missed,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2026-04-11T02:41:28.6Z,1,REGULAR,rebound,offensive,[],1628415,,,1610612756,2,0,2026-04-11T02:41:40Z,100000,False,,,0,,D. Brooks REBOUND (Off:1 Def:0),[1628415],1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,
11,PT11M01.00S,2026-04-11T02:41:45.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631221,23.308147174770042,86.51960784313725,1610612756,2,3,2026-04-11T02:41:52Z,110000,False,-183.0,167.0,1,left,C. Gillespie 24' 3PT  (3 PTS) (R. Dunn 1 AST),"[1631221, 1642346]",1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,Above the Break 3,24+ Left Center,24.72,Made,3.0,R. Dunn,1642346.0,1.0,,,,,,,,,,,,,,
13,PT10M40.00S,2026-04-11T02:42:06.0Z,1,REGULAR,3pt,Jump Shot,[],2544,90.32522996057818,96.81372549019608,1610612747,5,3,2026-04-11T02:42:13Z,130000,False,234.0,38.0,1,right,L. James 3PT  (3 PTS) (L. Kennard 1 AST),"[2544, 1628379]",1610612747.0,LAL,,,,James,L. James,,,,,Right Corner 3,24+ Right,23.72,Made,3.0,L. Kennard,1628379.0,1.0,,,,,,,,,,,,,,
15,PT10M28.00S,2026-04-11T02:42:19.5Z,1,REGULAR,turnover,lost ball,[],1628415,,,1610612756,5,3,2026-04-11T02:42:26Z,150000,False,,,0,,D. Brooks lost ball TURNOVER (1 TO),"[1628415, 1628379]",1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,Kennard,1628379.0,,,,,,,
16,PT10M28.00S,2026-04-11T02:42:19.5Z,1,REGULAR,steal,,[],1628379,,,1610612747,5,3,2026-04-11T02:42:42Z,160000,False,,,0,,L. Kennard STEAL (1 STL),[1628379],1610612747.0,LAL,,,,Kennard,L. Kennard,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
17,PT10M23.00S,2026-04-11T02:42:23.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628379,93.47897503285151,55.14705882352941,1610612747,7,3,2026-04-11T02:42:32Z,170000,False,26.0,9.0,1,right,L. Kennard running Layup (2 PTS) (J. LaRavia 1 AST),"[1628379, 1631222]",1610612747.0,LAL,running,,,Kennard,L. Kennard,,,,,Restricted Area,0-8 Center,2.72,Made,2.0,J. LaRavia,1631222.0,1.0,,,,,,,,,,,,,,
