actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2025-10-28T02:40:53.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-28T02:40:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-10-28T02:40:56.0Z,1,REGULAR,jumpball,recovered,[],1630166,,,1610612757,0,0,2025-10-28T02:40:56Z,40000,False,,,0,,Jump Ball D. Clingan vs. D. Ayton: Tip to D. Avdija,"[1630166, 1642270, 1629028]",1610612757.0,POR,startperiod,D. Avdija,1630166.0,Avdija,D. Avdija,Clingan,1642270.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-10-28T02:41:09.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,7.802233902759525,47.549019607843135,1610612757,0,0,2025-10-28T02:41:13Z,70000,False,12.0,21.0,1,left,MISS D. Avdija driving Layup,[1630166],1610612757.0,POR,driving,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,2.42,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2025-10-28T02:41:12.0Z,1,REGULAR,rebound,defensive,[],1631222,,,1610612747,0,0,2025-10-28T02:41:13Z,80000,False,,,0,,J. LaRavia REBOUND (Off:0 Def:1),[1631222],1610612747.0,LAL,,,,LaRavia,J. LaRavia,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M32.00S,2025-10-28T02:41:22.8Z,1,REGULAR,3pt,Jump Shot,[],1631222,82.83508541392904,97.79411764705883,1610612747,0,0,2025-10-28T02:42:03Z,90000,False,239.0,109.0,1,right,MISS J. LaRavia 26' 3PT,[1631222],1610612747.0,LAL,,,,LaRavia,J. LaRavia,,,,,Above the Break 3,24+ Right Center,26.26,Missed,,,,,,,,,,,,,,,,,,
10,PT11M30.00S,2025-10-28T02:41:24.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,0,0,2025-10-28T02:42:03Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,Above the Break 3,24+ Right Center,,,9.0,,,,,,,,,,,,,,,,,
12,PT11M30.00S,2025-10-28T02:41:39.7Z,1,REGULAR,foul,personal,[],1631101,,,1610612747,0,0,2025-10-28T02:41:54Z,120000,False,,,0,,S. Sharpe personal FOUL (1 PF),"[1631101, 1631222]",1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,,,,,,,101284.0,1.0,0.0,LaRavia,1631222.0,,,,,,,,,
14,PT11M18.00S,2025-10-28T02:42:08.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631222,91.50788436268068,50.98039215686275,1610612747,0,0,2025-10-28T02:42:11Z,140000,False,5.0,27.0,1,right,MISS J. LaRavia cutting Layup - blocked,"[1631222, 1642270]",1610612747.0,LAL,cutting,,,LaRavia,J. LaRavia,,,,,Restricted Area,0-8 Center,2.77,Missed,,,,,,,,,,Clingan,1642270.0,,,,,,,
15,PT11M18.00S,2025-10-28T02:42:08.2Z,1,REGULAR,block,,[],1642270,,,1610612747,0,0,2025-10-28T02:42:10Z,150000,False,,,0,,D. Clingan BLOCK (1 BLK),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
16,PT11M16.00S,2025-10-28T02:42:10.2Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,0,0,2025-10-28T02:42:11Z,160000,False,,,0,,D. Clingan REBOUND (Off:0 Def:1),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT11M13.00S,2025-10-28T02:42:13.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631101,29.747043363994734,77.94117647058823,1610612757,0,0,2025-10-28T02:42:27Z,170000,False,-140.0,227.0,1,left,MISS S. Sharpe 26' running pullup 3PT,[1631101],1610612757.0,POR,running pullup,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Left Center,26.66,Missed,,,,,,,,,,,,,,,,,,
