actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-03-15T00:40:57.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-15T00:40:57Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-15T00:41:00.4Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2026-03-15T00:41:00Z,40000,False,,,0,,Jump Ball N. Jokić vs. D. Ayton: Tip to A. Gordon,"[203932, 203999, 1629028]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokić,203999.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M32.00S,2026-03-15T00:41:23.9Z,1,REGULAR,3pt,Jump Shot,[],1627750,72.93035479632063,77.18290441176471,1610612743,0,3,2026-03-15T01:09:06Z,70000,False,136.0,202.0,1,right,J. Murray 24' 3PT pullup (3 PTS),[1627750],1610612743.0,DEN,pullup,,,Murray,J. Murray,,,,,Above the Break 3,24+ Right Center,24.35,Made,3.0,,,,,,,,,,,,,,,,,
8,PT11M12.00S,2026-03-15T00:41:44.6Z,1,REGULAR,3pt,Jump Shot,[],1629029,31.84954007884363,69.8529411764706,1610612747,3,3,2026-03-15T00:42:11Z,80000,False,-99.0,247.0,1,left,L. Dončić 26' 3PT step back (3 PTS),[1629029],1610612747.0,LAL,step back,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Left Center,26.61,Made,3.0,,,,,,,,,,,,,,,,,
9,PT11M01.00S,2026-03-15T00:41:55.4Z,1,REGULAR,3pt,Jump Shot,[],1627750,67.32917214191853,58.088235294117645,1610612743,3,3,2026-03-15T00:42:27Z,90000,False,40.0,255.0,1,right,MISS J. Murray 25' pullup 3PT,[1627750],1610612743.0,DEN,pullup,,,Murray,J. Murray,,,,,Above the Break 3,24+ Center,25.78,Missed,,,,,,,,,,,,,,,,,,
10,PT10M58.00S,2026-03-15T00:41:58.4Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612747,3,3,2026-03-15T00:42:02Z,100000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Center,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT10M55.00S,2026-03-15T00:42:01.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629029,30.535479632063073,82.35294117647058,1610612747,3,3,2026-03-15T00:42:52Z,110000,False,-162.0,235.0,1,left,MISS L. Dončić 28' running pullup 3PT,[1629029],1610612747.0,LAL,running pullup,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Left Center,28.49,Missed,,,,,,,,,,,,,,,,,,
12,PT10M51.00S,2026-03-15T00:42:05.7Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612743,3,3,2026-03-15T00:42:07Z,120000,False,,,0,,C. Johnson REBOUND (Off:0 Def:1),[1629661],1610612743.0,DEN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Left Center,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT10M35.00S,2026-03-15T00:42:22.0Z,1,REGULAR,2pt,Jump Shot,[],203932,79.94415243101183,68.62745098039215,1610612743,3,5,2026-03-15T00:42:25Z,130000,False,93.0,136.0,1,right,A. Gordon 16' turnaround fadeaway Jump Shot (2 PTS),[203932],1610612743.0,DEN,turnaround fadeaway,,,Gordon,A. Gordon,,,,,Mid-Range,16-24 Right Center,16.48,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M21.00S,2026-03-15T00:42:35.0Z,1,REGULAR,3pt,Jump Shot,[],1630559,31.84954007884363,24.264705882352942,1610612747,3,5,2026-03-15T00:42:39Z,140000,False,129.0,247.0,1,left,MISS A. Reaves 27' pullup 3PT,[1630559],1610612747.0,LAL,pullup,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Right Center,27.84,Missed,,,,,,,,,,,,,,,,,,
