actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2026-03-28T02:40:56.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-28T02:40:56Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-28T02:40:59.3Z,1,REGULAR,jumpball,recovered,[],1631222,,,1610612747,0,0,2026-03-28T02:40:59Z,40000,False,,,0,,Jump Ball D. Ayton vs. N. Claxton: Tip to J. LaRavia,"[1631222, 1629028, 1629651]",1610612747.0,LAL,startperiod,J. LaRavia,1631222.0,LaRavia,J. LaRavia,Ayton,1629028.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2026-03-28T02:41:17.3Z,1,REGULAR,turnover,lost ball,[],1631222,,,1610612747,0,0,2026-03-28T02:41:21Z,70000,False,,,0,,J. LaRavia lost ball TURNOVER (1 TO),"[1631222, 1642849]",1610612747.0,LAL,,,,LaRavia,J. LaRavia,,,,,In The Paint (Non-RA),8-16 Center,1.0,Traore,1642849.0,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2026-03-28T02:41:17.3Z,1,REGULAR,steal,,[],1642849,,,1610612751,0,0,2026-03-28T02:41:19Z,80000,False,,,0,,N. Traore STEAL (1 STL),[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M32.00S,2026-03-28T02:41:24.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641730,26.856110381077528,82.35294117647058,1610612751,0,0,2026-03-28T02:41:28Z,90000,False,-162.0,200.0,1,left,MISS N. Clowney 25' 3PT,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Left Center,,,,25.72,Missed,,,,,,,,,,,,,,,
10,PT11M28.00S,2026-03-28T02:41:28.0Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,0,0,2026-03-28T02:41:28Z,100000,False,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Left Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M19.00S,2026-03-28T02:41:36.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,92.0335085413929,62.5,1610612747,2,0,2026-03-28T02:42:37Z,110000,False,62.0,22.0,1,right,L. Dončić 6' driving floating bank Jump Shot (2 PTS),[1629029],1610612747.0,LAL,driving floating bank,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),0-8 Center,,,,6.64,Made,,,,,2.0,,,,,,,,,,
12,PT10M59.00S,2026-03-28T02:41:56.1Z,1,REGULAR,3pt,Jump Shot,[],1641730,31.980946123521676,67.8921568627451,1610612751,2,0,2026-03-28T02:42:01Z,120000,False,-89.0,248.0,1,left,MISS N. Clowney 26' 3PT,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Left Center,,,,26.37,Missed,,,,,,,,,,,,,,,
13,PT10M56.00S,2026-03-28T02:41:59.1Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,2,0,2026-03-28T02:42:01Z,130000,False,,,0,,A. Reaves REBOUND (Off:0 Def:2),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Left Center,,,,,,12.0,2.0,2.0,0.0,,,,,,,,,,,
14,PT10M46.00S,2026-03-28T02:42:09.1Z,1,REGULAR,turnover,lost ball,[],2544,,,1610612747,2,0,2026-03-28T02:42:14Z,140000,False,,,0,,L. James lost ball TURNOVER (1 TO),"[2544, 1630533]",1610612747.0,LAL,,,,James,L. James,,,,,Mid-Range,16-24 Right Center,1.0,Williams,1630533.0,,,,,,,,,,,,,,,,,
