actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-03-31T02:10:40.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-31T02:10:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-03-31T02:10:43.1Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2026-03-31T02:10:43Z,40000,False,,,0,,Jump Ball D. Ayton vs. T. Vukcevic: Tip to L. James,"[2544, 1629028, 1641774]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Ayton,1629028.0,Vukcevic,1641774.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2026-03-31T02:10:55.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,91.63929040735874,47.549019607843135,1610612747,2,0,2026-03-31T02:11:22Z,70000,False,-12.0,26.0,1,right,L. James driving Layup (2 PTS) (A. Reaves 1 AST),"[2544, 1630559]",1610612747.0,LAL,driving,,,James,L. James,,,,,Restricted Area,0-8 Center,2.89,Made,2.0,A. Reaves,1630559.0,1.0,,,,,,,,,,,,,,
9,PT11M20.00S,2026-03-31T02:11:19.2Z,1,REGULAR,3pt,Jump Shot,[],1642848,26.19908015768725,14.460784313725497,1610612764,2,0,2026-03-31T02:11:24Z,90000,False,178.0,194.0,1,left,MISS T. Johnson 26' 3PT,[1642848],1610612764.0,WAS,,,,Johnson,T. Johnson,,,,,Above the Break 3,24+ Right Center,26.29,Missed,,,,,,,,,,,,,,,,,,
10,PT11M18.00S,2026-03-31T02:11:21.2Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,2,0,2026-03-31T02:11:24Z,100000,False,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Right Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M15.00S,2026-03-31T02:11:24.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1631222,91.90210249671485,49.50980392156863,1610612747,4,0,2026-03-31T02:11:33Z,110000,False,-2.0,24.0,1,right,J. LaRavia running DUNK (2 PTS) (L. James 1 AST),"[1631222, 2544]",1610612747.0,LAL,running,,,LaRavia,J. LaRavia,,,,,Restricted Area,0-8 Center,2.37,Made,2.0,L. James,2544.0,1.0,,,,,,,,,,,,,,
13,PT11M05.00S,2026-03-31T02:11:34.3Z,1,REGULAR,turnover,bad pass,[],1642267,,,1610612764,4,0,2026-03-31T02:11:38Z,130000,False,,,0,,B. Carrington bad pass TURNOVER (1 TO),"[1642267, 1630559]",1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,Reaves,1630559.0,,,,,,,
14,PT11M05.00S,2026-03-31T02:11:34.3Z,1,REGULAR,steal,,[],1630559,,,1610612747,4,0,2026-03-31T02:11:36Z,140000,False,,,0,,A. Reaves STEAL (1 STL),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT10M47.00S,2026-03-31T02:11:52.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629060,92.95335085413929,47.549019607843135,1610612747,6,0,2026-03-31T02:11:57Z,150000,False,-12.0,14.0,1,right,R. Hachimura driving Layup (2 PTS) (A. Reaves 2 AST),"[1629060, 1630559]",1610612747.0,LAL,driving,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,1.84,Made,2.0,A. Reaves,1630559.0,2.0,,,,,,,,,,,,,,
17,PT10M35.00S,2026-03-31T02:12:04.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641774,18.577529566360056,50.0,1610612764,6,2,2026-03-31T02:14:04Z,170000,False,0.0,122.0,1,left,T. Vukcevic 12' floating Jump Shot (2 PTS) (B. Carrington 1 AST),"[1641774, 1642267]",1610612764.0,WAS,floating,,,Vukcevic,T. Vukcevic,,,,,In The Paint (Non-RA),8-16 Center,12.21,Made,2.0,B. Carrington,1642267.0,1.0,,,,,,,,,,,,,,
