actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-01-05T02:41:27.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-05T02:41:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M52.00S,2026-01-05T02:41:33.9Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612747,0,0,2026-01-05T02:41:34Z,40000,False,,,0,,Jump Ball D. Ayton vs. J. Jackson Jr.: Tip to M. Smart,"[203935, 1629028, 1628991]",1610612747.0,LAL,startperiod,M. Smart,203935.0,Smart,M. Smart,Ayton,1629028.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2026-01-05T02:41:47.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629028,85.72601839684626,58.33333333333333,1610612747,2,0,2026-01-05T02:41:52Z,70000,False,42.0,82.0,1,right,D. Ayton 9' turnaround Hook (2 PTS) (L. Dončić 1 AST),"[1629028, 1629029]",1610612747.0,LAL,turnaround,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,9.17,Made,2.0,L. Dončić,1629029.0,1.0,,,,,,,,,,,,,,
9,PT11M20.00S,2026-01-05T02:42:06.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642285,6.750985545335084,50.0,1610612763,2,2,2026-01-05T02:42:09Z,90000,False,0.0,11.0,1,left,C. Spencer driving floating Jump Shot (2 PTS),[1642285],1610612763.0,MEM,driving floating,,,Spencer,C. Spencer,,,,,Restricted Area,0-8 Center,1.1,Made,2.0,,,,,,,,,,,,,,,,,
11,PT11M07.00S,2026-01-05T02:42:18.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631222,90.45663600525624,50.245098039215684,1610612747,4,2,2026-01-05T02:42:21Z,110000,False,1.0,37.0,1,right,J. LaRavia driving Layup (2 PTS) (L. Dončić 2 AST),"[1631222, 1629029]",1610612747.0,LAL,driving,,,LaRavia,J. LaRavia,,,,,Restricted Area,0-8 Center,3.72,Made,2.0,L. Dončić,1629029.0,2.0,,,,,,,,,,,,,,
13,PT10M44.00S,2026-01-05T02:42:43.0Z,1,REGULAR,3pt,Jump Shot,[],1642377,19.628777923784497,95.34313725490196,1610612763,4,2,2026-01-05T02:42:48Z,130000,False,-227.0,132.0,1,left,MISS J. Wells 26' 3PT,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Above the Break 3,24+ Left Center,26.23,Missed,,,,,,,,,,,,,,,,,,
14,PT10M42.00S,2026-01-05T02:42:45.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,4,2,2026-01-05T02:42:48Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,13.0,,,,,,,,,,,,,
15,PT10M42.00S,2026-01-05T02:42:48.6Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612763,4,2,2026-01-05T02:42:53Z,150000,False,,,0,,MEM shot clock Team TURNOVER,[],1610612763.0,MEM,,,,,,,,,,Mid-Range,16-24 Left,,,,,,,,1628172.0,,,,,,,,,,,,
16,PT10M23.00S,2026-01-05T02:43:25.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203935,74.03088042049934,82.84313725490196,1610612747,4,2,2026-01-05T02:43:29Z,160000,False,164.0,192.0,1,right,MISS M. Smart 25' 3PT,[203935],1610612747.0,LAL,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Right Center,25.23,Missed,,,,,,,,,,,,,,,,,,
17,PT10M20.00S,2026-01-05T02:43:28.4Z,1,REGULAR,rebound,defensive,[],1642907,,,1610612763,4,2,2026-01-05T02:43:29Z,170000,False,,,0,,C. Coward REBOUND (Off:0 Def:1),[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,Above the Break 3,24+ Right Center,,,,,,,16.0,,1.0,1.0,0.0,,,,,,,,,
