actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-03-13T02:41:02.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-13T02:41:02Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-03-13T02:41:04.5Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2026-03-13T02:41:04Z,40000,False,,,0,,Jump Ball D. Ayton vs. J. Smith: Tip to L. James,"[2544, 1629028, 1630188]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Ayton,1629028.0,Smith,1630188.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2026-03-13T02:41:21.7Z,1,REGULAR,3pt,Jump Shot,[],1630559,32.50657030223391,75.73529411764706,1610612747,3,0,2026-03-13T02:41:31Z,70000,False,-129.0,253.0,1,left,A. Reaves 28' 3PT pullup (3 PTS) (L. James 1 AST),"[1630559, 2544]",1610612747.0,LAL,pullup,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Left Center,28.39,Made,3.0,L. James,2544.0,1.0,,,,,,,,,,,,,,
9,PT11M14.00S,2026-03-13T02:41:47.7Z,1,REGULAR,turnover,bad pass,[],1630581,,,1610612741,3,0,2026-03-13T02:41:50Z,90000,False,,,0,,J. Giddey bad pass TURNOVER (1 TO),"[1630581, 1630559]",1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Mid-Range,8-16 Left,,,,,,,1.0,Reaves,1630559.0,,,,,,,,,,,
10,PT11M14.00S,2026-03-13T02:41:47.7Z,1,REGULAR,steal,,[],1630559,,,1610612747,3,0,2026-03-13T02:41:49Z,100000,False,,,0,,A. Reaves STEAL (1 STL),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
11,PT11M05.00S,2026-03-13T02:41:57.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629060,7.013797634691201,50.49019607843137,1610612747,3,0,2026-03-13T02:42:00Z,110000,False,-2.0,13.0,1,left,MISS R. Hachimura Layup - blocked,"[1629060, 1641824]",1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,1.36,Missed,,,,,,,,Buzelis,1641824.0,,,,,,,,,
12,PT11M05.00S,2026-03-13T02:41:57.1Z,1,REGULAR,block,,[],1641824,,,1610612747,3,0,2026-03-13T02:41:59Z,120000,False,,,0,,M. Buzelis BLOCK (1 BLK),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M02.00S,2026-03-13T02:42:00.1Z,1,REGULAR,rebound,defensive,[],1630200,,,1610612741,3,0,2026-03-13T02:42:00Z,130000,False,,,0,,T. Jones REBOUND (Off:0 Def:1),[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,
22,PT10M50.00S,2026-03-13T02:42:06.1Z,1,REGULAR,turnover,out-of-bounds,[],1630581,,,1610612741,3,0,2026-03-13T02:42:47Z,135000,False,,,0,,J. Giddey lost ball out-of-bounds TURNOVER (2 TO),[1630581],1610612741.0,CHI,lost ball,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,,,,2.0,,,,,,,,,1627526.0,,,,
18,PT10M40.00S,2026-03-13T02:42:33.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629029,24.096583442838366,29.90196078431373,1610612747,3,0,2026-03-13T02:44:54Z,180000,False,100.0,174.0,1,left,MISS L. Dončić 20' step back Shot,[1629029],1610612747.0,LAL,step back,,,Dončić,L. Dončić,,,,,Mid-Range,16-24 Right Center,20.09,Missed,,,,,,,,,,,,,,,,,,
19,PT10M36.00S,2026-03-13T02:42:37.7Z,1,REGULAR,rebound,defensive,[],1641824,,,1610612741,3,0,2026-03-13T02:42:37Z,190000,False,,,0,,M. Buzelis REBOUND (Off:0 Def:1),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,
20,PT10M32.00S,2026-03-13T02:42:42.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641824,92.29632063074901,53.67647058823529,1610612741,3,0,2026-03-13T02:43:00Z,200000,False,18.0,20.0,1,right,MISS M. Buzelis running Layup,[1641824],1610612741.0,CHI,running,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,2.71,Missed,,,,,,,,,,,,,,,,,,
21,PT10M29.00S,2026-03-13T02:42:45.6Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612747,3,0,2026-03-13T02:43:00Z,210000,False,,,0,,L. Dončić REBOUND (Off:0 Def:1),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,
23,PT10M18.00S,2026-03-13T02:42:56.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629060,16.080814717476997,61.76470588235294,1610612747,5,0,2026-03-13T02:43:02Z,220000,False,-59.0,99.0,1,left,R. Hachimura 11' turnaround fadeaway Jump Shot (2 PTS),[1629060],1610612747.0,LAL,turnaround fadeaway,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),8-16 Left,11.49,Made,2.0,,,,,,,,,,,,,,,,,
24,PT10M09.00S,2026-03-13T02:43:05.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630200,91.85282522996059,53.87561274509804,1610612741,5,0,2026-03-13T02:43:13Z,230000,False,19.0,24.0,1,right,MISS T. Jones driving Layup,[1630200],1610612741.0,CHI,driving,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,3.09,Missed,,,,,,,,,,,,,,,,,,
25,PT10M07.00S,2026-03-13T02:43:07.5Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612747,5,0,2026-03-13T02:43:08Z,240000,False,,,0,,L. Dončić REBOUND (Off:0 Def:2),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,24.0,2.0,2.0,0.0,,,,,
26,PT10M02.00S,2026-03-13T02:43:14.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629028,7.670827858081481,48.774509803921575,1610612747,7,0,2026-03-13T02:47:49Z,250000,False,6.0,20.0,1,left,D. Ayton cutting Layup (2 PTS) (L. Dončić 1 AST),"[1629028, 1629029]",1610612747.0,LAL,cutting,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,2.05,Made,2.0,L. Dončić,1629029.0,1.0,,,,,,,,,,,,,,
28,PT10M02.00S,2026-03-13T02:43:20.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,7,0,2026-03-13T02:43:20Z,270000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M53.00S,2026-03-13T02:46:20.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641824,91.24507227332458,53.67647058823529,1610612741,7,2,2026-03-13T02:46:23Z,280000,False,18.0,30.0,1,right,M. Buzelis driving Layup (2 PTS) (J. Giddey 1 AST),"[1641824, 1630581]",1610612741.0,CHI,driving,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,3.5,Made,2.0,J. Giddey,1630581.0,1.0,,,,,,,,,,,,,,
30,PT09M53.00S,2026-03-13T02:46:25.0Z,1,REGULAR,foul,personal,['1freethrow'],1629028,,,1610612741,7,2,2026-03-13T02:46:31Z,290000,False,,,0,,D. Ayton shooting personal FOUL (1 PF) (Buzelis 1 FT),"[1629028, 1641824]",1610612747.0,LAL,shooting,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,200834.0,1.0,0.0,Buzelis,1641824.0
