actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-02T03:12:19.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-02T03:12:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-12-02T03:12:21.7Z,1,REGULAR,jumpball,recovered,[],1631221,,,1610612756,0,0,2025-12-02T03:12:21Z,40000,False,,,0,,Jump Ball M. Williams vs. D. Ayton: Tip to C. Gillespie,"[1631221, 1631109, 1629028]",1610612756.0,PHX,startperiod,C. Gillespie,1631221.0,Gillespie,C. Gillespie,Williams,1631109.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-12-02T03:12:32.0Z,1,REGULAR,turnover,out-of-bounds,[],1626220,,,1610612756,0,0,2025-12-02T03:12:39Z,70000,False,,,0,,R. O'Neale bad pass out-of-bounds TURNOVER (1 TO),[1626220],1610612756.0,PHX,bad pass,,,O'Neale,R. O'Neale,,,,,Mid-Range,16-24 Left Center,1626300.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2025-12-02T03:12:50.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629029,82.57227332457293,42.64705882352941,1610612747,2,0,2025-12-02T03:12:56Z,80000,False,-37.0,111.0,1,right,L. Dončić 11' driving floating Jump Shot (2 PTS),[1629029],1610612747.0,LAL,driving floating,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),8-16 Center,,,11.72,Made,2.0,,,,,,,,,,,,,,,
9,PT11M20.00S,2025-12-02T03:13:00.1Z,1,REGULAR,3pt,Jump Shot,[],1628415,30.27266754270697,76.47058823529412,1610612756,2,0,2025-12-02T03:13:04Z,90000,False,-132.0,232.0,1,left,MISS D. Brooks 26' step back 3PT,[1628415],1610612756.0,PHX,step back,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Left Center,,,26.72,Missed,,,,,,,,,,,,,,,,
10,PT11M18.00S,2025-12-02T03:13:02.1Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612747,2,0,2025-12-02T03:13:04Z,100000,False,,,0,,L. Dončić REBOUND (Off:0 Def:1),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Left Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M15.00S,2025-12-02T03:13:05.2Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612747,2,0,2025-12-02T03:13:11Z,110000,False,,,0,,L. Dončić bad pass TURNOVER (1 TO),"[1629029, 1628415]",1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Mid-Range,16-24 Right Center,,1.0,,,,,,,,Brooks,1628415.0,,,,,,,,,
12,PT11M15.00S,2025-12-02T03:13:05.2Z,1,REGULAR,steal,,[],1628415,,,1610612756,2,0,2025-12-02T03:13:08Z,120000,False,,,0,,D. Brooks STEAL (1 STL),[1628415],1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
13,PT11M09.00S,2025-12-02T03:13:11.7Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1631221,21.994086727989497,91.91176470588235,1610612756,2,3,2025-12-02T03:13:22Z,130000,False,-210.0,154.0,1,left,C. Gillespie 26' 3PT step back (3 PTS) (D. Booker 1 AST),"[1631221, 1626164]",1610612756.0,PHX,step back,,,Gillespie,C. Gillespie,,,,,Above the Break 3,24+ Left Center,,,26.02,Made,3.0,,,,,,,D. Booker,1626164.0,1.0,,,,,,
144,PT10M51.00S,2025-12-02T03:13:20.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630559,88.30486202365309,45.810355392156865,1610612747,2,3,2025-12-02T03:37:55Z,145000,False,-21.0,57.0,1,right,MISS A. Reaves 6' driving floating Shot,[1630559],1610612747.0,LAL,driving floating,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),0-8 Center,,,6.11,Missed,,,,,,,,,,,,,,,,
145,PT10M51.00S,2025-12-02T03:13:20.3Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612747,2,3,2025-12-02T03:37:55Z,147500,False,,,0,,D. Ayton REBOUND (Off:1 Def:0),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,144.0,1.0,0.0,1.0,,,,,,,,,,,
15,PT10M51.00S,2025-12-02T03:13:28.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629028,91.72141918528253,57.08486519607843,1610612747,2,3,2025-12-02T03:40:24Z,150000,False,35.0,25.0,1,right,MISS D. Ayton tip Layup,[1629028],1610612747.0,LAL,tip,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,4.35,Missed,,,,,,,,,,,,,,,,
16,PT10M49.00S,2025-12-02T03:13:30.9Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612756,2,3,2025-12-02T03:13:36Z,160000,False,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,
17,PT10M41.00S,2025-12-02T03:13:40.0Z,1,REGULAR,2pt,Jump Shot,[],1626164,8.722076215505908,23.529411764705884,1610612756,2,5,2025-12-02T03:13:45Z,170000,False,132.0,29.0,1,left,D. Booker 13' step back Jump Shot (2 PTS),[1626164],1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,Mid-Range,8-16 Right,,,13.56,Made,2.0,,,,,,,,,,,,,,,
18,PT10M26.00S,2025-12-02T03:13:55.1Z,1,REGULAR,2pt,Jump Shot,[],1629029,78.63009198423127,71.56862745098039,1610612747,4,5,2025-12-02T03:22:10Z,180000,False,108.0,148.0,1,right,L. Dončić 18' driving floating Jump Shot (4 PTS),[1629029],1610612747.0,LAL,driving floating,,,Dončić,L. Dončić,,,,,Mid-Range,16-24 Right Center,,,18.34,Made,4.0,,,,,,,,,,,,,,,
19,PT10M06.00S,2025-12-02T03:14:15.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,17.526281208935615,63.72549019607843,1610612756,4,5,2025-12-02T03:14:19Z,190000,False,-69.0,112.0,1,left,MISS D. Brooks 13' turnaround fadeaway Shot,[1628415],1610612756.0,PHX,turnaround fadeaway,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Left,,,13.15,Missed,,,,,,,,,,,,,,,,
20,PT10M03.00S,2025-12-02T03:14:18.2Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,4,5,2025-12-02T03:14:19Z,200000,False,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),8-16 Left,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,
21,PT09M55.00S,2025-12-02T03:14:25.7Z,1,REGULAR,3pt,Jump Shot,[],1629029,66.5407358738502,63.48039215686275,1610612747,4,5,2025-12-02T03:22:50Z,210000,False,67.0,262.0,1,right,MISS L. Dončić 27' pullup 3PT,[1629029],1610612747.0,LAL,pullup,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Center,,,27.05,Missed,,,,,,,,,,,,,,,,
22,PT09M52.00S,2025-12-02T03:14:28.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612756,4,5,2025-12-02T03:14:33Z,220000,False,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Above the Break 3,24+ Center,,,,,,21.0,,,,,,,,,,,,,,
24,PT09M41.00S,2025-12-02T03:14:49.1Z,1,REGULAR,3pt,Jump Shot,[],1626164,31.718134034165573,62.99019607843137,1610612756,4,5,2025-12-02T03:14:53Z,240000,False,-65.0,246.0,1,left,MISS D. Booker 25' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Center,,,25.42,Missed,,,,,,,,,,,,,,,,
25,PT09M39.00S,2025-12-02T03:14:51.1Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612747,4,5,2025-12-02T03:14:53Z,250000,False,,,0,,D. Ayton REBOUND (Off:1 Def:1),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Center,,,,,,24.0,2.0,1.0,1.0,,,,,,,,,,,
26,PT09M34.00S,2025-12-02T03:14:56.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,82.91721419185282,43.053002450980394,1610612747,6,5,2025-12-02T03:15:07Z,260000,False,-35.0,108.0,1,right,D. Ayton 11' floating Jump Shot (2 PTS) (L. James 1 AST),"[1629028, 2544]",1610612747.0,LAL,floating,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,,,11.35,Made,2.0,,,,,,,L. James,2544.0,1.0,,,,,,
28,PT09M14.00S,2025-12-02T03:15:15.9Z,1,REGULAR,3pt,Jump Shot,[],1631221,29.352825229960573,79.65686274509804,1610612756,6,5,2025-12-02T03:15:21Z,280000,False,-148.0,223.0,1,left,MISS C. Gillespie 26' 3PT,[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,Above the Break 3,24+ Left Center,,,26.81,Missed,,,,,,,,,,,,,,,,
29,PT09M10.00S,2025-12-02T03:15:19.9Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612747,6,5,2025-12-02T03:15:21Z,290000,False,,,0,,D. Ayton REBOUND (Off:1 Def:2),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Left Center,,,,,,28.0,3.0,2.0,1.0,,,,,,,,,,,
30,PT09M03.00S,2025-12-02T03:15:27.6Z,1,REGULAR,3pt,Jump Shot,[],1630559,71.40275952693824,16.17647058823529,1610612747,6,5,2025-12-02T03:15:32Z,300000,False,-169.0,216.0,1,right,MISS A. Reaves 27' 3PT,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Left Center,,,27.46,Missed,,,,,,,,,,,,,,,,
31,PT09M00.00S,2025-12-02T03:15:30.6Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,6,5,2025-12-02T03:15:32Z,310000,False,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,
32,PT08M57.00S,2025-12-02T03:15:34.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628415,9.116294349540084,49.50980392156863,1610612756,6,7,2025-12-02T03:15:38Z,320000,False,2.0,33.0,1,left,D. Brooks running Layup (2 PTS) (D. Booker 2 AST),"[1628415, 1626164]",1610612756.0,PHX,running,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,,,3.33,Made,2.0,,,,,,,D. Booker,1626164.0,2.0,,,,,,
34,PT08M39.00S,2025-12-02T03:15:52.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,81.25821287779237,42.40196078431373,1610612747,6,7,2025-12-02T04:12:27Z,340000,False,-38.0,124.0,1,right,MISS D. Ayton 12' floating Shot,[1629028],1610612747.0,LAL,floating,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,,,12.94,Missed,,,,,,,,,,,,,,,,
35,PT08M38.00S,2025-12-02T03:15:53.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,6,7,2025-12-02T03:15:56Z,350000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,34.0,,,,,,,,,,,,,,
37,PT08M31.00S,2025-12-02T03:16:15.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630559,95.71287779237845,1.2254901960784252,1610612747,9,7,2025-12-02T03:16:20Z,370000,False,-244.0,-12.0,1,right,A. Reaves 24' 3PT  (3 PTS) (L. Dončić 1 AST),"[1630559, 1629029]",1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Left Corner 3,24+ Left,,,24.42,Made,3.0,,,,,,,L. Dončić,1629029.0,1.0,,,,,,
39,PT08M20.00S,2025-12-02T03:16:26.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,18.7089356110381,64.4607843137255,1610612756,9,7,2025-12-02T03:16:31Z,390000,False,-72.0,123.0,1,left,MISS D. Brooks 14' step back Shot,[1628415],1610612756.0,PHX,step back,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Left,,,14.3,Missed,,,,,,,,,,,,,,,,
40,PT08M17.00S,2025-12-02T03:16:29.4Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612747,9,7,2025-12-02T03:16:31Z,400000,False,,,0,,L. Dončić REBOUND (Off:0 Def:2),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),8-16 Left,,,,,,39.0,2.0,2.0,0.0,,,,,,,,,,,
41,PT07M57.00S,2025-12-02T03:16:49.1Z,1,REGULAR,3pt,Jump Shot,[],1630559,68.64323258869908,25.24509803921569,1610612747,9,7,2025-12-02T04:12:48Z,410000,False,-124.0,242.0,1,right,MISS A. Reaves 27' pullup 3PT,[1630559],1610612747.0,LAL,pullup,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Left Center,,,27.21,Missed,,,,,,,,,,,,,,,,
42,PT07M55.00S,2025-12-02T03:16:51.1Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,9,7,2025-12-02T03:16:52Z,420000,False,,,0,,D. Booker REBOUND (Off:0 Def:2),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,,,,,,41.0,2.0,2.0,0.0,,,,,,,,,,,
63,PT07M49.00S,2025-12-02T03:17:27.6Z,1,REGULAR,turnover,out-of-bounds,[],1628415,,,1610612756,9,7,2025-12-02T03:38:40Z,435000,False,,,0,,D. Brooks step out-of-bounds TURNOVER (1 TO),[1628415],1610612756.0,PHX,step,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Left Center,201639.0,1.0,,,,,,,,,,,,,,,,,,
