actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-08T19:43:13.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-08T19:43:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-03-08T19:43:15.7Z,1,REGULAR,jumpball,recovered,[],1630559,,,1610612747,0,0,2026-03-08T19:43:15Z,40000,False,,,0,,Jump Ball D. Ayton vs. K. Towns: Tip to A. Reaves,"[1630559, 1629028, 1626157]",1610612747.0,LAL,startperiod,A. Reaves,1630559.0,Reaves,A. Reaves,Ayton,1629028.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2026-03-08T19:43:30.5Z,1,REGULAR,foul,personal,['3freethrow'],1628969,,,1610612747,0,0,2026-03-08T19:43:45Z,70000,False,,,0,,M. Bridges shooting personal FOUL (1 PF) (Reaves 3 FT),"[1628969, 1630559]",1610612752.0,NYK,shooting,,,Bridges,M. Bridges,,,,,Right Corner 3,24+ Right,202027.0,1.0,0.0,Reaves,1630559.0,,,,,,,,,,,,,,,
9,PT11M44.00S,2026-03-08T19:44:03.8Z,1,REGULAR,freethrow,1 of 3,[],1630559,,,1610612747,1,0,2026-03-08T19:44:03Z,90000,False,,,0,,A. Reaves Free Throw 1 of 3 (1 PTS),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M44.00S,2026-03-08T19:44:03.8Z,1,REGULAR,freethrow,2 of 3,[],1630559,,,1610612747,2,0,2026-03-08T19:44:44Z,100000,False,,,0,,A. Reaves Free Throw 2 of 3 (2 PTS),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M44.00S,2026-03-08T19:44:03.8Z,1,REGULAR,freethrow,3 of 3,[],1630559,,,1610612747,2,0,2026-03-08T19:44:44Z,110000,False,,,0,,MISS A. Reaves Free Throw 3 of 3,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
12,PT11M42.00S,2026-03-08T19:44:05.8Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612752,2,0,2026-03-08T19:44:44Z,120000,False,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
13,PT11M25.00S,2026-03-08T19:44:53.7Z,1,REGULAR,2pt,Jump Shot,[],1628973,22.38830486202366,49.754901960784316,1610612752,2,0,2026-03-08T19:45:00Z,130000,False,1.0,158.0,1,left,MISS J. Brunson 15' pullup Shot,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Mid-Range,8-16 Center,,,,,,Missed,,,,,,15.8,,,,,,,,
14,PT11M21.00S,2026-03-08T19:44:57.7Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612747,2,0,2026-03-08T19:45:00Z,140000,False,,,0,,L. Dončić REBOUND (Off:0 Def:1),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Mid-Range,8-16 Center,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,
15,PT11M07.00S,2026-03-08T19:45:10.7Z,1,REGULAR,3pt,Jump Shot,[],1629029,66.80354796320631,33.08823529411765,1610612747,2,0,2026-03-08T19:45:15Z,150000,False,-85.0,260.0,1,right,MISS L. Dončić 27' step back 3PT,[1629029],1610612747.0,LAL,step back,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,,,,27.29,,,,,,,,
